date_,adj close_hdfclife.ns,close_hdfclife.ns,high_hdfclife.ns,low_hdfclife.ns,open_hdfclife.ns,volume_hdfclife.ns
2024-01-16,607.4991455078125,611.25,616.8499755859375,609.0499877929688,615.75,8761562
2024-01-17,602.877685546875,606.5999755859375,618.5,605.0999755859375,611.0,10183042
2024-01-18,604.0703125,607.7999877929688,612.2999877929688,600.5999755859375,608.0,3658639
2024-01-19,612.1206665039062,615.9000244140625,618.4000244140625,609.7999877929688,614.5,2563065
2024-01-23,582.55322265625,586.1500244140625,613.75,582.7999877929688,600.25,5994679
2024-01-24,578.0807495117188,581.6500244140625,591.0,576.7000122070312,590.0,6144401
2024-01-25,575.4470825195312,579.0,586.5499877929688,577.2999877929688,584.1500244140625,3725167
2024-01-29,574.9998168945312,578.5499877929688,584.0,575.0499877929688,575.0499877929688,4399011
2024-01-30,571.4716186523438,575.0,583.5999755859375,571.5499877929688,583.0,5895638
2024-01-31,573.061767578125,576.5999755859375,578.0,571.2999877929688,573.5,4068280
2024-02-01,583.497314453125,587.0999755859375,591.4000244140625,567.2000122070312,577.2000122070312,8911872
2024-02-02,575.248291015625,578.7999877929688,589.9500122070312,576.5,589.9500122070312,3006965
2024-02-05,559.89306640625,563.3499755859375,581.9500122070312,561.5499877929688,578.7999877929688,3750294
2024-02-06,589.1126708984375,592.75,595.0499877929688,562.25,564.0,15915028
2024-02-07,601.4365844726562,605.1500244140625,614.0,596.0,597.0,7560296
2024-02-08,588.069091796875,591.7000122070312,616.0499877929688,590.0999755859375,605.1500244140625,7782663
2024-02-09,580.4163818359375,584.0,594.1500244140625,582.25,591.7000122070312,2453771
2024-02-12,573.6580810546875,577.2000122070312,586.5,572.4000244140625,584.0,2799522
2024-02-13,585.9323120117188,589.5499877929688,594.0,574.7000122070312,577.25,5011128
2024-02-14,581.758056640625,585.3499755859375,586.9500122070312,578.4000244140625,582.4000244140625,1572158
2024-02-15,581.5095825195312,585.0999755859375,589.3499755859375,582.0,586.8499755859375,1737411
2024-02-16,588.8145141601562,592.4500122070312,594.0,583.7000122070312,588.5,2973324
2024-02-19,581.6090087890625,585.2000122070312,594.2999877929688,584.4000244140625,594.2999877929688,2785107
2024-02-20,584.3421630859375,587.9500122070312,589.5,576.25,580.2000122070312,3523966
2024-02-21,573.9066162109375,577.4500122070312,591.25,574.5,587.9500122070312,3321288
2024-02-22,571.123779296875,574.6500244140625,579.4000244140625,567.0499877929688,578.0,4195869
2024-02-23,577.1365966796875,580.7000122070312,583.3499755859375,575.75,577.2000122070312,2561028
2024-02-26,572.8132934570312,576.3499755859375,580.9500122070312,567.25,568.75,4199991
2024-02-27,578.0310668945312,581.5999755859375,592.0,572.8499755859375,576.0499877929688,6321068
2024-02-28,577.0372314453125,580.5999755859375,590.9000244140625,578.1500244140625,582.0,3434747
2024-02-29,578.4286499023438,582.0,585.9000244140625,575.5499877929688,581.0,2750947
2024-03-01,586.329833984375,589.9500122070312,596.7999877929688,583.0,584.9000244140625,3460443
2024-03-04,606.554931640625,610.2999877929688,620.5,587.5999755859375,595.0,7272987
2024-03-05,603.970947265625,607.7000122070312,615.5999755859375,603.75,611.7999877929688,4342310
2024-03-06,610.1826171875,613.9500122070312,618.0999755859375,604.7000122070312,611.25,4896598
2024-03-07,618.133544921875,621.9500122070312,624.1500244140625,611.5499877929688,611.5499877929688,3682063
2024-03-11,617.0402221679688,620.8499755859375,629.0,618.9000244140625,625.0,3777242
2024-03-12,617.7359619140625,621.5499877929688,629.7999877929688,615.0499877929688,618.25,4975736
