date_,adj close_finpipe.ns,close_finpipe.ns,high_finpipe.ns,low_finpipe.ns,open_finpipe.ns,volume_finpipe.ns
2024-01-16,230.0954132080078,235.85000610351562,242.35000610351562,233.0,240.6999969482422,484242
2024-01-17,221.3150177001953,226.85000610351562,233.0,226.0,233.0,699480
2024-01-18,226.63204956054688,232.3000030517578,234.85000610351562,219.5500030517578,226.6999969482422,1143647
2024-01-19,225.75399780273438,231.39999389648438,240.64999389648438,230.1999969482422,234.0,1057388
2024-01-23,218.38821411132812,223.85000610351562,235.64999389648438,221.35000610351562,235.14999389648438,427620
2024-01-24,224.4857177734375,230.10000610351562,231.6999969482422,221.35000610351562,225.25,546612
2024-01-25,219.55892944335938,225.0500030517578,230.75,224.35000610351562,230.75,288011
2024-01-29,211.85166931152344,217.14999389648438,225.0,216.3000030517578,225.0,884924
2024-01-30,209.90048217773438,215.14999389648438,218.1999969482422,214.14999389648438,218.0,621882
2024-01-31,216.9248046875,222.35000610351562,223.35000610351562,214.9499969482422,214.9499969482422,838489
2024-02-01,215.0223846435547,220.39999389648438,224.39999389648438,218.3000030517578,223.89999389648438,392670
2024-02-02,212.3882598876953,217.6999969482422,222.3000030517578,216.85000610351562,221.0,379773
2024-02-05,211.65655517578125,216.9499969482422,220.9499969482422,215.0,217.25,574923
2024-02-06,215.5101776123047,220.89999389648438,221.89999389648438,218.10000610351562,218.10000610351562,491554
2024-02-07,211.85166931152344,217.14999389648438,221.5,216.5500030517578,220.0,1351987
2024-02-08,209.31512451171875,214.5500030517578,220.0,213.60000610351562,218.3000030517578,486445
2024-02-09,213.2663116455078,218.60000610351562,220.5,210.14999389648438,215.0,1383930
2024-02-12,208.97366333007812,214.1999969482422,218.35000610351562,210.14999389648438,218.0,1734359
2024-02-13,213.46142578125,218.8000030517578,222.3000030517578,212.89999389648438,218.5500030517578,1008554
2024-02-14,212.7785186767578,218.10000610351562,219.4499969482422,216.5,216.8000030517578,350553
2024-02-15,213.02239990234375,218.35000610351562,223.25,217.0500030517578,219.0500030517578,698682
2024-02-16,220.53453063964844,226.0500030517578,229.25,219.10000610351562,219.3000030517578,1072287
2024-02-19,219.16867065429688,224.64999389648438,229.85000610351562,222.5,229.0,1071497
2024-02-20,217.90042114257812,223.35000610351562,225.8000030517578,221.35000610351562,224.75,546971
2024-02-21,213.9004364013672,219.25,224.64999389648438,215.14999389648438,224.64999389648438,475355
2024-02-22,212.68093872070312,218.0,224.5,214.6999969482422,224.5,518416
