date_,adj close_nava.ns,close_nava.ns,high_nava.ns,low_nava.ns,open_nava.ns,volume_nava.ns
2024-01-16,235.59539794921875,241.3249969482422,248.47500610351562,234.97500610351562,234.97500610351562,2707784
2024-01-17,229.32296752929688,234.89999389648438,239.75,233.4499969482422,237.5,743854
2024-01-18,224.6613311767578,230.125,234.35000610351562,221.9499969482422,233.5,763330
2024-01-19,227.41925048828125,232.9499969482422,234.5,231.0500030517578,231.39999389648438,442364
2024-01-23,221.366455078125,226.75,238.8249969482422,222.5,238.77499389648438,838848
2024-01-24,222.6844024658203,228.10000610351562,231.0500030517578,223.47500610351562,227.5,531400
2024-01-25,221.39085388183594,226.77499389648438,233.25,225.6750030517578,228.0,635462
2024-01-29,229.8110809326172,235.39999389648438,239.10000610351562,228.4499969482422,228.52499389648438,1155078
2024-01-30,231.6659698486328,237.3000030517578,240.85000610351562,234.1999969482422,237.0,658372
2024-01-31,231.4951171875,237.125,239.14999389648438,232.0500030517578,237.89999389648438,1061214
2024-02-01,238.548583984375,244.35000610351562,247.1999969482422,237.60000610351562,238.6999969482422,1811834
2024-02-02,244.894287109375,250.85000610351562,261.4750061035156,248.0,248.0,6176942
2024-02-05,246.99322509765625,253.0,264.95001220703125,251.0,259.0,3069986
2024-02-06,246.60272216796875,252.60000610351562,257.9750061035156,251.3249969482422,256.0,975428
2024-02-07,244.4061279296875,250.35000610351562,261.2749938964844,249.02499389648438,256.0,1180242
2024-02-08,244.6258087158203,250.5749969482422,253.5,249.0,252.10000610351562,496898
2024-02-09,241.13568115234375,247.0,253.4499969482422,240.9250030517578,252.47500610351562,739988
2024-02-12,231.17784118652344,236.8000030517578,248.6999969482422,235.02499389648438,248.1999969482422,559200
2024-02-13,228.02940368652344,233.5749969482422,240.3000030517578,229.3000030517578,237.5,729242
2024-02-14,236.49844360351562,242.25,244.5749969482422,230.52499389648438,232.5,994432
2024-02-15,238.10926818847656,243.89999389648438,249.47500610351562,242.5749969482422,243.5,772284
2024-02-16,252.53347778320312,258.67498779296875,259.5,244.0,245.72500610351562,1740300
2024-02-19,253.70498657226562,259.875,261.95001220703125,254.1750030517578,259.1000061035156,782606
