date_,adj close_creditacc.ns,close_creditacc.ns,high_creditacc.ns,low_creditacc.ns,open_creditacc.ns,volume_creditacc.ns
2024-01-16,1690.9415283203125,1704.3499755859375,1725.25,1673.0,1673.949951171875,126666
2024-01-17,1643.26953125,1656.300048828125,1696.4000244140625,1650.0,1690.050048828125,270447
2024-01-18,1635.729248046875,1648.699951171875,1662.949951171875,1596.0,1654.949951171875,344148
2024-01-19,1662.268798828125,1675.449951171875,1721.449951171875,1641.25,1674.0,345261
2024-01-23,1611.7197265625,1624.5,1698.9000244140625,1585.25,1669.75,261074
2024-01-24,1541.575927734375,1553.800048828125,1624.449951171875,1540.0,1620.0,411522
2024-01-25,1578.880126953125,1591.4000244140625,1610.0,1504.6500244140625,1553.0999755859375,755884
2024-01-29,1546.1893310546875,1558.449951171875,1619.9000244140625,1554.199951171875,1599.699951171875,336070
2024-01-30,1547.28076171875,1559.550048828125,1586.0,1523.0,1567.5999755859375,247573
2024-01-31,1577.292724609375,1589.800048828125,1609.0,1559.550048828125,1565.800048828125,247848
2024-02-01,1581.310791015625,1593.8499755859375,1607.0,1542.4000244140625,1607.0,216457
2024-02-02,1595.399169921875,1608.050048828125,1621.8499755859375,1572.1500244140625,1609.949951171875,219709
2024-02-05,1566.5279541015625,1578.949951171875,1612.949951171875,1565.1500244140625,1606.949951171875,167809
2024-02-06,1606.3621826171875,1619.0999755859375,1621.0,1570.4000244140625,1570.4000244140625,146780
2024-02-07,1603.9810791015625,1616.699951171875,1627.199951171875,1592.0999755859375,1619.0999755859375,100617
2024-02-08,1538.20263671875,1550.4000244140625,1618.0,1533.4000244140625,1618.0,201891
2024-02-09,1583.4935302734375,1596.050048828125,1600.0,1520.0,1554.699951171875,355792
2024-02-12,1612.017333984375,1624.800048828125,1660.0,1601.0,1608.3499755859375,544128
2024-02-13,1618.5654296875,1631.4000244140625,1649.699951171875,1604.6500244140625,1639.949951171875,251461
2024-02-14,1582.1046142578125,1594.6500244140625,1625.199951171875,1579.8499755859375,1625.199951171875,99026
2024-02-15,1544.8499755859375,1557.0999755859375,1611.9000244140625,1553.0,1608.0,110083
