date_,adj close_nestleind.ns,close_nestleind.ns,high_nestleind.ns,low_nestleind.ns,open_nestleind.ns,volume_nestleind.ns
2024-01-16,1248.6937255859375,1271.0250244140625,1278.449951171875,1265.675048828125,1278.449951171875,1386740
2024-01-17,1249.2095947265625,1271.550048828125,1278.574951171875,1262.699951171875,1271.0250244140625,1603238
2024-01-18,1229.0206298828125,1251.0,1275.0,1248.074951171875,1267.5,1269820
2024-01-19,1234.989013671875,1257.074951171875,1260.949951171875,1249.8499755859375,1255.0,1882782
2024-01-23,1209.8140869140625,1231.449951171875,1249.0999755859375,1223.0,1240.0,1381076
2024-01-24,1234.890625,1256.9749755859375,1259.699951171875,1227.5,1238.949951171875,1318076
2024-01-25,1219.27001953125,1241.074951171875,1264.0,1233.8499755859375,1262.5250244140625,1571546
2024-01-29,1227.325927734375,1249.2750244140625,1252.5,1238.300048828125,1241.074951171875,1265438
2024-01-30,1224.133056640625,1246.0250244140625,1265.574951171875,1244.0,1256.0,1336068
2024-01-31,1230.9853515625,1253.0,1255.875,1240.8499755859375,1254.5,1432188
2024-02-01,1212.2210693359375,1233.9000244140625,1255.449951171875,1231.3499755859375,1255.0,1641132
2024-02-02,1218.901611328125,1240.699951171875,1248.0,1231.5250244140625,1234.0,1508122
2024-02-05,1209.7156982421875,1231.3499755859375,1252.5,1228.3499755859375,1252.5,1065954
2024-02-06,1206.743896484375,1228.324951171875,1238.9749755859375,1222.875,1231.175048828125,1540366
2024-02-07,1227.8416748046875,1249.800048828125,1255.7750244140625,1223.3499755859375,1235.0,3094808
2024-02-08,1190.2391357421875,1211.5250244140625,1256.925048828125,1204.550048828125,1251.9749755859375,3308894
2024-02-09,1203.526611328125,1225.050048828125,1232.949951171875,1210.0250244140625,1221.425048828125,1677638
2024-02-12,1207.9229736328125,1229.5250244140625,1233.9749755859375,1219.6500244140625,1229.875,890538
2024-02-13,1207.087890625,1228.675048828125,1238.300048828125,1222.4749755859375,1237.0,621970
2024-02-14,1221.65234375,1243.5,1248.675048828125,1217.5250244140625,1225.0,1018616
2024-02-15,1208.623046875,1226.7750244140625,1247.5,1219.0,1247.5,1680952
2024-02-16,1225.420654296875,1243.824951171875,1245.25,1224.300048828125,1228.5250244140625,1493232
2024-02-19,1238.0313720703125,1256.625,1262.75,1240.699951171875,1247.5,955040
2024-02-20,1250.912841796875,1269.699951171875,1270.9000244140625,1248.550048828125,1259.5,1262888
2024-02-21,1252.98193359375,1271.800048828125,1275.5,1259.074951171875,1269.699951171875,1786364
2024-02-22,1262.6121826171875,1281.574951171875,1282.9749755859375,1262.5,1280.0,1504742
2024-02-23,1270.4197998046875,1289.5,1291.5,1275.9749755859375,1282.5,1211238
2024-02-26,1272.833740234375,1291.949951171875,1294.0,1283.375,1294.0,1323894
2024-02-27,1280.124267578125,1299.3499755859375,1300.7249755859375,1283.375,1292.5,1261744
2024-02-28,1266.4296875,1285.449951171875,1302.5,1280.125,1300.5,985574
2024-02-29,1278.892578125,1298.0999755859375,1303.0999755859375,1273.5250244140625,1285.7249755859375,2774576
2024-03-01,1281.4788818359375,1300.7249755859375,1308.2750244140625,1291.25,1298.0999755859375,1511456
2024-03-04,1275.395263671875,1294.550048828125,1300.550048828125,1288.699951171875,1297.449951171875,1268620
2024-03-05,1250.54345703125,1269.324951171875,1297.5999755859375,1266.0,1295.0,678604
2024-03-06,1247.784912109375,1266.5250244140625,1283.375,1254.125,1270.0,1983280
2024-03-07,1261.5284423828125,1280.4749755859375,1283.0,1259.5,1265.0,1297304
2024-03-11,1286.4295654296875,1305.75,1315.5,1274.2750244140625,1280.4749755859375,2990598
2024-03-12,1275.912353515625,1295.074951171875,1307.5250244140625,1283.1500244140625,1303.0250244140625,1726470
2024-03-13,1272.3656005859375,1291.4749755859375,1326.824951171875,1276.425048828125,1297.4749755859375,3627604
2024-03-14,1287.0452880859375,1306.375,1309.9749755859375,1286.949951171875,1295.0,2245994
2024-03-15,1282.5625,1301.824951171875,1314.949951171875,1292.5999755859375,1308.4749755859375,2533984
2024-03-18,1271.0849609375,1290.175048828125,1305.4000244140625,1279.375,1301.824951171875,1285192
2024-03-19,1229.55859375,1248.0250244140625,1292.375,1234.074951171875,1290.0,3497728
2024-03-20,1256.2576904296875,1275.125,1277.5,1249.0250244140625,1257.0,1399290
2024-03-21,1257.932373046875,1276.824951171875,1281.0250244140625,1262.574951171875,1275.5,1807754
2024-03-22,1267.6612548828125,1286.699951171875,1296.0,1268.5,1270.0999755859375,2027126
2024-03-26,1273.9173583984375,1293.050048828125,1298.25,1266.074951171875,1284.0,1941704
2024-03-27,1264.2376708984375,1283.2249755859375,1295.2750244140625,1275.875,1293.050048828125,1801192
2024-03-28,1291.7742919921875,1311.175048828125,1319.3499755859375,1283.5250244140625,1283.5250244140625,4365832
2024-04-01,1273.671142578125,1292.800048828125,1321.300048828125,1291.25,1311.175048828125,1486064
2024-04-02,1292.2423095703125,1311.6500244140625,1315.0,1291.5,1298.5,1445766
2024-04-03,1258.0802001953125,1276.9749755859375,1311.9749755859375,1272.5,1311.6500244140625,3850278
2024-04-04,1255.9375,1274.800048828125,1285.0,1257.050048828125,1284.9000244140625,2782752
2024-04-05,1250.05078125,1268.824951171875,1288.0,1267.0,1287.5,1532454
2024-04-08,1230.5438232421875,1249.0250244140625,1273.625,1246.425048828125,1265.5,2436980
2024-04-09,1232.8836669921875,1251.4000244140625,1261.0999755859375,1248.5,1253.0,867882
2024-04-10,1245.1002197265625,1263.800048828125,1266.5,1247.0250244140625,1257.0,989760
2024-04-12,1249.336669921875,1268.0999755859375,1279.5,1258.0999755859375,1267.3499755859375,2479930
2024-04-15,1257.932373046875,1276.824951171875,1288.5,1255.0,1255.0,2293646
2024-04-16,1254.21337890625,1273.050048828125,1291.824951171875,1271.1500244140625,1275.074951171875,1537722
2024-04-18,1213.0565185546875,1231.2750244140625,1271.324951171875,1205.300048828125,1270.050048828125,6077666
2024-04-19,1200.8153076171875,1218.8499755859375,1235.675048828125,1205.0,1215.0,3702024
2024-04-22,1211.159912109375,1229.3499755859375,1241.0,1213.925048828125,1218.25,2504706
