date_,adj close_astral.ns,close_astral.ns,high_astral.ns,low_astral.ns,open_astral.ns,volume_astral.ns
2024-01-16,1785.602294921875,1794.1500244140625,1820.0999755859375,1783.25,1814.9000244140625,298260
2024-01-17,1766.2449951171875,1774.699951171875,1803.25,1771.0,1789.050048828125,319628
2024-01-18,1782.865478515625,1791.4000244140625,1798.0,1740.0,1775.0,876994
2024-01-19,1841.9326171875,1850.75,1859.0,1801.5999755859375,1806.949951171875,623395
2024-01-23,1765.9464111328125,1774.4000244140625,1838.800048828125,1765.0,1834.949951171875,1306351
2024-01-24,1819.1417236328125,1827.8499755859375,1834.25,1772.199951171875,1779.800048828125,489460
2024-01-25,1791.47412109375,1800.050048828125,1833.0,1786.5,1829.5,512718
2024-01-29,1859.8468017578125,1868.75,1875.0,1810.0,1810.0,1046879
2024-01-30,1867.5098876953125,1876.449951171875,1889.949951171875,1863.25,1889.949951171875,773114
2024-01-31,1821.6795654296875,1830.4000244140625,1884.0,1807.0999755859375,1842.0,1742853
2024-02-01,1880.199462890625,1889.199951171875,1905.0,1820.0,1834.0,1028119
2024-02-02,1893.38623046875,1902.449951171875,1943.0,1889.9000244140625,1889.9000244140625,829998
2024-02-05,1865.8680419921875,1874.800048828125,1919.8499755859375,1860.0,1910.0,814203
2024-02-06,1879.75146484375,1888.75,1904.949951171875,1874.800048828125,1893.949951171875,387406
2024-02-07,1885.3248291015625,1894.3499755859375,1913.0,1886.300048828125,1895.0,265200
2024-02-08,1864.5244140625,1873.449951171875,1911.0,1869.5999755859375,1903.0,479678
2024-02-09,1843.6243896484375,1852.449951171875,1880.949951171875,1835.550048828125,1879.0,358812
2024-02-12,1929.1649169921875,1938.4000244140625,1955.0,1833.550048828125,1852.449951171875,1545736
2024-02-13,1890.6492919921875,1899.699951171875,1947.9000244140625,1874.6500244140625,1943.949951171875,484655
2024-02-14,1941.05810546875,1950.3499755859375,1954.949951171875,1880.0,1880.0,609990
2024-02-15,1945.934814453125,1955.25,1966.0,1944.5999755859375,1954.949951171875,397001
2024-02-16,1959.4202880859375,1968.800048828125,1983.800048828125,1948.199951171875,1955.25,360551
2024-02-19,1957.330078125,1966.699951171875,1973.800048828125,1948.449951171875,1970.1500244140625,421390
2024-02-20,1942.7003173828125,1952.0,1984.949951171875,1944.9000244140625,1966.699951171875,329238
2024-02-21,1921.302734375,1930.5,1970.0,1922.75,1966.0,649882
2024-02-22,1955.7874755859375,1965.1500244140625,1969.949951171875,1925.0999755859375,1943.0,305171
2024-02-23,2066.009765625,2075.89990234375,2095.0,1968.0,1981.0,2917191
2024-02-26,2074.51904296875,2084.449951171875,2124.449951171875,2042.050048828125,2094.0,2331714
2024-02-27,2085.267578125,2095.25,2134.550048828125,2075.0,2094.89990234375,1057268
2024-02-28,2042.6715087890625,2052.449951171875,2116.75,2039.199951171875,2104.0,639894
2024-02-29,2059.242431640625,2069.10009765625,2090.0,2031.5,2052.5,2050782
2024-03-01,2063.720947265625,2073.60009765625,2106.199951171875,2066.050048828125,2086.5,388318
