date_,adj close_zeel.ns,close_zeel.ns,high_zeel.ns,low_zeel.ns,open_zeel.ns,volume_zeel.ns
2024-01-16,246.10684204101562,253.3000030517578,254.9499969482422,243.25,243.89999389648438,28921018
2024-01-17,238.868408203125,245.85000610351562,257.45001220703125,245.0,248.60000610351562,19673798
2024-01-18,241.1516571044922,248.1999969482422,264.0,233.60000610351562,245.85000610351562,55813937
2024-01-19,228.32650756835938,235.0,253.0,229.0500030517578,251.5,73034564
2024-01-23,151.5213623046875,155.9499969482422,208.3000030517578,152.5,208.3000030517578,228434365
2024-01-24,161.6260223388672,166.35000610351562,170.39999389648438,158.0,158.0,146400155
2024-01-25,158.5654754638672,163.1999969482422,168.0,158.10000610351562,167.0,38211764
2024-01-29,157.1566619873047,161.75,167.89999389648438,161.0500030517578,164.0,29686724
2024-01-30,166.04681396484375,170.89999389648438,176.3000030517578,161.3000030517578,162.89999389648438,60085292
2024-01-31,168.18435668945312,173.10000610351562,174.39999389648438,167.5,172.0,16230285
2024-02-01,165.70675659179688,170.5500030517578,177.1999969482422,169.3000030517578,177.14999389648438,12092548
2024-02-02,167.99000549316406,172.89999389648438,179.0,169.6999969482422,173.0,31839130
2024-02-05,172.94520568847656,178.0,181.60000610351562,175.3000030517578,178.1999969482422,26473589
2024-02-06,170.8076629638672,175.8000030517578,181.1999969482422,174.5500030517578,178.0,18508957
2024-02-07,177.17166137695312,182.35000610351562,184.14999389648438,178.14999389648438,178.14999389648438,28616071
2024-02-08,187.81069946289062,193.3000030517578,195.0,184.64999389648438,185.0,45808076
2024-02-09,197.4781494140625,203.25,206.39999389648438,185.25,195.0,69898250
2024-02-12,182.5640411376953,187.89999389648438,209.6999969482422,185.5500030517578,206.0,30673450
2024-02-13,183.29275512695312,188.64999389648438,190.8000030517578,180.0,188.1999969482422,17661292
2024-02-14,194.51475524902344,200.1999969482422,202.85000610351562,180.3000030517578,183.0,36486252
2024-02-15,182.5640411376953,187.89999389648438,203.39999389648438,186.4499969482422,203.39999389648438,22513855
2024-02-16,178.5319061279297,183.75,190.89999389648438,182.5,188.0,16202833
2024-02-19,173.43099975585938,178.5,185.39999389648438,177.6999969482422,184.0,17690102
2024-02-20,187.1791534423828,192.64999389648438,205.25,184.0,186.0,85302095
2024-02-21,159.9257354736328,164.60000610351562,176.25,163.75,173.39999389648438,106831188
2024-02-22,163.37489318847656,168.14999389648438,169.89999389648438,163.39999389648438,165.8000030517578,29874674
2024-02-23,168.52439880371094,173.4499969482422,177.1999969482422,169.10000610351562,170.60000610351562,27251454
2024-02-26,166.48403930664062,171.35000610351562,176.9499969482422,170.39999389648438,174.5500030517578,11795993
2024-02-27,168.13575744628906,173.0500030517578,176.75,170.75,171.14999389648438,17653282
2024-02-28,157.39956665039062,162.0,174.75,159.35000610351562,173.89999389648438,31725213
2024-02-29,156.37936401367188,160.9499969482422,164.8000030517578,154.5,162.6999969482422,75726897
2024-03-01,150.88983154296875,155.3000030517578,161.9499969482422,154.5,160.0,33783224
2024-03-04,150.5011749267578,154.89999389648438,159.9499969482422,153.8000030517578,159.0,13717476
2024-03-05,150.6469268798828,155.0500030517578,156.89999389648438,153.3000030517578,156.1999969482422,12693564
2024-03-06,149.67532348632812,154.0500030517578,156.3000030517578,150.0,155.5,16147540
