date_,adj close_sobha.ns,close_sobha.ns,high_sobha.ns,low_sobha.ns,open_sobha.ns,volume_sobha.ns
2024-01-16,1361.0126953125,1365.9000244140625,1377.699951171875,1310.8499755859375,1334.199951171875,519863
2024-01-17,1321.7535400390625,1326.5,1361.4000244140625,1320.0,1335.199951171875,209403
2024-01-18,1469.67236328125,1474.949951171875,1556.75,1241.0,1329.550048828125,2950905
2024-01-19,1447.1531982421875,1452.3499755859375,1486.5,1441.1500244140625,1474.9000244140625,756630
2024-01-23,1356.77783203125,1361.6500244140625,1489.199951171875,1314.949951171875,1488.050048828125,822001
2024-01-24,1391.901611328125,1396.9000244140625,1419.6500244140625,1278.050048828125,1374.9000244140625,679610
2024-01-25,1376.6065673828125,1381.550048828125,1429.6500244140625,1370.0,1401.0999755859375,239323
2024-01-29,1371.6741943359375,1376.5999755859375,1404.699951171875,1363.5,1389.9000244140625,182983
2024-01-30,1399.324951171875,1404.3499755859375,1425.0,1373.0,1378.4000244140625,372556
2024-01-31,1442.5697021484375,1447.75,1450.0,1382.949951171875,1405.0,302640
2024-02-01,1425.680419921875,1430.800048828125,1454.5999755859375,1402.6500244140625,1450.0,260212
2024-02-02,1409.339111328125,1414.4000244140625,1458.8499755859375,1397.199951171875,1436.6500244140625,170314
2024-02-05,1384.9267578125,1389.9000244140625,1429.449951171875,1372.0,1420.0,148913
2024-02-06,1437.737060546875,1442.9000244140625,1457.5,1390.1500244140625,1390.1500244140625,239975
2024-02-07,1465.786376953125,1471.050048828125,1524.949951171875,1453.199951171875,1460.0,400405
2024-02-08,1425.4810791015625,1430.5999755859375,1443.699951171875,1350.449951171875,1398.0,449698
2024-02-09,1413.07568359375,1418.1500244140625,1467.699951171875,1370.0999755859375,1465.949951171875,339675
2024-02-12,1343.724609375,1348.550048828125,1408.0,1258.3499755859375,1385.0,1095240
2024-02-13,1352.5927734375,1357.449951171875,1374.949951171875,1325.0,1351.0,303010
2024-02-14,1351.19775390625,1356.050048828125,1377.75,1315.75,1347.0,141128
2024-02-15,1391.851806640625,1396.8499755859375,1408.0,1361.0,1362.0999755859375,128419
2024-02-16,1437.737060546875,1442.9000244140625,1454.4000244140625,1271.0999755859375,1409.9000244140625,413168
2024-02-19,1393.246826171875,1398.25,1462.949951171875,1390.0,1454.4000244140625,122073
2024-02-20,1381.837890625,1386.800048828125,1430.949951171875,1378.800048828125,1408.800048828125,151601
2024-02-21,1474.704345703125,1480.0,1516.449951171875,1380.199951171875,1380.199951171875,774123
2024-02-22,1478.0921630859375,1483.4000244140625,1494.1500244140625,1433.199951171875,1487.800048828125,206057
2024-02-23,1454.97509765625,1460.199951171875,1506.0999755859375,1440.0,1498.0,165279
2024-02-26,1578.5313720703125,1584.199951171875,1635.0,1465.050048828125,1465.050048828125,614497
2024-02-27,1615.797607421875,1621.5999755859375,1675.0,1558.050048828125,1584.199951171875,756971
2024-02-28,1547.7420654296875,1553.300048828125,1636.6500244140625,1503.449951171875,1621.5999755859375,473283
2024-02-29,1559.549560546875,1565.1500244140625,1601.449951171875,1536.5999755859375,1558.4000244140625,458153
2024-03-01,1592.2821044921875,1598.0,1620.0,1558.050048828125,1565.449951171875,321856
2024-03-04,1601.4990234375,1607.25,1659.0,1531.449951171875,1640.8499755859375,289534
2024-03-05,1595.4705810546875,1601.199951171875,1625.0,1579.0,1588.0,164050
2024-03-06,1507.486572265625,1512.9000244140625,1606.800048828125,1462.3499755859375,1600.050048828125,328344
2024-03-07,1510.9241943359375,1516.3499755859375,1542.0,1481.0,1512.8499755859375,158097
2024-03-11,1445.0606689453125,1450.25,1526.3499755859375,1421.0999755859375,1517.0,196913
2024-03-12,1394.2930908203125,1399.300048828125,1464.0,1380.0,1453.6500244140625,209085
2024-03-13,1263.462890625,1268.0,1447.949951171875,1231.1500244140625,1429.8499755859375,524111
2024-03-14,1296.2950439453125,1300.949951171875,1323.0,1223.550048828125,1268.0,326469
2024-03-15,1239.0006103515625,1243.449951171875,1311.6500244140625,1230.050048828125,1311.6500244140625,426053
2024-03-18,1270.0391845703125,1274.5999755859375,1315.0,1207.050048828125,1239.949951171875,480222
2024-03-19,1252.0040283203125,1256.5,1284.8499755859375,1242.449951171875,1282.0,178623
2024-03-20,1247.12158203125,1251.5999755859375,1299.949951171875,1241.0,1257.800048828125,294157
2024-03-21,1397.0333251953125,1402.050048828125,1415.949951171875,1256.5999755859375,1265.0,1141022
2024-03-22,1471.764892578125,1477.050048828125,1515.050048828125,1363.699951171875,1393.0,830072
2024-03-26,1426.078857421875,1431.199951171875,1491.1500244140625,1418.0,1470.0,404752
2024-03-27,1425.879638671875,1431.0,1518.699951171875,1408.949951171875,1436.949951171875,546014
2024-03-28,1443.5660400390625,1448.75,1464.0,1431.0,1450.300048828125,172985
2024-04-01,1537.6781005859375,1543.199951171875,1550.0,1425.0999755859375,1436.5999755859375,522870
2024-04-02,1562.289794921875,1567.9000244140625,1583.0,1530.0,1534.0,330916
2024-04-03,1563.435791015625,1569.050048828125,1598.449951171875,1543.1500244140625,1567.9000244140625,212264
2024-04-04,1557.955322265625,1563.550048828125,1586.75,1543.0,1569.050048828125,130785
2024-04-05,1549.4359130859375,1555.0,1570.0,1511.1500244140625,1540.0,315984
2024-04-08,1534.5892333984375,1540.0999755859375,1585.0,1534.0,1568.949951171875,90446
2024-04-09,1594.9722900390625,1600.699951171875,1687.0,1548.050048828125,1548.050048828125,1009594
2024-04-10,1638.4661865234375,1644.3499755859375,1660.0,1604.75,1604.800048828125,276103
2024-04-12,1595.5703125,1601.300048828125,1660.0,1597.0,1650.0,294468
2024-04-15,1576.8375244140625,1582.5,1610.75,1513.449951171875,1542.0,230538
2024-04-16,1602.246337890625,1608.0,1618.0,1563.75,1575.0,123584
2024-04-18,1609.2213134765625,1615.0,1637.0,1590.0,1606.0,129464
2024-04-19,1572.652587890625,1578.300048828125,1606.5999755859375,1560.699951171875,1581.0,100648
