date_,adj close_gpil.ns,close_gpil.ns,high_gpil.ns,low_gpil.ns,open_gpil.ns,volume_gpil.ns
2024-01-16,149.61558532714844,151.3300018310547,157.1999969482422,150.0,155.0,1748145
2024-01-17,146.07614135742188,147.75,153.97999572753906,146.02999877929688,150.3300018310547,1951875
2024-01-18,143.52536010742188,145.1699981689453,148.63999938964844,141.6999969482422,147.8000030517578,1999390
2024-01-19,147.4701690673828,149.16000366210938,149.77000427246094,146.22999572753906,146.82000732421875,979635
2024-01-23,141.47882080078125,143.10000610351562,149.44000244140625,142.0,148.39999389648438,1510035
2024-01-24,141.47882080078125,143.10000610351562,144.7100067138672,138.8699951171875,143.60000610351562,2528745
2024-01-25,150.2087860107422,151.92999267578125,156.36000061035156,143.39999389648438,143.42999267578125,3282320
2024-01-29,145.62135314941406,147.2899932861328,149.8800048828125,146.60000610351562,149.5399932861328,2071915
2024-01-30,147.09446716308594,148.77999877929688,149.6999969482422,146.60000610351562,147.7899932861328,1168020
2024-01-31,150.59437561035156,152.32000732421875,153.0,148.39999389648438,148.77999877929688,1433935
2024-02-01,146.94618225097656,148.6300048828125,153.36000061035156,148.0,152.41000366210938,1083880
2024-02-02,148.90374755859375,150.61000061035156,153.27999877929688,149.0500030517578,149.55999755859375,1282530
2024-02-05,149.97149658203125,151.69000244140625,155.60000610351562,150.05999755859375,151.27999877929688,1553380
2024-02-06,152.3739776611328,154.1199951171875,156.0,149.5500030517578,153.17999267578125,2189730
2024-02-07,160.18447875976562,162.02000427246094,167.32000732421875,156.0,157.60000610351562,10973150
2024-02-08,155.48829650878906,157.27000427246094,168.8800048828125,156.1999969482422,163.94000244140625,4660610
2024-02-09,155.0137176513672,156.7899932861328,159.69000244140625,151.0800018310547,158.0,3531750
2024-02-12,150.85142517089844,152.5800018310547,159.0,151.22000122070312,159.0,2151030
2024-02-13,145.72021484375,147.38999938964844,152.3000030517578,144.42999267578125,152.0,2581035
2024-02-14,149.24978637695312,150.9600067138672,151.60000610351562,143.1999969482422,144.52000427246094,1275215
2024-02-15,154.21290588378906,155.97999572753906,156.58999633789062,152.0,153.39999389648438,1767450
2024-02-16,152.01805114746094,153.75999450683594,158.8699951171875,152.1999969482422,156.39999389648438,1437770
2024-02-19,157.16903686523438,158.97000122070312,164.8000030517578,156.63999938964844,160.0,4044745
2024-02-20,155.48829650878906,157.27000427246094,162.3699951171875,156.0,159.1300048828125,1154210
2024-02-21,153.1055908203125,154.86000061035156,159.82000732421875,153.8000030517578,157.47000122070312,1547125
2024-02-22,154.3414306640625,156.11000061035156,156.89999389648438,154.0,156.55999755859375,801675
2024-02-23,154.19313049316406,155.9600067138672,157.89999389648438,154.30999755859375,157.89999389648438,884895
2024-02-26,152.68045043945312,154.42999267578125,157.0,154.0,157.0,975765
2024-02-27,145.47305297851562,147.13999938964844,155.97000122070312,146.22000122070312,155.2100067138672,2269270
2024-02-28,146.69900512695312,148.3800048828125,150.0,145.08999633789062,150.0,1221005
2024-02-29,146.65945434570312,148.33999633789062,149.91000366210938,145.02000427246094,148.1999969482422,1536875
2024-03-01,151.93894958496094,153.67999267578125,154.0,149.38999938964844,151.60000610351562,1589945
2024-03-04,151.1776885986328,152.91000366210938,155.52999877929688,151.10000610351562,155.0,1275140
2024-03-05,149.8825225830078,151.60000610351562,153.72000122070312,150.3000030517578,152.72999572753906,955680
2024-03-06,148.16224670410156,149.86000061035156,152.60000610351562,147.13999938964844,151.88999938964844,2072255
