date_,adj close_shreecem.ns,close_shreecem.ns,high_shreecem.ns,low_shreecem.ns,open_shreecem.ns,volume_shreecem.ns
2024-01-16,26803.9453125,27082.099609375,27348.0,26632.900390625,26890.0,26736
2024-01-17,25868.552734375,26137.0,27087.849609375,26062.0,26959.94921875,48405
2024-01-18,26205.2109375,26477.150390625,26598.0,25650.0,26248.900390625,28106
2024-01-19,26375.7890625,26649.5,26780.0,26456.150390625,26618.94921875,52520
2024-01-23,27211.369140625,27493.75,28165.0,27414.80078125,27600.0,38128
2024-01-24,27351.318359375,27635.150390625,27859.80078125,27218.44921875,27454.0,46946
2024-01-25,27661.74609375,27948.80078125,28249.5,27270.44921875,27699.94921875,25490
2024-01-29,28119.744140625,28411.55078125,28850.0,27921.94921875,27998.75,35863
2024-01-30,27789.373046875,28077.75,28700.0,27999.05078125,28434.94921875,30799
2024-01-31,28262.95703125,28556.25,28700.0,28012.349609375,28100.0,63061
2024-02-01,29309.400390625,29613.55078125,30737.75,29202.099609375,29500.0,174274
2024-02-02,28161.705078125,28453.94921875,29699.849609375,28374.30078125,29500.0,64360
2024-02-05,26677.955078125,26954.80078125,29000.05078125,26699.19921875,29000.0,71596
2024-02-06,27286.2421875,27569.400390625,27915.0,27231.44921875,27251.0,58072
2024-02-07,27827.52734375,28116.30078125,28207.0,27705.05078125,27844.900390625,19792
2024-02-08,27137.34375,27370.19921875,28250.0,27247.849609375,28125.099609375,32063
2024-02-09,27395.03515625,27630.099609375,27825.0,27200.0,27450.0,25267
2024-02-12,27033.5390625,27265.5,27709.599609375,27162.0,27630.099609375,17053
2024-02-13,27017.822265625,27249.650390625,27500.0,26993.849609375,27299.94921875,19098
2024-02-14,26669.609375,26898.44921875,27287.30078125,26777.0,27100.0,22415
2024-02-15,26108.87109375,26332.900390625,27144.900390625,26250.0,27144.900390625,21511
2024-02-16,26074.26953125,26298.0,26650.0,26251.5,26540.0,27371
2024-02-19,26587.169921875,26815.30078125,26894.400390625,26258.349609375,26426.0,23096
2024-02-20,26299.23828125,26524.900390625,26799.94921875,26412.5,26750.0,20365
2024-02-21,26120.8671875,26345.0,26718.75,26224.0,26690.0,23910
2024-02-22,26377.021484375,26603.349609375,26650.0,26207.400390625,26345.05078125,18526
2024-02-23,26264.287109375,26489.650390625,26779.849609375,26300.650390625,26300.650390625,14216
2024-02-26,25877.65625,26099.69921875,26450.0,25972.599609375,26340.19921875,28996
2024-02-27,25968.474609375,26191.30078125,26506.900390625,26100.05078125,26190.0,21987
2024-02-28,25388.552734375,25606.400390625,26289.75,25421.5,26191.30078125,32860
2024-02-29,25287.419921875,25504.400390625,25833.0,25444.099609375,25724.900390625,56138
2024-03-01,25419.6875,25637.80078125,25895.94921875,25504.25,25689.0,18817
2024-03-04,25511.3984375,25730.30078125,25845.80078125,25420.0,25790.0,29764
2024-03-05,24796.978515625,25009.75,25801.099609375,24954.94921875,25801.099609375,47317
2024-03-06,24543.65234375,24754.25,25127.30078125,24458.0,25009.75,33596
2024-03-07,24495.7109375,24705.900390625,25031.900390625,24585.30078125,24849.94921875,73323
2024-03-11,25096.90625,25312.25,25358.900390625,24601.05078125,24601.05078125,53262
2024-03-12,24748.048828125,24960.400390625,25359.94921875,24767.5,25359.94921875,20622
2024-03-13,24153.103515625,24360.349609375,25165.0,24247.75,25165.0,35720
2024-03-14,24745.2734375,24957.599609375,25043.80078125,24243.599609375,24360.349609375,22932
2024-03-15,24857.162109375,25070.44921875,25141.849609375,24502.650390625,24934.69921875,30859
2024-03-18,25127.591796875,25343.19921875,25405.349609375,24950.0,25096.30078125,92583
2024-03-19,24792.712890625,25005.44921875,25448.94921875,24796.75,25343.19921875,16822
2024-03-20,24723.705078125,24935.849609375,25189.80078125,24850.0,25189.80078125,18326
2024-03-21,25145.63671875,25361.400390625,25400.0,24927.55078125,25189.900390625,17006
2024-03-22,25150.25,25366.05078125,25489.94921875,25232.0,25399.0,12712
2024-03-26,25465.640625,25684.150390625,25788.0,25058.349609375,25474.0,38595
2024-03-27,25718.66796875,25939.349609375,26334.05078125,25750.0,25827.30078125,27139
2024-03-28,25464.3515625,25682.849609375,26091.0,25585.0,26091.0,26276
2024-04-01,26232.908203125,26458.0,26485.80078125,25800.0,25850.05078125,20317
2024-04-02,26307.169921875,26532.900390625,26722.599609375,26032.30078125,26458.0,41507
2024-04-03,26130.091796875,26354.30078125,26743.30078125,26285.099609375,26601.0,150756
2024-04-04,25689.818359375,25910.25,26469.0,25851.0,26469.0,85718
2024-04-05,25591.4609375,25811.05078125,25937.94921875,25699.0,25800.0,39306
2024-04-08,25734.3828125,25955.19921875,26249.94921875,25844.400390625,26069.19921875,31828
2024-04-09,25770.673828125,25991.80078125,26711.80078125,25880.099609375,26199.0,50143
2024-04-10,25392.123046875,25610.0,26041.94921875,25551.0,26000.0,24321
2024-04-12,25274.283203125,25491.150390625,25861.69921875,25201.44921875,25699.0,19756
2024-04-15,25080.990234375,25296.19921875,25528.150390625,25002.0,25316.0,24121
2024-04-16,24670.861328125,24882.55078125,25248.19921875,24798.55078125,25248.19921875,12999
2024-04-18,24218.044921875,24425.849609375,25099.0,24367.0,25090.0,35792
2024-04-19,24161.431640625,24368.75,24532.44921875,23984.05078125,24390.0,35614
2024-04-22,24188.84765625,24396.400390625,24675.0,24356.849609375,24533.900390625,25584
2024-04-23,24170.353515625,24377.75,24570.0,24300.0,24570.0,18872
2024-04-24,24161.830078125,24369.150390625,24597.900390625,24300.0,24500.0,17535
2024-04-25,23767.662109375,23971.599609375,24500.0,23780.0,24451.0,48298
2024-04-26,23935.123046875,24140.5,24295.0,23951.0,24040.0,15713
2024-04-29,23939.734375,24145.150390625,24295.900390625,24050.0,24250.25,25281
2024-04-30,24236.884765625,24444.849609375,25024.94921875,24175.0,24175.0,74531
2024-05-02,24615.982421875,24827.19921875,25372.55078125,24472.150390625,24499.94921875,98202
2024-05-03,25527.509765625,25746.55078125,25895.80078125,24927.900390625,25000.0,221844
2024-05-06,25319.744140625,25537.0,26561.650390625,25105.0,26100.0,51843
2024-05-07,25179.59765625,25395.650390625,25882.55078125,25054.849609375,25575.0,36812
2024-05-08,25442.142578125,25660.44921875,25742.80078125,25160.5,25444.19921875,31956
2024-05-09,25283.802734375,25500.75,25720.0,25420.80078125,25700.650390625,31751
2024-05-10,25442.935546875,25661.25,25833.099609375,25377.0,25600.0,24366
2024-05-13,25771.3671875,25992.5,26124.0,25592.05078125,25798.55078125,55302
2024-05-14,25803.4921875,26024.900390625,26436.94921875,25630.0,26050.0,84461
2024-05-15,25599.98828125,25819.650390625,26824.849609375,25645.80078125,26800.05078125,224481
2024-05-16,25467.078125,25685.599609375,26225.0,25505.0,26097.400390625,51248
2024-05-17,26082.00390625,26305.80078125,26343.400390625,25466.25,25710.05078125,32325
2024-05-21,25613.669921875,25833.44921875,26300.0,25640.25,26120.0,55405
2024-05-22,25460.484375,25678.94921875,25950.0,25520.400390625,25950.0,37478
2024-05-23,25458.453125,25676.900390625,25851.0,25425.05078125,25851.0,73090
2024-05-24,25239.875,25456.44921875,25750.099609375,25405.0,25650.099609375,30382
2024-05-27,25198.978515625,25415.19921875,25500.0,25255.099609375,25500.0,43246
2024-05-28,25416.5625,25634.650390625,25725.05078125,25412.75,25489.94921875,19032
2024-05-29,25110.091796875,25325.55078125,25500.0,25185.349609375,25452.0,39946
2024-05-30,24849.130859375,25062.349609375,25322.25,24700.099609375,25322.25,40445
2024-05-31,24470.62890625,24680.599609375,25425.0,24604.44921875,25227.30078125,75751
2024-06-03,25093.931640625,25309.25,25625.30078125,25088.099609375,25200.0,42209
2024-06-04,24671.109375,24882.80078125,25350.099609375,23700.0,25350.0,77396
2024-06-05,25264.271484375,25481.05078125,25600.0,24862.0,25194.94921875,24620
2024-06-06,25418.1484375,25636.25,25799.0,25435.0,25555.0,32684
2024-06-07,25855.64453125,26077.5,26250.0,25511.19921875,25700.0,77513
2024-06-10,27007.955078125,27239.69921875,27450.0,26078.0,26296.0,68197
2024-06-11,26833.6015625,27063.849609375,27290.0,26816.69921875,27239.69921875,41867
2024-06-12,27304.611328125,27538.900390625,27720.5,26890.099609375,26890.099609375,44979
2024-06-13,27256.87109375,27490.75,27625.0,27186.400390625,27504.0,29976
2024-06-14,27303.71875,27538.0,28025.0,27421.44921875,27491.0,37314
2024-06-18,27228.46484375,27462.099609375,27699.900390625,27263.25,27682.0,28615
2024-06-19,27209.923828125,27443.400390625,27757.05078125,27086.19921875,27480.0,35730
2024-06-20,27462.802734375,27698.44921875,27766.900390625,27343.849609375,27490.0,30646
2024-06-21,27170.66015625,27403.80078125,27850.0,27223.55078125,27850.0,59054
2024-06-24,27086.384765625,27318.80078125,27542.849609375,27086.25,27400.05078125,34949
2024-06-25,26985.994140625,27217.55078125,27581.0,27107.650390625,27400.0,40713
2024-06-26,27264.951171875,27498.900390625,28191.0,27086.25,27155.0,58935
2024-06-27,27595.662109375,27832.44921875,28242.0,27479.69921875,27480.0,65372
2024-06-28,27633.29296875,27870.400390625,28132.400390625,27711.099609375,27850.0,38614
2024-07-01,28112.1328125,28353.349609375,28614.94921875,27750.0,27994.0,59357
2024-07-02,27462.109375,27697.75,28527.30078125,27607.650390625,28353.400390625,21261
2024-07-03,27150.931640625,27383.900390625,27899.0,27285.900390625,27899.0,68891
2024-07-04,27225.443359375,27459.05078125,27554.900390625,27170.0,27548.0,40849
2024-07-05,27294.49609375,27528.69921875,27573.900390625,27297.599609375,27445.0,16956
2024-07-08,26961.904296875,27193.25,27549.599609375,26951.94921875,27510.0,21059
2024-07-09,27539.9921875,27776.30078125,27850.0,27207.0,27340.0,32653
2024-07-10,27668.041015625,27905.44921875,27967.94921875,27324.30078125,27776.30078125,42280
2024-07-11,27536.322265625,27772.599609375,28001.0,27600.19921875,27877.80078125,14648
2024-07-12,27430.134765625,27665.5,27885.0,27466.0,27791.0,17752
2024-07-15,27381.8984375,27616.849609375,27835.69921875,26811.05078125,27555.0,65384
2024-07-16,27669.380859375,27906.80078125,28683.19921875,27647.44921875,27747.0,99512
2024-07-18,27822.865234375,28061.599609375,28197.0,27672.19921875,27800.0,30733
2024-07-19,27052.029296875,27284.150390625,27998.099609375,27107.94921875,27852.0,46732
2024-07-22,27682.271484375,27919.80078125,27993.0,27001.0,27207.099609375,30476
2024-07-23,27977.720703125,28162.19921875,28395.0,27605.44921875,27801.0,90200
2024-07-24,27371.521484375,27552.0,28099.900390625,27251.150390625,27971.0,40236
2024-07-25,27304.3125,27484.349609375,27587.44921875,27200.0,27499.94921875,20756
2024-07-26,27386.173828125,27566.75,27870.0,27320.44921875,27651.0,25287
2024-07-29,27059.478515625,27237.900390625,27800.0,27155.0,27800.0,75146
2024-07-30,27135.42578125,27314.349609375,27490.0,26960.099609375,27414.55078125,54585
2024-07-31,27558.734375,27740.44921875,27813.400390625,27312.30078125,27360.5,51103
