date_,adj close_havells.ns,close_havells.ns,high_havells.ns,low_havells.ns,open_havells.ns,volume_havells.ns
2024-01-16,1413.2410888671875,1430.199951171875,1443.0,1425.9000244140625,1440.5,627295
2024-01-17,1414.37744140625,1431.3499755859375,1444.199951171875,1413.1500244140625,1427.8499755859375,1089285
2024-01-18,1383.695556640625,1400.300048828125,1433.949951171875,1394.0,1424.550048828125,603033
2024-01-19,1365.563232421875,1381.949951171875,1419.0,1370.6500244140625,1410.0,651609
2024-01-23,1297.5791015625,1313.1500244140625,1374.9000244140625,1300.550048828125,1370.050048828125,1286175
2024-01-24,1290.118408203125,1305.5999755859375,1323.1500244140625,1280.0,1299.0,1122451
2024-01-25,1275.04931640625,1290.3499755859375,1311.9000244140625,1283.0999755859375,1311.9000244140625,470783
2024-01-29,1302.2728271484375,1317.9000244140625,1322.75,1289.8499755859375,1290.3499755859375,1195162
2024-01-30,1279.7430419921875,1295.0999755859375,1328.0,1290.4000244140625,1328.0,702512
2024-01-31,1279.0513916015625,1294.4000244140625,1302.5999755859375,1287.449951171875,1296.050048828125,824629
2024-02-01,1302.029541015625,1314.5999755859375,1317.9000244140625,1292.9000244140625,1301.9000244140625,759546
2024-02-02,1328.4742431640625,1341.300048828125,1343.75,1308.199951171875,1325.0,1097984
2024-02-05,1326.9390869140625,1339.75,1357.800048828125,1334.6500244140625,1350.0,1659511
2024-02-06,1332.1387939453125,1345.0,1349.800048828125,1334.050048828125,1340.0,436681
2024-02-07,1338.4281005859375,1351.3499755859375,1356.0,1338.1500244140625,1350.0,416325
2024-02-08,1336.447265625,1349.3499755859375,1354.3499755859375,1333.5999755859375,1351.5,793521
2024-02-09,1334.0206298828125,1346.9000244140625,1354.9000244140625,1326.6500244140625,1340.0,941809
2024-02-12,1320.3526611328125,1333.0999755859375,1354.0,1328.050048828125,1345.0,902739
2024-02-13,1349.6199951171875,1362.6500244140625,1366.4000244140625,1315.050048828125,1332.9000244140625,1032576
2024-02-14,1367.5469970703125,1380.75,1388.949951171875,1354.9000244140625,1362.6500244140625,918064
2024-02-15,1367.447998046875,1380.6500244140625,1391.300048828125,1376.0,1387.5,250907
2024-02-16,1385.721435546875,1399.0999755859375,1401.0,1378.4000244140625,1387.0,458522
2024-02-19,1397.0621337890625,1410.550048828125,1422.5,1392.5999755859375,1401.050048828125,1412922
2024-02-20,1381.858642578125,1395.199951171875,1414.4000244140625,1392.050048828125,1409.3499755859375,542689
2024-02-21,1401.3209228515625,1414.8499755859375,1419.699951171875,1397.0999755859375,1407.0,454441
2024-02-22,1418.25732421875,1431.949951171875,1438.0,1415.0,1423.8499755859375,1507612
2024-02-23,1415.8309326171875,1429.5,1438.800048828125,1422.4000244140625,1431.0,542609
2024-02-26,1410.4329833984375,1424.050048828125,1430.0,1413.300048828125,1424.0,363708
2024-02-27,1455.1016845703125,1469.1500244140625,1482.0,1433.0,1438.5999755859375,2867826
