date_,adj close_asahiindia.ns,close_asahiindia.ns,high_asahiindia.ns,low_asahiindia.ns,open_asahiindia.ns,volume_asahiindia.ns
2024-01-16,553.9329833984375,556.9500122070312,565.75,554.1500244140625,565.75,76271
2024-01-17,549.9546508789062,552.9500122070312,561.0,549.0,561.0,57010
2024-01-18,549.5567626953125,552.5499877929688,555.4000244140625,537.2999877929688,552.9500122070312,59838
2024-01-19,545.47900390625,548.4500122070312,558.8499755859375,545.0,556.0,48844
2024-01-23,554.7783813476562,557.7999877929688,637.4500122070312,542.0,556.0,3091887
2024-01-24,577.5543212890625,580.7000122070312,588.8499755859375,556.5499877929688,559.9500122070312,646959
2024-01-25,566.4647216796875,569.5499877929688,596.0,559.0,580.7000122070312,467706
2024-01-29,536.328857421875,539.25,568.5499877929688,538.0999755859375,565.0,368329
2024-01-30,520.3160400390625,523.1500244140625,546.5999755859375,521.2000122070312,540.6500244140625,416822
2024-01-31,522.1063232421875,524.9500122070312,537.2999877929688,524.0,527.5,347792
2024-02-01,513.5528564453125,516.3499755859375,539.2000122070312,510.0,530.1500244140625,376388
2024-02-02,520.3160400390625,523.1500244140625,536.0,519.0999755859375,521.0,259376
2024-02-05,533.4942626953125,536.4000244140625,542.5,520.7999877929688,527.7999877929688,257179
2024-02-06,542.8433227539062,545.7999877929688,555.9000244140625,537.0499877929688,537.0499877929688,208312
2024-02-07,544.036865234375,547.0,553.75,545.0,545.7999877929688,80994
2024-02-08,536.1299438476562,539.0499877929688,559.9500122070312,536.1500244140625,550.0,215032
2024-02-09,543.6887817382812,546.6500244140625,549.8499755859375,532.5499877929688,544.8499755859375,142445
2024-02-12,517.4815063476562,520.2999877929688,553.25,517.2000122070312,552.9000244140625,140897
2024-02-13,531.3062133789062,534.2000122070312,542.75,511.04998779296875,528.0,199012
2024-02-14,542.5449829101562,545.5,549.7999877929688,532.0,532.0,118479
2024-02-15,537.2239990234375,540.1500244140625,552.0,537.4000244140625,545.5,171014
2024-02-16,540.705078125,543.6500244140625,549.0,541.5,542.0,58960
2024-02-19,535.7817993164062,538.7000122070312,547.4500122070312,535.0,545.2999877929688,54686
2024-02-20,533.9418334960938,536.8499755859375,541.9000244140625,535.2000122070312,541.9000244140625,44721
2024-02-21,528.1732788085938,531.0499877929688,539.9500122070312,528.0,538.7000122070312,58811
2024-02-22,533.0467529296875,535.9500122070312,539.9000244140625,526.7999877929688,532.7000122070312,97678
2024-02-23,532.947265625,535.8499755859375,540.0,531.7999877929688,539.9500122070312,67579
2024-02-26,533.1958618164062,536.0999755859375,540.2999877929688,529.1500244140625,536.5499877929688,106387
2024-02-27,532.8975219726562,535.7999877929688,538.9500122070312,532.4500122070312,535.0999755859375,52764
2024-02-28,532.3505249023438,535.25,540.0,529.2000122070312,539.9500122070312,107247
2024-02-29,532.4996948242188,535.4000244140625,540.9000244140625,525.0499877929688,529.9000244140625,113184
2024-03-01,529.6153564453125,532.5,542.0,528.5,541.0499877929688,133523
2024-03-04,531.5548706054688,534.4500122070312,537.5,528.0,535.0499877929688,52177
2024-03-05,531.95263671875,534.8499755859375,537.5,528.2000122070312,534.4500122070312,49586
2024-03-06,517.4815063476562,520.2999877929688,535.4500122070312,518.0999755859375,534.0499877929688,205467
2024-03-07,518.1279907226562,520.9500122070312,529.0,518.0,524.2999877929688,66592
2024-03-11,520.1668701171875,523.0,527.2999877929688,510.54998779296875,520.9500122070312,121579
2024-03-12,514.8458251953125,517.6500244140625,524.6500244140625,516.4000244140625,522.0,75876
2024-03-13,509.7734680175781,512.5499877929688,521.9500122070312,507.0,517.6500244140625,159906
2024-03-14,517.0338745117188,519.8499755859375,532.4500122070312,506.0,510.0,112078
2024-03-15,506.739990234375,509.5,523.1500244140625,505.29998779296875,520.4500122070312,58955
2024-03-18,503.7562255859375,506.5,515.75,505.0,509.0,35536
2024-03-19,513.4534301757812,516.25,523.4500122070312,501.54998779296875,506.5,445101
2024-03-20,508.4307861328125,511.20001220703125,520.2999877929688,508.6000061035156,516.25,288941
2024-03-21,517.6306762695312,520.4500122070312,526.0,513.5499877929688,513.5499877929688,77985
2024-03-22,527.924560546875,530.7999877929688,533.9000244140625,515.5,520.4500122070312,61863
2024-03-26,525.9354248046875,528.7999877929688,540.0,524.75,533.0,100724
2024-03-27,530.9580688476562,533.8499755859375,540.0,529.4500122070312,529.4500122070312,155368
2024-03-28,533.4445190429688,536.3499755859375,543.4000244140625,531.75,533.0,96737
2024-04-01,550.153564453125,553.1500244140625,558.8499755859375,538.0499877929688,540.0,111869
