date_,adj close_icicipruli.ns,close_icicipruli.ns,high_icicipruli.ns,low_icicipruli.ns,open_icicipruli.ns,volume_icicipruli.ns
2024-01-16,516.6792602539062,517.9000244140625,524.7999877929688,516.9500122070312,523.75,1391247
2024-01-17,513.7362060546875,514.9500122070312,520.3499755859375,513.5,517.9000244140625,2308422
2024-01-18,485.0539855957031,486.20001220703125,488.8999938964844,463.45001220703125,470.0,17222774
2024-01-19,493.4341735839844,494.6000061035156,498.0,488.1499938964844,492.0,2754392
2024-01-23,478.31988525390625,479.45001220703125,497.1499938964844,475.20001220703125,496.0,3281838
2024-01-24,487.3984069824219,488.54998779296875,490.6499938964844,480.0,480.0,3536528
2024-01-25,485.1537170410156,486.29998779296875,491.29998779296875,482.95001220703125,491.29998779296875,1646588
2024-01-29,490.4412536621094,491.6000061035156,494.29998779296875,483.0,486.29998779296875,5223917
2024-01-30,494.4317932128906,495.6000061035156,499.70001220703125,492.5,493.95001220703125,3256246
2024-01-31,502.0637512207031,503.25,506.29998779296875,494.1499938964844,497.45001220703125,1416063
2024-02-01,514.6839599609375,515.9000244140625,517.1500244140625,500.0,504.1000061035156,2109644
2024-02-02,505.3061218261719,506.5,521.0,503.3999938964844,521.0,2401695
2024-02-05,503.610107421875,504.79998779296875,509.25,502.1000061035156,507.0,1097731
2024-02-06,524.7601318359375,526.0,528.3499755859375,502.5,505.0,2301593
2024-02-07,529.19970703125,530.4500122070312,533.7999877929688,525.4000244140625,528.5,1003712
2024-02-08,519.2731323242188,520.5,533.7000122070312,518.6500244140625,532.0,1481895
2024-02-09,520.2208862304688,521.4500122070312,522.9500122070312,510.5,520.5,1022445
2024-02-12,503.2609558105469,504.45001220703125,521.5999755859375,502.54998779296875,521.4500122070312,1076797
2024-02-13,510.693359375,511.8999938964844,513.7999877929688,497.29998779296875,504.45001220703125,2357148
2024-02-14,507.6006774902344,508.79998779296875,510.0,502.0,507.95001220703125,1200533
2024-02-15,503.909423828125,505.1000061035156,511.1000061035156,503.6000061035156,508.1499938964844,2299680
2024-02-16,510.843017578125,512.0499877929688,516.0,505.6000061035156,509.6000061035156,973728
2024-02-19,513.4867553710938,514.7000122070312,517.5499877929688,509.0,514.0,912455
2024-02-20,520.4204711914062,521.6500244140625,523.2999877929688,509.6499938964844,513.5,1540086
2024-02-21,518.8740234375,520.0999755859375,526.4000244140625,518.6500244140625,522.0,2221389
2024-02-22,517.1281127929688,518.3499755859375,520.0,515.0,516.8499755859375,762141
2024-02-23,521.6175537109375,522.8499755859375,525.0,515.25,522.5999755859375,1623839
2024-02-26,521.866943359375,523.0999755859375,528.2000122070312,520.4500122070312,522.8499755859375,1081969
2024-02-27,517.626953125,518.8499755859375,539.7000122070312,516.9000244140625,524.0,2929679
2024-02-28,522.0665283203125,523.2999877929688,530.4000244140625,520.0,520.0,1315159
2024-02-29,531.3944702148438,532.6500244140625,534.0,518.2000122070312,525.9000244140625,3016612
2024-03-01,538.178466796875,539.4500122070312,546.5999755859375,534.0,539.0,1851853
2024-03-04,545.6607666015625,546.9500122070312,558.7000122070312,533.9500122070312,539.5,2531138
2024-03-05,552.3948974609375,553.7000122070312,558.0,539.9500122070312,547.75,3876200
2024-03-06,575.4902954101562,576.8499755859375,579.8499755859375,549.3499755859375,555.0,6081088
2024-03-07,582.224365234375,583.5999755859375,595.0,563.6500244140625,576.0,2970921
2024-03-11,598.885009765625,600.2999877929688,614.7000122070312,567.9000244140625,595.0,8749894
2024-03-12,599.0845336914062,600.5,606.9000244140625,592.1500244140625,601.0499877929688,3065065
2024-03-13,572.1980590820312,573.5499877929688,604.4000244140625,567.0,602.2000122070312,3112506
2024-03-14,571.35009765625,572.7000122070312,581.5499877929688,561.25,572.0499877929688,3124841
2024-03-15,566.4117431640625,567.75,579.0,563.0,572.7999877929688,2356414
2024-03-18,564.5161743164062,565.8499755859375,569.0,559.7000122070312,569.0,1279804
2024-03-19,548.3045043945312,549.5999755859375,567.5,545.8499755859375,565.5499877929688,2176263
2024-03-20,559.0291748046875,560.3499755859375,565.5999755859375,550.0,550.0,1879361
2024-03-21,578.8822631835938,580.25,584.0,556.5,560.7999877929688,1932166
2024-03-22,580.4784545898438,581.8499755859375,588.75,573.6500244140625,578.8499755859375,1231241
2024-03-26,598.4860229492188,599.9000244140625,605.9500122070312,588.0,588.0,4000040
2024-03-27,597.6878051757812,599.0999755859375,604.9000244140625,593.0,599.9000244140625,1460193
