date_,adj close_cgpower.ns,close_cgpower.ns,high_cgpower.ns,low_cgpower.ns,open_cgpower.ns,volume_cgpower.ns
2024-01-16,450.19140625,452.3999938964844,459.04998779296875,449.54998779296875,456.8999938964844,1091481
2024-01-17,460.8391418457031,463.1000061035156,474.79998779296875,447.75,450.5,3791637
2024-01-18,450.83819580078125,453.04998779296875,462.1000061035156,450.1000061035156,460.0,2191907
2024-01-19,452.0323486328125,454.25,460.0,452.20001220703125,459.8999938964844,1683885
2024-01-23,445.2157897949219,447.3999938964844,468.75,437.1000061035156,457.3999938964844,5945583
2024-01-24,447.1562805175781,449.3500061035156,451.54998779296875,414.29998779296875,425.1000061035156,7680885
2024-01-25,460.8391418457031,463.1000061035156,472.0,432.6499938964844,450.0,5235201
2024-01-29,464.76983642578125,467.04998779296875,477.0,449.1499938964844,470.0,2676099
2024-01-30,459.4957275390625,461.75,467.04998779296875,460.0,466.95001220703125,1132965
2024-01-31,466.2625427246094,468.54998779296875,470.0,455.95001220703125,459.5,2096616
2024-02-01,454.5201416015625,456.75,468.0,454.1000061035156,468.0,1421655
2024-02-02,445.8128662109375,448.0,458.45001220703125,447.0,458.0,1697666
2024-02-05,438.77685546875,439.6499938964844,450.0,438.1000061035156,450.0,2941526
2024-02-06,444.06634521484375,444.95001220703125,446.95001220703125,436.1499938964844,444.95001220703125,1332434
2024-02-07,436.3317565917969,437.20001220703125,448.79998779296875,435.25,447.5,1195367
2024-02-08,431.0921630859375,431.95001220703125,438.75,428.0,437.0,1938167
2024-02-09,431.5911865234375,432.45001220703125,440.0,420.25,434.0,3178120
2024-02-12,438.5772705078125,439.45001220703125,448.3999938964844,429.0,439.0,1610970
2024-02-13,435.2838134765625,436.1499938964844,442.45001220703125,424.0,441.0,2568647
2024-02-14,436.58123779296875,437.45001220703125,442.0,423.29998779296875,434.0,4983026
2024-02-15,437.7289733886719,438.6000061035156,440.0,428.54998779296875,440.0,1457857
2024-02-16,429.245849609375,430.1000061035156,438.6000061035156,428.0,438.6000061035156,1785220
2024-02-19,435.4335021972656,436.29998779296875,439.75,428.5,430.8999938964844,1966967
2024-02-20,435.3836364746094,436.25,446.0,428.6000061035156,438.0,2340482
2024-02-21,425.1040954589844,425.95001220703125,435.6000061035156,421.95001220703125,435.0,1108790
2024-02-22,423.75677490234375,424.6000061035156,429.8999938964844,422.6000061035156,429.79998779296875,1059421
2024-02-23,432.83868408203125,433.70001220703125,434.5,425.0,425.04998779296875,2592673
2024-02-26,427.5491943359375,428.3999938964844,435.0,422.0,432.25,2212803
2024-02-27,438.22796630859375,439.1000061035156,440.95001220703125,425.5,428.3999938964844,2352699
2024-02-28,428.09814453125,428.95001220703125,441.6000061035156,423.20001220703125,440.0,2681355
2024-02-29,442.3697204589844,443.25,449.0,421.0,428.1000061035156,7113044
2024-03-01,464.0765380859375,465.0,494.95001220703125,461.0,480.5,18454089
2024-03-04,468.11846923828125,469.04998779296875,479.79998779296875,466.6000061035156,476.04998779296875,2122694
2024-03-05,462.3299865722656,463.25,473.25,462.29998779296875,470.0,1390039
2024-03-06,468.71728515625,469.6499938964844,470.0,450.3500061035156,466.3999938964844,2431460
2024-03-07,456.7411193847656,457.6499938964844,471.0,455.0,469.6499938964844,2561510
2024-03-11,468.5177001953125,469.45001220703125,474.20001220703125,449.3999938964844,465.8500061035156,5360138
2024-03-12,454.7450866699219,455.6499938964844,470.79998779296875,453.0,470.79998779296875,2573370
2024-03-13,460.5335998535156,461.45001220703125,465.8999938964844,450.79998779296875,460.0,5876878
2024-03-14,466.5715637207031,467.5,469.3999938964844,450.1000061035156,462.0,3037344
2024-03-15,468.7672119140625,469.70001220703125,485.0,464.3500061035156,467.54998779296875,6427017
2024-03-18,469.4158935546875,470.3500061035156,476.0,462.04998779296875,476.0,4267151
2024-03-19,478.0487365722656,479.0,480.29998779296875,463.45001220703125,471.3500061035156,3207227
