date_,adj close_ambujacem.ns,close_ambujacem.ns,high_ambujacem.ns,low_ambujacem.ns,open_ambujacem.ns,volume_ambujacem.ns
2024-01-16,525.1862182617188,528.7000122070312,534.9500122070312,525.0,533.7999877929688,2732941
2024-01-17,517.09033203125,520.5499877929688,539.3499755859375,518.25,528.0,6229815
2024-01-18,520.6664428710938,524.1500244140625,526.9500122070312,509.0,522.6500244140625,2084710
2024-01-19,533.5303344726562,537.0999755859375,538.0,525.25,526.8499755859375,2661086
2024-01-23,521.5604248046875,525.0499877929688,543.7999877929688,517.0499877929688,543.7999877929688,2682760
2024-01-24,523.9445190429688,527.4500122070312,531.0,514.5,525.0499877929688,3893697
2024-01-25,556.4271850585938,560.1500244140625,566.0,526.3499755859375,530.0,8019238
2024-01-29,570.284423828125,574.0999755859375,578.9000244140625,562.7999877929688,570.9000244140625,7828638
2024-01-30,567.0560302734375,570.8499755859375,583.9500122070312,568.0499877929688,574.2000122070312,4572466
2024-01-31,556.576171875,560.2999877929688,586.4500122070312,547.0,573.4000244140625,13741694
2024-02-01,561.2946166992188,565.0499877929688,569.7999877929688,554.0499877929688,568.0,6228014
2024-02-02,553.6954345703125,557.4000244140625,572.25,554.5499877929688,570.6500244140625,3263916
2024-02-05,551.3113403320312,555.0,563.1500244140625,551.0,560.0,2366641
2024-02-06,562.834228515625,566.5999755859375,568.0,549.9500122070312,558.9500122070312,2969565
2024-02-07,564.4237060546875,568.2000122070312,575.9500122070312,564.2999877929688,570.0,2248160
2024-02-08,559.6058349609375,563.3499755859375,571.25,559.6500244140625,570.0,2089376
2024-02-09,572.3705444335938,576.2000122070312,582.25,552.5499877929688,564.7000122070312,6956624
2024-02-12,559.7548828125,563.5,587.2000122070312,560.25,582.0999755859375,3475737
2024-02-13,564.4733276367188,568.25,570.0,552.5,566.3499755859375,2529788
2024-02-14,567.105712890625,570.9000244140625,573.3499755859375,559.6500244140625,560.1500244140625,2094616
2024-02-15,568.44677734375,572.25,574.7999877929688,568.8499755859375,573.9000244140625,1240706
2024-02-16,581.2113037109375,585.0999755859375,590.6500244140625,573.0499877929688,573.2000122070312,9619487
2024-02-19,580.9630126953125,584.8499755859375,594.0,581.9000244140625,588.7999877929688,3141571
2024-02-20,584.8867797851562,588.7999877929688,590.0,579.4500122070312,584.8499755859375,1867263
2024-02-21,583.8933715820312,587.7999877929688,596.7000122070312,583.25,591.9000244140625,4209055
2024-02-22,588.810546875,592.75,595.0,583.0,593.0,1838366
2024-02-23,598.9426879882812,602.9500122070312,608.7000122070312,587.25,593.7999877929688,4824640
2024-02-26,604.5551147460938,608.5999755859375,615.25,602.5999755859375,602.9500122070312,5715227
2024-02-27,599.3400268554688,603.3499755859375,612.5,599.0,607.9500122070312,3604237
2024-02-28,585.3338012695312,589.25,606.0,585.0999755859375,603.9000244140625,2831925
2024-02-29,601.8731689453125,605.9000244140625,609.7000122070312,584.0,589.25,3263796
2024-03-01,613.495361328125,617.5999755859375,620.0,607.0,608.0999755859375,4011709
2024-03-04,613.04833984375,617.1500244140625,621.75,612.5499877929688,621.25,1878206
2024-03-05,609.0252075195312,613.0999755859375,625.0,610.7999877929688,625.0,2430074
2024-03-06,594.3236083984375,598.2999877929688,613.6500244140625,595.5,612.9500122070312,4127035
2024-03-07,599.1414184570312,603.1500244140625,606.5999755859375,596.5,598.2999877929688,2393414
2024-03-11,598.0487060546875,602.0499877929688,612.4000244140625,600.2000122070312,604.9000244140625,2547145
2024-03-12,583.64501953125,587.5499877929688,605.9000244140625,584.0499877929688,605.0,2900178
2024-03-13,555.5331420898438,559.25,590.3499755859375,550.7999877929688,589.3499755859375,5946259
2024-03-14,578.5789794921875,582.4500122070312,584.7000122070312,551.7000122070312,555.5,3200499
2024-03-15,596.75732421875,600.75,603.8499755859375,575.8499755859375,583.7999877929688,3693325
2024-03-18,580.764404296875,584.6500244140625,595.0,582.2000122070312,595.0,6348109
2024-03-19,576.4432373046875,580.2999877929688,588.5999755859375,572.5499877929688,582.0,2021483
