date_,adj close_abb.ns,close_abb.ns,high_abb.ns,low_abb.ns,open_abb.ns,volume_abb.ns
2024-01-16,4747.56201171875,4809.2998046875,4842.2998046875,4750.0498046875,4770.0,192280
2024-01-17,4711.77685546875,4773.0498046875,4863.7001953125,4731.39990234375,4798.0,163852
2024-01-18,4649.8818359375,4710.35009765625,4797.39990234375,4665.0,4765.0,151382
2024-01-19,4758.56884765625,4820.4501953125,4844.10009765625,4738.4501953125,4738.4501953125,132723
2024-01-23,4709.30908203125,4770.5498046875,4897.0,4735.89990234375,4750.9501953125,348426
2024-01-24,4670.51416015625,4731.25,4814.89990234375,4613.7998046875,4764.9501953125,293735
2024-01-25,4678.46044921875,4739.2998046875,4794.9501953125,4665.0,4768.0,114581
2024-01-29,4730.03955078125,4791.5498046875,4807.14990234375,4715.39990234375,4751.0,87854
2024-01-30,4669.03369140625,4729.75,4860.0,4715.9501953125,4825.0,152802
2024-01-31,4611.6298828125,4671.60009765625,4762.75,4631.0,4749.0,292837
2024-02-01,4487.69189453125,4546.0498046875,4698.0,4340.2998046875,4692.0,825760
2024-02-02,4422.93408203125,4480.4501953125,4594.9501953125,4463.0,4546.0498046875,315504
2024-02-05,4312.125,4368.2001953125,4538.5,4343.75,4500.0,290961
2024-02-06,4346.4775390625,4403.0,4423.60009765625,4362.0498046875,4378.0,177927
2024-02-07,4516.36865234375,4575.10009765625,4629.2998046875,4434.5,4434.5498046875,281178
2024-02-08,4393.26953125,4450.39990234375,4610.0,4440.10009765625,4610.0,132187
2024-02-09,4431.81787109375,4489.4501953125,4501.4501953125,4412.7001953125,4464.0,203496
2024-02-12,4371.5517578125,4428.39990234375,4552.2998046875,4400.0,4484.89990234375,149594
2024-02-13,4407.5341796875,4464.85009765625,4485.35009765625,4375.7998046875,4448.0,290402
2024-02-14,4499.8828125,4558.39990234375,4621.10009765625,4427.85009765625,4441.85009765625,371445
2024-02-15,4411.2353515625,4468.60009765625,4587.89990234375,4460.64990234375,4575.0,286311
2024-02-16,4466.072265625,4524.14990234375,4539.7001953125,4469.4501953125,4510.0,185797
2024-02-19,4431.22607421875,4488.85009765625,4555.85009765625,4449.14990234375,4540.0,155541
2024-02-20,4466.41845703125,4524.5,4547.0,4461.60009765625,4514.75,169172
2024-02-21,4920.7109375,4984.7001953125,5134.0,4640.0,4640.0,4404765
2024-02-22,5355.3583984375,5425.0,5450.0,5081.60009765625,5200.0,4222692
2024-02-23,5322.83154296875,5392.0498046875,5518.10009765625,5320.64990234375,5420.0,1578299
2024-02-26,5228.2119140625,5296.2001953125,5432.2998046875,5136.0498046875,5359.0498046875,1164768
2024-02-27,5380.53076171875,5450.5,5474.75,5245.5,5270.0,656105
2024-02-28,5358.912109375,5428.60009765625,5552.0,5380.25,5440.0,785448
2024-02-29,5375.05224609375,5444.9501953125,5485.0,5350.4501953125,5444.9501953125,527441
2024-03-01,5419.3759765625,5489.85009765625,5524.60009765625,5455.0,5498.0,345570
2024-03-04,5559.25634765625,5631.5498046875,5665.0,5488.85009765625,5490.0,484602
2024-03-05,5607.92431640625,5680.85009765625,5695.0,5571.4501953125,5620.0,340244
2024-03-06,5627.51904296875,5700.7001953125,5720.0,5588.4501953125,5660.0,401305
2024-03-07,5696.669921875,5770.75,5792.0,5675.0,5697.0498046875,289128
2024-03-11,5766.36328125,5841.35009765625,5933.89990234375,5770.75,5801.0498046875,693540
2024-03-12,5644.59716796875,5718.0,5855.0,5690.0,5850.0,310813
2024-03-13,5525.396484375,5597.25,5809.35009765625,5572.7001953125,5749.89990234375,454668
2024-03-14,5553.185546875,5625.39990234375,5658.2998046875,5520.0,5614.89990234375,354416
2024-03-15,5544.44921875,5616.5498046875,5789.7998046875,5585.5,5650.0,810054
2024-03-18,5692.72119140625,5766.75,5785.0,5616.5498046875,5645.0,306134
2024-03-19,5556.3447265625,5628.60009765625,5787.5,5611.5,5787.5,245880
2024-03-20,5660.095703125,5733.7001953125,5769.85009765625,5560.0,5680.0,272707
2024-03-21,5789.61083984375,5864.89990234375,5877.0,5750.0,5760.0,381358
2024-03-22,5890.794921875,5967.39990234375,6034.0498046875,5835.0498046875,5875.0,514271
2024-03-26,5853.677734375,5929.7998046875,5986.60009765625,5875.2998046875,5881.0,383434
2024-03-27,6198.74072265625,6279.35009765625,6341.89990234375,6086.0,6110.0,1232034
2024-03-28,6279.19482421875,6360.85009765625,6471.9501953125,6222.7998046875,6280.0,722060
2024-04-01,6421.1484375,6504.64990234375,6568.2998046875,6397.0498046875,6422.4501953125,396061
2024-04-02,6347.30908203125,6429.85009765625,6545.0,6372.64990234375,6545.0,280233
2024-04-03,6420.55615234375,6504.0498046875,6520.0,6431.85009765625,6458.0,217760
2024-04-04,6418.3349609375,6501.7998046875,6622.4501953125,6490.0498046875,6593.0,325004
2024-04-05,6584.2275390625,6669.85009765625,6683.7001953125,6515.0,6521.10009765625,382254
2024-04-08,6613.744140625,6699.75,6747.89990234375,6630.5,6670.0,179056
2024-04-09,6445.9755859375,6529.7998046875,6721.60009765625,6495.64990234375,6719.0,317551
2024-04-10,6556.291015625,6641.5498046875,6666.0,6560.0,6578.64990234375,234204
2024-04-12,6666.26171875,6752.9501953125,6773.10009765625,6642.0,6650.0,418148
2024-04-15,6476.82421875,6561.0498046875,6729.0498046875,6547.0498046875,6660.0,333967
2024-04-16,6559.548828125,6644.85009765625,6666.0,6525.0,6569.7001953125,268622
2024-04-18,6287.7333984375,6369.5,6644.0,6310.0,6643.4501953125,1041299
2024-04-19,6211.82080078125,6292.60009765625,6369.5,6245.0,6369.5,286043
2024-04-22,6441.533203125,6525.2998046875,6544.10009765625,6308.0,6375.0,384870
2024-04-23,6226.47998046875,6307.4501953125,6569.7998046875,6295.39990234375,6569.7998046875,550348
2024-04-24,6262.4130859375,6343.85009765625,6381.5,6300.0498046875,6366.7998046875,239797
2024-04-25,6349.134765625,6431.7001953125,6461.2001953125,6345.5,6374.0,260935
2024-04-26,6328.15771484375,6410.4501953125,6489.9501953125,6377.7998046875,6470.0,163903
2024-04-29,6369.07568359375,6451.89990234375,6463.9501953125,6349.2001953125,6460.60009765625,158748
2024-04-30,6456.78515625,6540.75,6642.5,6454.0,6500.0,393914
2024-05-02,6596.71533203125,6682.5,6747.9501953125,6545.0,6585.0,317802
2024-05-03,6636.1943359375,6698.5498046875,6790.0,6638.10009765625,6709.85009765625,337954
2024-05-06,6875.74365234375,6940.35009765625,7028.0,6710.0,6710.0,689802
2024-05-07,6824.3271484375,6888.4501953125,7040.0,6826.5498046875,6977.0,384249
2024-05-08,7119.85009765625,7186.75,7218.0,6802.7998046875,6905.60009765625,545654
2024-05-09,6920.0771484375,6985.10009765625,7205.0,6961.0498046875,7205.0,412297
2024-05-10,7111.5283203125,7178.35009765625,7210.0,7030.0,7040.0,509593
2024-05-13,7909.92626953125,7984.25,8188.9501953125,7400.0,7550.0,3294820
2024-05-14,8005.626953125,8080.85009765625,8119.89990234375,7915.89990234375,8035.0,856307
2024-05-15,8009.044921875,8084.2998046875,8125.0,7965.2001953125,8080.0,460611
2024-05-16,8227.83984375,8305.150390625,8377.650390625,8027.60009765625,8084.2998046875,1059012
2024-05-17,8293.421875,8371.349609375,8390.099609375,8235.0,8300.0,319044
2024-05-21,8469.716796875,8549.2998046875,8599.7998046875,8350.0,8350.0,375839
2024-05-22,8334.8837890625,8413.2001953125,8590.0,8384.5498046875,8555.0,326374
2024-05-23,8345.13671875,8423.5498046875,8490.0,8356.5498046875,8460.0,203242
2024-05-24,8343.7998046875,8422.2001953125,8508.75,8375.7998046875,8477.7998046875,163314
2024-05-27,8320.171875,8398.349609375,8470.0,8261.099609375,8459.9501953125,229846
2024-05-28,8157.00537109375,8233.650390625,8374.7001953125,8177.14990234375,8365.099609375,328008
2024-05-29,8122.033203125,8198.349609375,8248.4501953125,8124.9501953125,8133.0,226167
2024-05-30,8187.716796875,8264.650390625,8291.650390625,8109.14990234375,8142.2998046875,319976
