date_,adj close_icicibank.ns,close_icicibank.ns,high_icicibank.ns,low_icicibank.ns,open_icicibank.ns,volume_icicibank.ns
2024-01-16,992.777099609375,1009.0499877929688,1015.7999877929688,1004.5999755859375,1006.0999755859375,11505126
2024-01-17,965.9173583984375,981.75,1007.7999877929688,976.75,987.9000244140625,41914771
2024-01-18,970.443115234375,986.3499755859375,994.2999877929688,970.1500244140625,973.9500122070312,17902484
2024-01-19,983.0859375,999.2000122070312,1010.9000244140625,987.5499877929688,991.2999877929688,23271148
2024-01-23,1012.45458984375,1029.050048828125,1059.4000244140625,1021.2000122070312,1059.0999755859375,50797448
2024-01-24,983.0859375,999.2000122070312,1035.949951171875,996.6500244140625,1029.449951171875,34578943
2024-01-25,993.66259765625,1009.9500122070312,1015.0999755859375,988.1500244140625,998.4000244140625,28315035
2024-01-29,1000.008544921875,1016.4000244140625,1032.0,1010.0,1020.0,14078922
2024-01-30,1000.5005493164062,1016.9000244140625,1023.8499755859375,1008.0,1014.9500122070312,16085742
2024-01-31,1011.569091796875,1028.1500244140625,1039.0,1003.25,1016.7999877929688,25627447
2024-02-01,1008.6174926757812,1025.1500244140625,1033.949951171875,1017.4000244140625,1033.949951171875,13058880
2024-02-02,1007.4859619140625,1024.0,1050.0,1021.6500244140625,1037.0999755859375,14774650
2024-02-05,1006.9940795898438,1023.5,1026.449951171875,1012.0999755859375,1022.5,12948430
2024-02-06,1009.8472900390625,1026.4000244140625,1034.9000244140625,1016.7000122070312,1023.5499877929688,12886927
2024-02-07,1005.6658325195312,1022.1500244140625,1031.550048828125,1013.0,1028.0,16410895
2024-02-08,973.3455810546875,989.2999877929688,1028.25,985.25,1024.0999755859375,20565502
2024-02-09,994.4005126953125,1010.7000122070312,1013.75,985.5,988.8499755859375,12799837
2024-02-12,980.035888671875,996.0999755859375,1012.2000122070312,985.25,1010.4000244140625,8050066
2024-02-13,1003.3536987304688,1019.7999877929688,1027.050048828125,1000.2999877929688,1006.0,18706292
2024-02-14,1006.2069702148438,1022.7000122070312,1035.699951171875,1007.5499877929688,1009.5499877929688,17878720
2024-02-15,1000.2545166015625,1016.6500244140625,1026.6500244140625,1006.5999755859375,1022.8499755859375,10069878
2024-02-16,1006.7481079101562,1023.25,1026.199951171875,1016.9000244140625,1023.2000122070312,7159395
2024-02-19,1026.91748046875,1043.75,1046.0,1023.3499755859375,1023.3499755859375,9388255
2024-02-20,1031.8367919921875,1048.75,1052.6500244140625,1033.25,1041.050048828125,11293528
2024-02-21,1034.985107421875,1051.949951171875,1064.0,1048.0,1056.800048828125,15946325
2024-02-22,1045.5618896484375,1062.699951171875,1066.0,1040.300048828125,1056.0,13432573
2024-02-23,1044.1845703125,1061.300048828125,1070.0,1057.6500244140625,1070.0,13142759
2024-02-26,1037.1988525390625,1054.199951171875,1062.300048828125,1050.5,1053.0999755859375,7875941
2024-02-27,1043.1021728515625,1060.199951171875,1066.199951171875,1046.5,1050.75,10580973
2024-02-28,1029.327880859375,1046.199951171875,1064.8499755859375,1042.1500244140625,1063.0,7730332
2024-02-29,1035.231201171875,1052.199951171875,1060.699951171875,1038.5,1043.050048828125,20944844
2024-03-01,1069.37158203125,1086.9000244140625,1089.949951171875,1054.0,1055.0,14909562
2024-03-04,1074.733642578125,1092.3499755859375,1095.0,1080.0999755859375,1081.0,11424581
2024-03-05,1070.503173828125,1088.050048828125,1099.5,1076.5,1086.199951171875,9222544
2024-03-06,1079.4071044921875,1097.0999755859375,1113.550048828125,1080.300048828125,1080.300048828125,21796484
2024-03-07,1070.4046630859375,1087.949951171875,1095.0,1082.699951171875,1094.949951171875,9963926
2024-03-11,1061.3037109375,1078.699951171875,1087.949951171875,1076.75,1087.949951171875,13310362
2024-03-12,1059.483642578125,1076.8499755859375,1094.800048828125,1055.6500244140625,1077.050048828125,21785435
2024-03-13,1066.4691162109375,1083.949951171875,1089.6500244140625,1073.1500244140625,1077.1500244140625,24855870
2024-03-14,1066.124755859375,1083.5999755859375,1097.0999755859375,1075.050048828125,1080.0,14231421
2024-03-15,1062.92724609375,1080.3499755859375,1086.25,1070.0,1072.0,66192734
2024-03-18,1063.7635498046875,1081.199951171875,1084.800048828125,1060.050048828125,1075.050048828125,8769440
2024-03-19,1066.4691162109375,1083.949951171875,1088.75,1075.25,1078.449951171875,16708715
2024-03-20,1067.0103759765625,1084.5,1090.0,1067.5,1080.0,18725251
2024-03-21,1064.3538818359375,1081.800048828125,1100.0,1079.1500244140625,1092.0,19992607
2024-03-22,1072.716796875,1090.300048828125,1093.699951171875,1078.699951171875,1081.1500244140625,17214415
2024-03-26,1066.22314453125,1083.699951171875,1089.1500244140625,1076.949951171875,1081.0,13367635
2024-03-27,1066.2724609375,1083.75,1092.5,1079.550048828125,1083.699951171875,26907245
2024-03-28,1075.66845703125,1093.300048828125,1105.050048828125,1085.0,1085.0,22070566
2024-04-01,1081.916015625,1099.6500244140625,1102.949951171875,1094.449951171875,1096.050048828125,10848191
2024-04-02,1063.7635498046875,1081.199951171875,1094.449951171875,1079.25,1094.449951171875,14380396
2024-04-03,1059.827880859375,1077.199951171875,1083.6500244140625,1072.25,1075.0,15477184
2024-04-04,1061.451416015625,1078.8499755859375,1085.800048828125,1063.449951171875,1084.75,21419689
2024-04-05,1065.9281005859375,1083.4000244140625,1086.0,1067.449951171875,1070.0,15340637
2024-04-08,1069.6175537109375,1087.1500244140625,1091.75,1076.300048828125,1078.3499755859375,8023461
2024-04-09,1089.1966552734375,1107.050048828125,1115.25,1088.300048828125,1091.949951171875,12298463
2024-04-10,1091.5087890625,1109.4000244140625,1116.550048828125,1105.1500244140625,1110.949951171875,10598000
2024-04-12,1086.58935546875,1104.4000244140625,1111.8499755859375,1095.800048828125,1103.5,12216657
2024-04-15,1060.95947265625,1078.3499755859375,1106.1500244140625,1076.5999755859375,1100.199951171875,10526597
2024-04-16,1049.841796875,1067.050048828125,1074.5999755859375,1062.699951171875,1070.550048828125,11278092
2024-04-18,1038.4288330078125,1055.449951171875,1078.050048828125,1050.449951171875,1074.0,16564216
2024-04-19,1050.03857421875,1067.25,1072.0,1048.0999755859375,1052.949951171875,11284433
2024-04-22,1069.125732421875,1086.6500244140625,1088.699951171875,1070.3499755859375,1078.800048828125,10346714
2024-04-23,1072.6676025390625,1090.25,1100.0,1082.699951171875,1100.0,9848215
2024-04-24,1079.062744140625,1096.75,1098.4000244140625,1089.0,1092.25,5461309
2024-04-25,1095.78857421875,1113.75,1125.6500244140625,1089.949951171875,1090.0,19905338
