date_,adj close_tataconsum.ns,close_tataconsum.ns,high_tataconsum.ns,low_tataconsum.ns,open_tataconsum.ns,volume_tataconsum.ns
2024-01-16,1127.5123291015625,1143.699951171875,1162.550048828125,1142.0,1152.550048828125,1449691
2024-01-17,1122.4844970703125,1138.5999755859375,1152.949951171875,1131.9000244140625,1134.0,1272932
2024-01-18,1130.568603515625,1146.800048828125,1150.0,1122.5,1134.949951171875,1218211
2024-01-19,1145.257568359375,1161.699951171875,1165.5999755859375,1146.699951171875,1156.75,900162
2024-01-23,1129.434814453125,1145.6500244140625,1166.0,1138.25,1158.949951171875,933643
2024-01-24,1142.5958251953125,1159.0,1161.0,1134.0,1145.5999755859375,1040096
2024-01-25,1120.6607666015625,1136.75,1163.6500244140625,1132.3499755859375,1160.0,1125321
2024-01-29,1124.9000244140625,1141.050048828125,1149.199951171875,1135.0,1136.75,1588430
2024-01-30,1107.0068359375,1122.9000244140625,1147.199951171875,1120.6500244140625,1144.949951171875,798009
2024-01-31,1102.1761474609375,1118.0,1127.5,1112.0,1125.0,2428738
2024-02-01,1113.661376953125,1129.6500244140625,1134.9000244140625,1108.0,1118.0,4728358
2024-02-02,1146.2928466796875,1162.75,1170.699951171875,1132.0,1132.0,1741322
2024-02-05,1134.462646484375,1150.75,1177.0,1146.300048828125,1169.9000244140625,1266268
2024-02-06,1147.08154296875,1163.550048828125,1166.800048828125,1142.0999755859375,1142.0999755859375,1219085
2024-02-07,1149.69384765625,1166.199951171875,1175.0,1153.050048828125,1168.050048828125,864874
2024-02-08,1121.7945556640625,1137.9000244140625,1162.9000244140625,1125.0,1160.0,2477973
2024-02-09,1113.2669677734375,1129.25,1149.4000244140625,1119.8499755859375,1142.0,917196
2024-02-12,1106.316650390625,1122.199951171875,1134.4000244140625,1075.0,1130.050048828125,898953
2024-02-13,1121.696044921875,1137.800048828125,1141.300048828125,1118.199951171875,1123.0,886148
2024-02-14,1119.5269775390625,1135.5999755859375,1139.8499755859375,1120.0,1135.050048828125,1206706
2024-02-15,1115.386474609375,1131.4000244140625,1146.75,1127.25,1140.050048828125,1278358
2024-02-16,1131.209228515625,1147.449951171875,1149.4000244140625,1132.4000244140625,1135.0,1213292
2024-02-19,1138.6524658203125,1155.0,1164.25,1144.5,1150.0,961914
2024-02-20,1138.0609130859375,1154.4000244140625,1159.0,1138.800048828125,1154.5,1056193
