date_,adj close_coalindia.ns,close_coalindia.ns,high_coalindia.ns,low_coalindia.ns,open_coalindia.ns,volume_coalindia.ns
2024-01-16,336.3365173339844,381.8999938964844,386.95001220703125,377.04998779296875,385.3999938964844,10165133
2024-01-17,334.35498046875,379.6499938964844,385.3500061035156,377.20001220703125,381.79998779296875,10996538
2024-01-18,330.83221435546875,375.6499938964844,382.54998779296875,368.0,380.79998779296875,12493835
2024-01-19,337.5254821777344,383.25,384.8999938964844,379.1000061035156,380.6499938964844,15893456
2024-01-23,330.52392578125,375.29998779296875,404.79998779296875,373.6499938964844,403.5,16406737
2024-01-24,336.9530334472656,382.6000061035156,387.79998779296875,374.25,379.79998779296875,22938994
2024-01-25,342.9417724609375,389.3999938964844,391.70001220703125,385.3500061035156,386.79998779296875,13440949
2024-01-29,363.5499572753906,412.79998779296875,414.70001220703125,391.5,392.8999938964844,27149058
2024-01-30,354.52288818359375,402.54998779296875,415.79998779296875,401.6000061035156,415.75,14159072
2024-01-31,357.693359375,406.1499938964844,409.1499938964844,400.3999938964844,405.04998779296875,23750822
2024-02-01,358.1777648925781,406.70001220703125,411.8999938964844,402.5,408.79998779296875,8862155
2024-02-02,369.71478271484375,419.79998779296875,422.8999938964844,409.6499938964844,410.79998779296875,25177075
2024-02-05,387.7249450683594,440.25,450.0,417.1000061035156,423.25,31418925
2024-02-06,395.1227722167969,448.6499938964844,451.0,437.25,444.79998779296875,13386526
2024-02-07,398.64556884765625,452.6499938964844,460.54998779296875,447.79998779296875,454.0,14430152
2024-02-08,404.4141540527344,459.20001220703125,468.6000061035156,450.0,454.79998779296875,18790158
2024-02-09,401.77203369140625,456.20001220703125,463.79998779296875,435.6499938964844,462.20001220703125,17472069
2024-02-12,381.1637878417969,432.79998779296875,457.45001220703125,430.04998779296875,457.0,19472346
2024-02-13,398.38134765625,452.3500061035156,457.8500061035156,434.0,443.79998779296875,35665854
2024-02-14,410.7110290527344,466.3500061035156,468.0,443.0,451.6499938964844,18592696
2024-02-15,419.9583435058594,476.8500061035156,481.25,467.54998779296875,469.0,18501875
2024-02-16,422.7325439453125,480.0,487.6000061035156,477.5,482.3999938964844,14513583
2024-02-19,405.9993591308594,461.0,487.45001220703125,455.45001220703125,482.79998779296875,19798448
2024-02-20,397.7591247558594,446.5,457.95001220703125,441.0,457.95001220703125,27899165
2024-02-21,385.6882629394531,432.95001220703125,450.95001220703125,431.0,450.95001220703125,19032050
2024-02-22,396.5564880371094,445.1499938964844,448.0,427.95001220703125,438.0,22083710
2024-02-23,395.44293212890625,443.8999938964844,449.6000061035156,441.6499938964844,448.0,9625544
2024-02-26,394.0176086425781,442.29998779296875,447.25,440.54998779296875,443.8999938964844,7570244
2024-02-27,393.2158508300781,441.3999938964844,445.29998779296875,435.04998779296875,442.29998779296875,8343526
2024-02-28,386.80181884765625,434.20001220703125,442.8500061035156,430.3500061035156,440.29998779296875,8893614
2024-02-29,389.0289306640625,436.70001220703125,444.0,429.6499938964844,444.0,11711699
2024-03-01,397.6254577636719,446.3500061035156,448.79998779296875,438.0,438.0,8411615
2024-03-04,405.6875305175781,455.3999938964844,458.0,448.04998779296875,451.8500061035156,11977226
2024-03-05,410.3644714355469,460.6499938964844,461.75,453.54998779296875,456.0,9605493
2024-03-06,411.2107849121094,461.6000061035156,464.95001220703125,444.54998779296875,462.45001220703125,14061966
