date_,adj close_paytm.ns,close_paytm.ns,high_paytm.ns,low_paytm.ns,open_paytm.ns,volume_paytm.ns
2024-01-16,747.3499755859375,747.3499755859375,750.0,719.2000122070312,720.0,10245974
2024-01-17,736.25,736.25,769.9500122070312,731.4000244140625,742.0,6597524
2024-01-18,754.2999877929688,754.2999877929688,759.5999755859375,721.5499877929688,736.0,5994981
2024-01-19,773.5999755859375,773.5999755859375,789.0,758.0,760.5,7874584
2024-01-23,755.9000244140625,755.9000244140625,793.0,736.5999755859375,793.0,8164301
2024-01-24,753.75,753.75,759.7999877929688,744.4000244140625,754.0,4201784
2024-01-25,763.0499877929688,763.0499877929688,767.7000122070312,755.1500244140625,756.0,2297563
2024-01-29,752.0499877929688,752.0499877929688,768.9000244140625,747.0499877929688,763.9500122070312,3108252
2024-01-30,761.0999755859375,761.0999755859375,767.0,753.0,753.0,3415910
2024-01-31,761.2000122070312,761.2000122070312,774.2999877929688,753.0999755859375,758.1500244140625,2932281
2024-02-01,609.0,609.0,609.0,609.0,609.0,1319654
2024-02-02,487.20001220703125,487.20001220703125,487.20001220703125,487.20001220703125,487.20001220703125,8816560
2024-02-05,438.5,438.5,438.5,438.5,438.5,7385809
2024-02-06,451.1499938964844,451.1499938964844,473.54998779296875,395.0,395.0,63835202
2024-02-07,496.25,496.25,496.25,462.0,463.0,20273368
2024-02-08,446.6499938964844,446.6499938964844,528.0,446.6499938964844,525.0,21240680
2024-02-09,419.8500061035156,419.8500061035156,438.0,410.0,420.0,14918098
2024-02-12,422.20001220703125,422.20001220703125,435.5,411.20001220703125,430.04998779296875,10958969
2024-02-13,380.1499938964844,380.1499938964844,408.0,380.0,403.0,11455765
2024-02-14,342.1499938964844,342.1499938964844,360.1499938964844,342.1499938964844,355.0,15657904
2024-02-15,325.04998779296875,325.04998779296875,338.45001220703125,325.04998779296875,326.70001220703125,10324976
2024-02-16,341.29998779296875,341.29998779296875,341.29998779296875,318.04998779296875,325.0,19113793
2024-02-19,358.3500061035156,358.3500061035156,358.3500061035156,358.3500061035156,358.3500061035156,1205875
2024-02-20,376.25,376.25,376.25,376.25,376.25,1009337
2024-02-21,395.04998779296875,395.04998779296875,395.04998779296875,395.04998779296875,395.04998779296875,1021399
2024-02-22,388.3500061035156,388.3500061035156,402.95001220703125,380.6000061035156,400.0,21147933
2024-02-23,407.75,407.75,407.75,385.0,392.0,7919872
2024-02-26,428.1000061035156,428.1000061035156,428.1000061035156,420.0,420.0,8475917
2024-02-27,427.54998779296875,427.54998779296875,449.5,413.20001220703125,418.0,20736054
2024-02-28,406.20001220703125,406.20001220703125,432.0,406.20001220703125,432.0,4426529
2024-02-29,403.29998779296875,403.29998779296875,419.3999938964844,385.8999938964844,395.0,13630735
2024-03-01,423.45001220703125,423.45001220703125,423.45001220703125,413.20001220703125,416.1000061035156,4664243
2024-03-04,418.20001220703125,418.20001220703125,424.20001220703125,400.0,410.79998779296875,3333960
2024-03-05,404.1499938964844,404.1499938964844,418.0,399.3500061035156,418.0,5331595
2024-03-06,393.04998779296875,393.04998779296875,404.1499938964844,384.1000061035156,404.1499938964844,2957807
2024-03-07,400.75,400.75,405.25,396.0,405.0,1612307
2024-03-11,388.79998779296875,388.79998779296875,409.95001220703125,386.25,409.95001220703125,1902348
2024-03-12,369.3999938964844,369.3999938964844,391.1499938964844,369.3999938964844,388.75,3361826
2024-03-13,350.95001220703125,350.95001220703125,372.45001220703125,350.95001220703125,370.5,2583164
2024-03-14,353.04998779296875,353.04998779296875,362.1499938964844,334.25,336.25,5453642
2024-03-15,370.70001220703125,370.70001220703125,370.70001220703125,367.25,370.70001220703125,5064403
2024-03-18,389.20001220703125,389.20001220703125,389.20001220703125,373.04998779296875,379.0,7280856
2024-03-19,406.3500061035156,406.3500061035156,408.6499938964844,391.6000061035156,397.04998779296875,8749001
2024-03-20,420.25,420.25,425.70001220703125,405.0,416.0,6512954
2024-03-21,410.8500061035156,410.8500061035156,437.3999938964844,405.0,432.0,5120160
2024-03-22,402.3500061035156,402.3500061035156,417.45001220703125,398.1499938964844,412.8500061035156,2574779
2024-03-26,398.45001220703125,398.45001220703125,404.5,394.04998779296875,402.3500061035156,2363658
2024-03-27,396.79998779296875,396.79998779296875,415.29998779296875,394.0,397.0,4405505
2024-03-28,402.6499938964844,402.6499938964844,404.95001220703125,399.0,402.3999938964844,2536846
2024-04-01,406.04998779296875,406.04998779296875,410.0,400.0,402.75,1667152
2024-04-02,416.3500061035156,416.3500061035156,422.0,405.0,410.0,3213704
2024-04-03,410.8999938964844,410.8999938964844,419.3999938964844,409.95001220703125,416.3500061035156,1256770
2024-04-04,410.79998779296875,410.79998779296875,417.0,410.0,412.3999938964844,985713
2024-04-05,417.54998779296875,417.54998779296875,422.6499938964844,410.0,410.3999938964844,2363933
2024-04-08,412.20001220703125,412.20001220703125,422.1499938964844,411.20001220703125,418.0,870287
2024-04-09,404.20001220703125,404.20001220703125,416.45001220703125,402.8999938964844,416.0,926611
2024-04-10,400.54998779296875,400.54998779296875,403.95001220703125,388.0,400.0,3363668
2024-04-12,391.6000061035156,391.6000061035156,402.29998779296875,391.0,400.6499938964844,1334563
