date_,adj close_ashokley.ns,close_ashokley.ns,high_ashokley.ns,low_ashokley.ns,open_ashokley.ns,volume_ashokley.ns
2024-01-16,82.41622924804688,87.67500305175781,89.57499694824219,87.0250015258789,88.1500015258789,18921640
2024-01-17,80.55968475341797,85.69999694824219,87.4000015258789,85.42500305175781,87.0999984741211,32424600
2024-01-18,81.57020568847656,86.7750015258789,87.25,84.0,85.4000015258789,33520288
2024-01-19,81.00619506835938,86.17500305175781,87.7249984741211,85.92500305175781,87.67500305175781,20759736
2024-01-23,80.01917266845703,85.125,87.875,84.4000015258789,87.4749984741211,26448794
2024-01-24,80.18367004394531,85.30000305175781,85.7249984741211,83.8499984741211,85.5,21095562
2024-01-25,79.78416442871094,84.875,86.3499984741211,84.2750015258789,85.5,21681852
2024-01-29,81.64070129394531,86.8499984741211,87.5250015258789,84.375,85.375,33181994
2024-01-30,81.1471939086914,86.32499694824219,87.4000015258789,86.1500015258789,87.375,21701822
2024-01-31,82.67472839355469,87.94999694824219,88.125,85.80000305175781,86.32499694824219,28450760
2024-02-01,82.13422393798828,87.375,88.5999984741211,86.8499984741211,88.5999984741211,24255762
2024-02-02,81.80520629882812,87.0250015258789,87.5999984741211,84.1500015258789,86.5999984741211,45353934
2024-02-05,84.24925994873047,89.625,90.94999694824219,86.57499694824219,87.94999694824219,113941608
2024-02-06,84.57826232910156,89.9749984741211,93.42500305175781,88.07499694824219,93.42500305175781,144148896
2024-02-07,83.5677490234375,88.9000015258789,91.4749984741211,88.5,91.4749984741211,49048576
2024-02-08,82.72172546386719,88.0,89.3499984741211,86.55000305175781,89.25,30328624
2024-02-09,81.52320861816406,86.7249984741211,88.19999694824219,84.92500305175781,88.05000305175781,31295722
2024-02-12,80.53617858886719,85.67500305175781,87.17500305175781,85.1500015258789,87.17500305175781,28238014
2024-02-13,81.28819274902344,86.4749984741211,86.94999694824219,84.875,85.9000015258789,19097140
2024-02-14,81.61720275878906,86.82499694824219,87.3499984741211,85.0250015258789,85.44999694824219,18640610
2024-02-15,82.01670837402344,87.25,87.75,86.7750015258789,87.25,11806390
2024-02-16,81.8757095336914,87.0999984741211,88.4000015258789,86.5,87.4000015258789,21655174
2024-02-19,80.93568420410156,86.0999984741211,87.25,85.9000015258789,87.17500305175781,22293034
2024-02-20,81.28819274902344,86.4749984741211,87.42500305175781,85.75,86.32499694824219,33709764
2024-02-21,80.51268768310547,85.6500015258789,88.69999694824219,85.4000015258789,87.19999694824219,68168430
2024-02-22,81.31169891357422,86.5,86.80000305175781,83.19999694824219,86.3499984741211,29290650
2024-02-23,81.7817153930664,87.0,87.25,85.92500305175781,86.75,21833034
2024-02-26,81.7817153930664,87.0,88.05000305175781,85.875,87.0999984741211,35448700
2024-02-27,81.7817153930664,87.0,87.69999694824219,86.0999984741211,86.9749984741211,19946960
2024-02-28,79.57266235351562,84.6500015258789,87.2249984741211,84.375,87.0,24321318
2024-02-29,79.85466766357422,84.94999694824219,85.375,83.8499984741211,84.67500305175781,42498232
2024-03-01,80.81818389892578,85.9749984741211,86.67500305175781,85.30000305175781,85.5,24134334
2024-03-04,80.86519622802734,86.0250015258789,86.9749984741211,85.3499984741211,86.0,35480038
2024-03-05,80.79468536376953,85.94999694824219,86.75,85.7750015258789,85.94999694824219,16599648
2024-03-06,80.23066711425781,85.3499984741211,86.0999984741211,84.5,85.94999694824219,18817756
2024-03-07,80.39517974853516,85.5250015258789,86.125,85.30000305175781,85.3499984741211,11265328
2024-03-11,79.71367645263672,84.80000305175781,86.375,84.57499694824219,85.9749984741211,30037892
2024-03-12,78.63264465332031,83.6500015258789,85.07499694824219,83.5,85.0,20222622
2024-03-13,75.1075668334961,79.9000015258789,83.9000015258789,79.5250015258789,83.75,28935186
2024-03-14,77.12861633300781,82.05000305175781,82.2249984741211,78.7750015258789,79.05000305175781,30579464
2024-03-15,76.07109069824219,80.92500305175781,82.42500305175781,80.125,82.1500015258789,38148982
2024-03-18,76.44709777832031,81.32499694824219,81.7249984741211,79.875,81.0999984741211,27279552
