date_,adj close_tatapower.ns,close_tatapower.ns,high_tatapower.ns,low_tatapower.ns,open_tatapower.ns,volume_tatapower.ns
2024-01-16,349.76214599609375,353.45001220703125,360.70001220703125,349.0,358.95001220703125,14129539
2024-01-17,345.16064453125,348.79998779296875,355.3500061035156,346.5,352.3999938964844,12084011
2024-01-18,341.944580078125,345.54998779296875,350.0,335.29998779296875,347.79998779296875,16863929
2024-01-19,345.01220703125,348.6499938964844,351.29998779296875,345.1000061035156,348.0,13483525
2024-01-23,342.5877990722656,346.20001220703125,365.75,341.20001220703125,365.5,25989141
2024-01-24,353.22564697265625,356.95001220703125,357.8999938964844,343.75,348.5,19810051
2024-01-25,361.29058837890625,365.1000061035156,366.70001220703125,358.0,358.95001220703125,19949672
2024-01-29,377.915283203125,381.8999938964844,387.25,366.8500061035156,369.45001220703125,34448280
2024-01-30,379.251220703125,383.25,392.79998779296875,382.0,386.1000061035156,23860682
2024-01-31,385.6833801269531,389.75,391.20001220703125,383.70001220703125,385.0,15543971
2024-02-01,384.79278564453125,388.8500061035156,396.70001220703125,385.45001220703125,392.1000061035156,25396799
2024-02-02,385.7328796386719,389.79998779296875,394.79998779296875,387.54998779296875,391.54998779296875,13340756
2024-02-05,389.8890686035156,394.0,402.5,390.20001220703125,395.5,22188678
2024-02-06,388.85003662109375,392.95001220703125,396.6499938964844,386.75,396.6499938964844,12288416
2024-02-07,391.02703857421875,395.1499938964844,401.75,392.0,395.70001220703125,13281036
2024-02-08,403.14923095703125,407.3999938964844,410.8999938964844,393.1000061035156,396.5,21626429
2024-02-09,388.0088806152344,392.1000061035156,412.8999938964844,384.04998779296875,412.8999938964844,38295877
2024-02-12,357.9260559082031,361.70001220703125,386.1499938964844,359.20001220703125,379.8999938964844,44078652
2024-02-13,361.2410888671875,365.04998779296875,366.5,354.6000061035156,361.70001220703125,21221871
2024-02-14,369.8008728027344,373.70001220703125,374.6000061035156,358.20001220703125,364.29998779296875,15216135
2024-02-15,374.8971252441406,378.8500061035156,382.3500061035156,374.75,376.6499938964844,16001298
2024-02-16,372.37371826171875,376.29998779296875,383.0,375.25,383.0,9592754
2024-02-19,376.5299072265625,380.5,385.79998779296875,379.1000061035156,383.1000061035156,12557987
2024-02-20,374.99609375,378.95001220703125,382.5,376.04998779296875,381.0,7298102
2024-02-21,371.5326232910156,375.45001220703125,383.8500061035156,373.5,380.70001220703125,10283746
2024-02-22,373.95703125,377.8999938964844,379.70001220703125,369.25,377.04998779296875,8449170
2024-02-23,374.4518127441406,378.3999938964844,381.75,377.5,379.3500061035156,5691333
2024-02-26,374.4518127441406,378.3999938964844,381.3999938964844,377.70001220703125,379.0,6228934
2024-02-27,371.6315612792969,375.54998779296875,379.5,373.95001220703125,379.0,6322898
2024-02-28,361.9338073730469,365.75,378.25,364.6000061035156,375.5,8577264
2024-02-29,367.8711853027344,371.75,374.0,363.04998779296875,367.0,8088079
