date_,adj close_forcemot.ns,close_forcemot.ns,high_forcemot.ns,low_forcemot.ns,open_forcemot.ns,volume_forcemot.ns
2024-02-07,3336.982421875,3352.35009765625,3352.35009765625,3352.35009765625,3352.35009765625,0
2024-02-08,3336.982421875,3352.35009765625,3352.35009765625,3352.35009765625,3352.35009765625,0
2024-02-09,3336.982421875,3352.35009765625,3352.35009765625,3352.35009765625,3352.35009765625,0
2024-02-12,3336.982421875,3352.35009765625,3352.35009765625,3352.35009765625,3352.35009765625,0
2024-02-13,3336.982421875,3352.35009765625,3352.35009765625,3352.35009765625,3352.35009765625,0
2024-02-14,4402.37548828125,4422.64990234375,4587.0,4250.10009765625,4400.0,89317
2024-02-15,4945.97265625,4968.75,5187.0,4479.0,4479.0,220571
2024-02-16,5204.78076171875,5228.75,5365.0,5001.0,5027.9501953125,131431
2024-02-19,5692.38525390625,5718.60009765625,5980.0,5300.0,5300.0,227739
2024-02-20,6022.6640625,6050.39990234375,6114.4501953125,5606.0498046875,5749.0,218220
2024-02-21,5743.74853515625,5770.2001953125,6196.0,5512.60009765625,6088.89990234375,140240
2024-02-22,5934.17138671875,5961.5,6021.4501953125,5705.5,5880.9501953125,69520
2024-02-23,5853.34326171875,5880.2998046875,6026.0,5802.0,5999.9501953125,37345
2024-02-26,5981.1552734375,6008.7001953125,6161.0,5830.0,5938.0,41924
2024-02-27,6053.02392578125,6080.89990234375,6180.0,6008.7001953125,6029.9501953125,41150
2024-02-28,6403.06201171875,6432.5498046875,6575.0,6080.0,6080.0,141681
2024-02-29,6717.712890625,6748.64990234375,6810.0,6336.10009765625,6400.0,154699
2024-03-01,6761.76025390625,6792.89990234375,6975.0,6710.0,6870.0,63204
2024-03-04,6446.9599609375,6476.64990234375,6698.85009765625,6440.14990234375,6649.0,37665
2024-03-05,6398.3837890625,6427.85009765625,6596.0,6335.0498046875,6478.25,42611
2024-03-06,5873.35107421875,5900.39990234375,6350.0,5840.85009765625,6350.0,92824
2024-03-07,6460.64697265625,6490.39990234375,6490.39990234375,5919.9501953125,5919.9501953125,108836
2024-03-11,6717.0166015625,6747.9501953125,6900.0,6330.5498046875,6539.9501953125,156982
2024-03-12,6440.24072265625,6469.89990234375,6784.0,6402.0498046875,6730.0,62052
2024-03-13,5832.7880859375,5859.64990234375,6577.9501953125,5822.9501953125,6475.10009765625,98959
2024-03-14,6067.90576171875,6095.85009765625,6318.7998046875,5899.9501953125,5899.9501953125,72873
2024-03-15,6504.69384765625,6534.64990234375,6598.85009765625,6146.0498046875,6146.0498046875,101911
2024-03-18,6841.84130859375,6873.35009765625,7090.0,6549.0,6567.7001953125,177767
2024-03-19,6897.435546875,6929.2001953125,7189.7001953125,6800.0,6885.0,139771
2024-03-20,6835.3212890625,6866.7998046875,7099.9501953125,6799.35009765625,7019.9501953125,61806
2024-03-21,7033.6083984375,7066.0,7100.0,6915.0,6915.0,49433
2024-03-22,7132.70166015625,7165.5498046875,7200.0,7030.0,7069.9501953125,59019
2024-03-26,7242.14794921875,7275.5,7365.5498046875,7144.9501953125,7169.0,49668
2024-03-27,7154.00390625,7186.9501953125,7326.0,7101.0,7294.9501953125,36773
2024-03-28,7210.79248046875,7244.0,7390.0,7185.0,7200.0498046875,34964
2024-04-01,7506.380859375,7540.9501953125,7600.0,7300.0,7309.2001953125,58160
2024-04-02,7517.08203125,7551.7001953125,7689.0,7470.0,7602.0,43442
2024-04-03,7663.20849609375,7698.5,7735.0,7451.0,7580.0,39670
2024-04-04,7776.2880859375,7812.10009765625,7900.0,7705.5498046875,7749.0,49585
2024-04-05,8166.3916015625,8204.0,8272.25,7784.9501953125,7851.5,112959
2024-04-08,8546.9873046875,8586.349609375,9261.7998046875,8560.75,8871.0,204203
2024-04-09,8570.580078125,8610.0498046875,8870.0,8418.5498046875,8659.0,100523
2024-04-10,8825.8544921875,8866.5,8999.9501953125,8579.25,8685.0,94699
2024-04-12,8705.5078125,8745.599609375,9041.9501953125,8690.150390625,8960.0,56189
2024-04-15,8358.357421875,8396.849609375,8678.9501953125,8341.0,8604.0,67095
2024-04-16,8311.6728515625,8349.9501953125,8550.650390625,8276.349609375,8350.0,46859
2024-04-18,8029.12353515625,8066.10009765625,8479.099609375,8010.10009765625,8391.0498046875,46254
2024-04-19,9271.1533203125,9313.849609375,9488.0,7893.85009765625,7904.89990234375,393324
2024-04-22,9807.2841796875,9852.4501953125,10139.0498046875,9380.0,9549.0,364926
2024-04-23,9740.640625,9785.5,10023.849609375,9690.900390625,9900.0,82781
2024-04-24,9903.6904296875,9949.2998046875,10000.0,9755.0,9850.5498046875,49754
2024-04-25,9824.6044921875,9869.849609375,10242.75,9780.0,10014.0,58312
2024-04-26,9570.474609375,9614.5498046875,9943.0,9455.0,9942.0,62249
2024-04-29,9473.5224609375,9517.150390625,10277.849609375,9022.599609375,10100.0,240929
2024-04-30,9478.3994140625,9522.0498046875,9662.0498046875,9454.0,9594.0,51905
2024-05-02,9468.345703125,9511.9501953125,9650.0,9380.0,9579.0,40421
