date_,adj close_3mindia.ns,close_3mindia.ns,high_3mindia.ns,low_3mindia.ns,open_3mindia.ns,volume_3mindia.ns
2024-01-16,33170.35546875,34335.19921875,34699.75,34100.0,34566.94921875,1705
2024-01-17,33180.20703125,34345.3984375,34669.3984375,33861.6015625,34335.19921875,3171
2024-01-18,32936.1328125,34092.75,34418.5,33701.0,34339.0,3290
2024-01-19,32765.376953125,33916.0,34484.8515625,33805.19921875,34249.0,2994
2024-01-23,32390.25,33527.69921875,34850.0,33305.0,34850.0,4424
2024-01-24,33301.5,34470.94921875,34649.8984375,33605.25,34188.0,4769
2024-01-25,32893.140625,34048.25,34756.1015625,33950.0,34166.0,2771
2024-01-29,32580.033203125,33724.1484375,34259.94921875,33456.0,34259.94921875,2703
2024-01-30,32513.765625,33655.55078125,34059.94921875,33569.0,33860.0,1639
2024-01-31,33241.02734375,34408.3515625,34659.05078125,33655.55078125,33655.55078125,4845
2024-02-01,32657.03515625,33803.8515625,34500.0,33700.0,34450.8515625,2999
2024-02-02,31753.70703125,32868.80078125,34039.0,32800.0,33998.8984375,5414
2024-02-05,31282.404296875,32380.94921875,32975.0,32201.0,32975.0,6870
2024-02-06,31999.5234375,33123.25,33769.0,32411.25,32580.94921875,6875
2024-02-07,32820.10546875,33972.6484375,34000.0,33320.30078125,33500.0,7492
2024-02-08,31988.75390625,33112.1015625,34587.1484375,32900.0,34054.69921875,6665
2024-02-09,31535.2265625,32642.650390625,33886.0,32024.94921875,33886.0,7037
2024-02-12,30714.064453125,31792.650390625,32897.80078125,31701.0,32699.900390625,3434
2024-02-13,30403.470703125,31471.150390625,31992.650390625,31201.0,31825.0,4281
2024-02-14,29897.34375,30947.25,31599.94921875,30835.0,31479.599609375,3942
2024-02-15,29743.8359375,30788.349609375,31174.400390625,30507.69921875,30947.25,4826
2024-02-16,29849.13671875,30897.349609375,31200.0,30800.099609375,30987.80078125,1961
2024-02-19,29869.474609375,30918.400390625,31666.19921875,30800.0,31225.099609375,8782
2024-02-20,30319.85546875,31384.599609375,31516.150390625,31000.0,31111.0,3214
2024-02-21,29957.2421875,31009.25,31520.0,30909.0,31500.0,2801
2024-02-22,29480.388671875,30515.650390625,31277.0,30411.19921875,31277.0,9309
2024-02-23,29349.001953125,30379.650390625,31185.0,30250.099609375,30800.0,4440
2024-02-26,29699.58984375,30742.55078125,30948.0,30420.05078125,30567.80078125,2454
2024-02-27,30186.10546875,31246.150390625,31411.900390625,30817.0,30817.0,3400
2024-02-28,29628.96875,30669.44921875,31446.150390625,30400.0,31446.150390625,3537
2024-02-29,30892.7890625,31977.650390625,32380.69921875,30570.0,30798.19921875,5454
2024-03-01,30638.419921875,31714.349609375,32275.0,31500.0,32275.0,7287
2024-03-04,29615.974609375,30656.0,31836.05078125,30550.0,31836.0,4602
2024-03-05,29093.95703125,30115.650390625,30885.80078125,30005.05078125,30815.900390625,15807
2024-03-06,29294.94921875,30323.69921875,30544.400390625,30116.099609375,30200.0,2769
2024-03-07,29446.478515625,30480.55078125,30778.0,30266.0,30325.900390625,2582
2024-03-11,29080.625,30101.849609375,30647.650390625,30001.05078125,30315.25,1471
2024-03-12,29796.82421875,30843.19921875,31132.44921875,30005.55078125,30448.0,3630
2024-03-13,29220.41796875,30246.55078125,30900.0,29905.099609375,30843.19921875,6237
2024-03-14,29110.865234375,30133.150390625,30446.150390625,29400.0,30246.55078125,4529
2024-03-15,28590.439453125,29594.44921875,30369.30078125,29400.0,30249.0,21361
2024-03-18,28514.74609375,29516.099609375,29620.849609375,29241.150390625,29595.0,1842
2024-03-19,28672.025390625,29678.900390625,30104.30078125,29203.400390625,29748.0,6670
2024-03-20,29019.859375,30038.94921875,30200.0,29260.0,29678.900390625,7617
2024-03-21,29029.80859375,30049.25,30337.0,29877.599609375,30337.0,8054
2024-03-22,29685.919921875,30728.400390625,30900.0,30144.5,30200.0,2103
2024-03-26,29452.85546875,30487.150390625,31000.0,30319.75,31000.0,2225
2024-03-27,30407.287109375,31475.099609375,31657.44921875,30179.849609375,30788.0,9289
2024-03-28,30135.09375,31193.349609375,31475.099609375,31032.05078125,31475.099609375,6634
2024-04-01,29497.33984375,30533.19921875,31449.94921875,30430.0,30800.0,3789
2024-04-02,29250.462890625,30277.650390625,30821.0,29851.150390625,30800.0,5529
2024-04-03,29242.201171875,30269.099609375,30561.900390625,30200.05078125,30277.0,2567
2024-04-04,29297.654296875,30326.5,30600.0,30001.0,30497.0,5277
2024-04-05,29318.857421875,30348.44921875,30500.0,30200.0,30200.0,1553
2024-04-08,28973.1015625,29990.55078125,30556.44921875,29957.0,30348.44921875,5893
2024-04-09,29030.53515625,30050.0,30439.400390625,29956.44921875,30199.94921875,16194
2024-04-10,28838.189453125,29850.900390625,30348.94921875,29770.0,30348.0,2535
2024-04-12,28606.5234375,29611.099609375,30150.0,29501.099609375,30150.0,1897
2024-04-15,28196.138671875,29186.30078125,29610.0,29001.0,29610.0,3467
2024-04-16,28749.986328125,29759.599609375,29959.05078125,28907.05078125,29186.30078125,4399
2024-04-18,28388.3359375,29385.25,29999.94921875,29250.5,29942.30078125,2183
2024-04-19,28654.248046875,29660.5,29749.94921875,29000.0,29380.0,1820
2024-04-22,28819.78515625,29831.849609375,30491.94921875,29673.05078125,29789.650390625,3303
2024-04-23,28746.21875,29755.69921875,29986.0,29680.150390625,29831.849609375,1215
2024-04-24,29256.017578125,30283.400390625,30700.0,29905.94921875,30000.0,6752
2024-04-25,28958.658203125,29975.599609375,30300.05078125,29865.0,30202.05078125,4976
2024-04-26,28951.267578125,29967.94921875,30419.400390625,29500.0,29981.400390625,4523
2024-04-29,29005.466796875,30024.05078125,30324.400390625,29600.0,29967.94921875,7846
2024-04-30,29434.451171875,30468.099609375,30599.94921875,29936.150390625,30043.0,6040
2024-05-02,28724.529296875,29733.25,30600.0,29600.05078125,30600.0,11917
2024-05-03,28689.318359375,29696.80078125,30198.0,29351.150390625,29886.0,13550
2024-05-06,28591.259765625,29595.30078125,29860.599609375,29511.900390625,29732.349609375,1531
2024-05-07,28620.14453125,29625.19921875,29881.849609375,29120.05078125,29625.0,2882
2024-05-08,28136.142578125,29124.19921875,29748.19921875,29001.349609375,29689.0,4658
2024-05-09,27856.416015625,28834.650390625,29351.900390625,28625.0,29200.0,5379
2024-05-10,27720.828125,28694.30078125,28865.0,28614.44921875,28865.0,1520
2024-05-13,27946.453125,28927.849609375,29170.900390625,28500.0,28715.0,4917
2024-05-14,27899.6484375,28879.400390625,29349.900390625,28726.0,28927.849609375,4462
2024-05-15,27648.130859375,28619.05078125,29199.0,28498.94921875,28942.650390625,2795
2024-05-16,28988.173828125,30006.150390625,30301.0,28686.25,28686.25,31105
2024-05-17,29284.466796875,30312.849609375,30919.0,29899.94921875,30114.80078125,11068
2024-05-21,30465.298828125,31535.150390625,31689.900390625,30500.0,31137.0,6497
2024-05-22,30131.18359375,31189.30078125,31655.30078125,31116.05078125,31506.400390625,6537
