date_,adj close_godfryphlp.ns,close_godfryphlp.ns,high_godfryphlp.ns,low_godfryphlp.ns,open_godfryphlp.ns,volume_godfryphlp.ns
2024-01-16,691.559326171875,710.4833374023438,726.7166748046875,702.6666870117188,721.4500122070312,132834
2024-01-17,691.1862182617188,710.0999755859375,718.8666381835938,702.0,703.7999877929688,108909
2024-01-18,690.7320556640625,709.6333618164062,714.2666625976562,688.3333129882812,710.0999755859375,184341
2024-01-19,718.9270629882812,738.5999755859375,745.3333129882812,708.0333251953125,711.6666870117188,275541
2024-01-23,710.5723266601562,730.0166625976562,743.316650390625,721.6666870117188,731.6666870117188,168132
2024-01-24,716.9317626953125,736.5499877929688,747.316650390625,724.0,726.6666870117188,381630
2024-01-25,733.6411743164062,753.7166748046875,761.1666870117188,741.5333251953125,742.5,381687
2024-01-29,745.8731079101562,766.2833251953125,774.9833374023438,750.0,763.6500244140625,291336
2024-01-30,730.785888671875,750.7833251953125,763.0333251953125,743.183349609375,758.3666381835938,664599
2024-01-31,798.1427612304688,819.9833374023438,881.7666625976562,755.7333374023438,757.5499877929688,5080569
2024-02-01,792.7730712890625,814.4666748046875,862.0,804.5333251953125,827.316650390625,658053
2024-02-02,825.4456787109375,848.0333251953125,861.6666870117188,815.0,823.2999877929688,767424
2024-02-05,786.2839965820312,807.7999877929688,858.1666870117188,799.0,848.2999877929688,418734
2024-02-06,801.8901977539062,823.8333129882812,831.6500244140625,806.0,809.6666870117188,185553
2024-02-07,786.0892944335938,807.5999755859375,842.0333251953125,803.8333129882812,829.9666748046875,127113
2024-02-08,774.0682373046875,795.25,821.6500244140625,788.4000244140625,816.6666870117188,77469
2024-02-09,770.4505615234375,791.5333251953125,798.316650390625,761.6666870117188,795.25,193527
2024-02-12,837.6776123046875,860.5999755859375,873.816650390625,793.5166625976562,793.5166625976562,1851840
2024-02-13,808.2171020507812,830.3333129882812,864.9166870117188,827.066650390625,860.5999755859375,294654
2024-02-14,811.283203125,833.4833374023438,848.9500122070312,816.6666870117188,820.0,242937
2024-02-15,834.3843383789062,857.2166748046875,873.3333129882812,847.0,853.3333129882812,312534
2024-02-16,826.1432495117188,848.75,869.6500244140625,841.3333129882812,859.9666748046875,153189
2024-02-19,869.7986450195312,893.5999755859375,906.5999755859375,843.566650390625,849.2333374023438,497463
2024-02-20,862.0278930664062,885.6166381835938,906.0,878.0166625976562,896.3333129882812,104010
2024-02-21,855.6361694335938,879.0499877929688,923.1500244140625,868.683349609375,890.0499877929688,633096
2024-02-22,897.4097900390625,921.9666748046875,926.3333129882812,883.3333129882812,886.6666870117188,528702
2024-02-23,891.7966918945312,916.2000122070312,933.3333129882812,913.3333129882812,933.3333129882812,175179
2024-02-26,904.1259155273438,928.8666381835938,937.2333374023438,920.5833129882812,920.5833129882812,133188
2024-02-27,911.2802124023438,936.2166748046875,945.0,928.8666381835938,933.3333129882812,89724
2024-02-28,909.0576782226562,933.933349609375,971.1500244140625,917.683349609375,939.6500244140625,373248
2024-02-29,959.55908203125,985.816650390625,1000.0,892.7000122070312,931.8333129882812,485319
2024-03-01,961.1976318359375,987.5,1003.6666870117188,957.3333129882812,985.9833374023438,350799
2024-03-04,979.8861694335938,1006.7000122070312,1011.6666870117188,974.4166870117188,996.6666870117188,218043
2024-03-05,1001.5921630859375,1029.0,1034.0,999.0166625976562,1009.8333129882812,240180
2024-03-06,1026.5751953125,1054.6666259765625,1060.9832763671875,1020.0,1027.0,501006
2024-03-07,1070.084716796875,1099.36669921875,1112.8499755859375,1049.3333740234375,1054.6666259765625,373704
2024-03-11,1180.0584716796875,1212.3499755859375,1228.6666259765625,1100.5167236328125,1112.449951171875,2324679
2024-03-12,1053.2940673828125,1082.11669921875,1193.3333740234375,1054.3333740234375,1190.0167236328125,1392486
2024-03-13,951.4801025390625,977.5166625976562,1102.9832763671875,935.183349609375,1082.11669921875,933855
2024-03-14,983.3092041015625,1010.2166748046875,1039.449951171875,946.683349609375,958.3333129882812,788556
2024-03-15,954.8382568359375,980.9666748046875,1028.0167236328125,958.3333129882812,1010.1500244140625,571260
2024-03-18,1015.6248168945312,1043.4166259765625,1062.6666259765625,971.25,989.0,1408998
2024-03-19,994.4866943359375,1021.7000122070312,1059.9000244140625,1015.3333129882812,1039.683349609375,478581
