date_,adj close_tiindia.ns,close_tiindia.ns,high_tiindia.ns,low_tiindia.ns,open_tiindia.ns,volume_tiindia.ns
2024-01-16,3911.989990234375,3920.300048828125,4022.35009765625,3910.89990234375,4002.0,307773
2024-01-17,3818.53857421875,3826.64990234375,3910.0,3764.050048828125,3866.0,310013
2024-01-18,3841.39013671875,3849.550048828125,3905.699951171875,3670.050048828125,3795.699951171875,333718
2024-01-19,3846.32958984375,3854.5,3917.39990234375,3756.0,3850.0,284614
2024-01-23,3923.964599609375,3932.300048828125,4090.0,3900.0,4045.0,304728
2024-01-24,3997.707763671875,4006.199951171875,4119.9501953125,3776.0,3961.0,274717
2024-01-25,3979.447021484375,3987.89990234375,4074.35009765625,3915.0,4025.60009765625,165063
2024-01-29,4065.01513671875,4073.64990234375,4105.0,3893.0,3915.0,176542
2024-01-30,3924.4638671875,3932.800048828125,4059.949951171875,3835.0,4050.050048828125,287282
2024-01-31,3889.787353515625,3898.050048828125,3947.949951171875,3851.050048828125,3885.050048828125,313026
2024-02-01,3771.3388671875,3779.35009765625,4000.0,3601.0,3943.800048828125,252250
2024-02-02,3636.27587890625,3644.0,3779.35009765625,3621.10009765625,3779.35009765625,459510
2024-02-05,3600.402099609375,3608.050048828125,3705.0,3580.0,3645.0,338895
2024-02-06,3590.622802734375,3598.25,3659.949951171875,3581.64990234375,3627.0,270217
2024-02-07,3592.818359375,3600.449951171875,3658.0,3585.0,3600.0,260915
2024-02-08,3500.014892578125,3507.449951171875,3618.449951171875,3501.0,3601.0,143994
2024-02-09,3451.867431640625,3459.199951171875,3625.0,3441.14990234375,3625.0,191190
2024-02-12,3489.73681640625,3497.14990234375,3564.0,3430.25,3509.64990234375,137667
2024-02-13,3488.5888671875,3494.0,3529.199951171875,3462.199951171875,3496.0,79406
2024-02-14,3491.68408203125,3497.10009765625,3508.800048828125,3445.0,3452.0,101905
2024-02-15,3474.91015625,3480.300048828125,3515.5,3453.0,3514.550048828125,103096
2024-02-16,3652.0849609375,3657.75,3746.0,3471.25,3489.0,203255
2024-02-19,3707.3994140625,3713.14990234375,3745.0,3633.14990234375,3720.0,99609
2024-02-20,3717.63330078125,3723.39990234375,3740.0,3654.39990234375,3698.25,89736
2024-02-21,3657.6767578125,3663.35009765625,3747.800048828125,3618.0,3730.550048828125,104864
2024-02-22,3682.83740234375,3688.550048828125,3710.5,3567.0,3681.64990234375,113920
2024-02-23,3617.03955078125,3622.64990234375,3730.0,3605.0,3708.699951171875,98017
2024-02-26,3566.16845703125,3571.699951171875,3644.0,3552.449951171875,3644.0,76806
2024-02-27,3549.8935546875,3555.39990234375,3580.0,3523.25,3571.75,157799
2024-02-28,3528.02734375,3533.5,3574.75,3510.10009765625,3554.949951171875,297441
2024-02-29,3483.246826171875,3488.64990234375,3559.449951171875,3432.300048828125,3528.39990234375,389585
2024-03-01,3708.148193359375,3713.89990234375,3824.800048828125,3510.949951171875,3520.0,296730
2024-03-04,3647.4423828125,3653.10009765625,3763.800048828125,3630.0,3741.050048828125,209113
2024-03-05,3558.1806640625,3563.699951171875,3649.0,3530.0,3649.0,220335
2024-03-06,3537.562744140625,3543.050048828125,3578.60009765625,3501.14990234375,3560.0,211154
2024-03-07,3493.281494140625,3498.699951171875,3568.0,3472.60009765625,3543.050048828125,213171
2024-03-11,3550.991943359375,3556.5,3600.0,3456.0,3524.949951171875,248528
2024-03-12,3542.55517578125,3548.050048828125,3575.0,3492.0,3540.35009765625,105869
2024-03-13,3449.94873046875,3455.300048828125,3548.0,3410.5,3548.0,172415
2024-03-14,3575.25439453125,3580.800048828125,3612.0,3398.5,3446.0,124205
2024-03-15,3555.13525390625,3560.64990234375,3679.949951171875,3500.10009765625,3570.10009765625,265361
2024-03-18,3505.163330078125,3510.60009765625,3539.550048828125,3482.050048828125,3539.550048828125,117047
2024-03-19,3495.77783203125,3501.199951171875,3524.89990234375,3471.14990234375,3504.050048828125,57581
2024-03-20,3546.050048828125,3551.550048828125,3569.0,3490.0,3519.60009765625,192218
2024-03-21,3701.35888671875,3707.10009765625,3720.0,3541.14990234375,3555.10009765625,322530
2024-03-22,3738.151611328125,3743.949951171875,3772.050048828125,3675.0,3721.0,121462
2024-03-26,3736.65380859375,3742.449951171875,3790.0,3702.60009765625,3734.550048828125,140602
2024-03-27,3800.005615234375,3805.89990234375,3845.0,3726.14990234375,3750.0,260085
