date_,adj close_nuvama.ns,close_nuvama.ns,high_nuvama.ns,low_nuvama.ns,open_nuvama.ns,volume_nuvama.ns
2024-01-16,577.6702270507812,714.4500122070312,750.0,700.2000122070312,750.0,300450
2024-01-17,555.9039916992188,687.530029296875,715.0,673.8099975585938,714.4500122070312,809555
2024-01-18,574.775634765625,710.8699951171875,720.6599731445312,682.0,689.969970703125,247220
2024-01-19,556.8338623046875,688.6799926757812,719.5999755859375,686.0,719.0,275395
2024-01-23,534.2509765625,660.75,688.4600219726562,660.0,684.7899780273438,229085
2024-01-24,546.6137084960938,676.0399780273438,680.0,651.0,658.0,300015
2024-01-25,566.900390625,701.1300048828125,705.0,674.010009765625,682.7999877929688,194855
2024-01-29,589.7176513671875,729.3499755859375,734.2000122070312,701.510009765625,710.0,308675
2024-01-30,577.5328369140625,714.280029296875,733.3499755859375,708.0,732.0,328220
2024-01-31,578.0664672851562,714.9400024414062,724.6699829101562,703.989990234375,720.0,218115
2024-02-01,570.0375366210938,705.010009765625,729.7999877929688,699.989990234375,729.7999877929688,483720
2024-02-02,550.0420532226562,680.280029296875,716.7899780273438,676.0,700.0,222035
2024-02-05,523.1171875,646.97998046875,679.2999877929688,636.510009765625,678.02001953125,497300
2024-02-06,521.4677734375,644.9400024414062,661.1199951171875,634.1400146484375,646.9000244140625,252605
2024-02-07,524.4027709960938,648.5700073242188,657.97998046875,640.0,645.989990234375,286525
2024-02-08,545.6920776367188,674.9000244140625,685.7999877929688,652.0,652.0,405485
2024-02-09,558.0143432617188,690.1400146484375,695.4000244140625,663.2000122070312,679.5900268554688,336535
2024-02-12,548.4168701171875,678.27001953125,708.5999755859375,670.010009765625,700.0,293525
2024-02-13,551.5216674804688,682.1099853515625,695.3900146484375,660.489990234375,688.4400024414062,257340
2024-02-14,623.8304443359375,771.5399780273438,779.5999755859375,700.219970703125,704.3200073242188,2574470
2024-02-15,679.1193237304688,839.9199829101562,850.2000122070312,774.219970703125,797.2000122070312,1663855
2024-02-16,676.1681518554688,836.27001953125,870.4000244140625,828.010009765625,870.0,706255
2024-02-19,698.1122436523438,863.4099731445312,899.1599731445312,839.9199829101562,839.9199829101562,785625
2024-02-20,681.722900390625,843.1400146484375,909.7899780273438,836.27001953125,878.0,501340
2024-02-21,693.7379760742188,858.0,865.8900146484375,840.0,857.5999755859375,212915
2024-02-22,725.2633666992188,896.989990234375,908.280029296875,843.8699951171875,868.2000122070312,281220
2024-02-23,717.282958984375,887.1199951171875,909.0,861.2000122070312,909.0,205975
2024-02-26,693.4306640625,857.6199951171875,888.0,853.6400146484375,888.0,99140
2024-02-27,687.3665771484375,850.1199951171875,877.9199829101562,846.0,869.5999755859375,104720
2024-02-28,660.4255981445312,816.7999877929688,859.5900268554688,812.010009765625,845.010009765625,191525
2024-02-29,668.8102416992188,827.1699829101562,838.0,802.8099975585938,816.7899780273438,224850
