date_,adj close_muthootfin.ns,close_muthootfin.ns,high_muthootfin.ns,low_muthootfin.ns,open_muthootfin.ns,volume_muthootfin.ns
2024-01-16,1399.273193359375,1437.0,1459.0,1429.8499755859375,1454.949951171875,275059
2024-01-17,1379.79833984375,1417.0,1437.800048828125,1412.949951171875,1425.0,149763
2024-01-18,1344.0618896484375,1380.300048828125,1420.550048828125,1372.6500244140625,1411.699951171875,542033
2024-01-19,1393.5281982421875,1431.0999755859375,1439.1500244140625,1381.0,1381.0,371635
2024-01-23,1328.1409912109375,1363.949951171875,1426.0,1350.3499755859375,1415.0,708076
2024-01-24,1366.8961181640625,1403.75,1406.5,1361.550048828125,1368.5999755859375,459690
2024-01-25,1351.705810546875,1388.1500244140625,1406.800048828125,1375.699951171875,1403.75,151135
2024-01-29,1357.3533935546875,1393.949951171875,1404.449951171875,1384.0999755859375,1388.0,190949
2024-01-30,1353.361083984375,1389.8499755859375,1421.5999755859375,1380.300048828125,1404.5,727506
2024-01-31,1358.3271484375,1394.949951171875,1397.449951171875,1375.3499755859375,1393.0,201126
2024-02-01,1325.1224365234375,1360.8499755859375,1407.0,1350.0999755859375,1407.0,493016
2024-02-02,1341.28662109375,1377.449951171875,1398.300048828125,1360.050048828125,1375.0,488731
2024-02-05,1328.579345703125,1364.4000244140625,1388.3499755859375,1359.4000244140625,1388.3499755859375,387501
2024-02-06,1353.994140625,1390.5,1392.0,1352.0,1367.0,384002
2024-02-07,1387.734375,1425.1500244140625,1429.5,1390.0,1390.5,652247
2024-02-08,1324.0513916015625,1359.75,1428.800048828125,1357.050048828125,1427.0,553897
2024-02-09,1341.5301513671875,1377.699951171875,1384.0,1358.25,1370.0,309793
2024-02-12,1315.725830078125,1351.199951171875,1378.6500244140625,1345.8499755859375,1373.0,159890
2024-02-13,1331.5006103515625,1367.4000244140625,1371.4000244140625,1345.550048828125,1351.25,446582
2024-02-14,1343.0394287109375,1379.25,1387.199951171875,1347.0,1365.0,152372
2024-02-15,1308.0819091796875,1343.3499755859375,1445.449951171875,1323.300048828125,1404.0,1814089
2024-02-16,1321.3736572265625,1357.0,1378.0,1345.0,1348.050048828125,705754
2024-02-19,1319.3773193359375,1354.949951171875,1377.1500244140625,1349.699951171875,1364.0,731652
2024-02-20,1303.3592529296875,1338.5,1366.9000244140625,1336.5,1359.0,417078
2024-02-21,1289.4345703125,1324.199951171875,1354.1500244140625,1320.5999755859375,1339.949951171875,261995
2024-02-22,1301.314453125,1336.4000244140625,1337.75,1314.3499755859375,1326.050048828125,168663
2024-02-23,1285.490966796875,1320.1500244140625,1352.5,1307.8499755859375,1352.5,701117
2024-02-26,1272.3941650390625,1306.699951171875,1320.0,1304.4000244140625,1318.0,236959
2024-02-27,1260.31982421875,1294.300048828125,1321.800048828125,1275.75,1310.0,882971
2024-02-28,1241.2342529296875,1274.699951171875,1305.8499755859375,1261.9000244140625,1294.199951171875,897732
2024-02-29,1269.5216064453125,1303.75,1310.699951171875,1262.0,1267.050048828125,698898
2024-03-01,1286.6595458984375,1321.3499755859375,1323.800048828125,1294.3499755859375,1299.8499755859375,672320
2024-03-04,1302.7750244140625,1337.9000244140625,1350.0,1312.0999755859375,1312.0999755859375,411404
2024-03-05,1326.6318359375,1362.4000244140625,1527.0,1355.449951171875,1400.0,7187722
2024-03-06,1356.13623046875,1392.699951171875,1421.300048828125,1345.949951171875,1359.050048828125,2895758
2024-03-07,1340.99462890625,1377.1500244140625,1402.0,1372.5,1393.0,567344
2024-03-11,1364.851318359375,1401.6500244140625,1413.4000244140625,1378.5,1382.050048828125,1107120
2024-03-12,1363.3907470703125,1400.1500244140625,1416.0,1382.800048828125,1404.9000244140625,605793
2024-03-13,1315.044189453125,1350.5,1401.949951171875,1340.300048828125,1400.1500244140625,511225
2024-03-14,1330.9163818359375,1366.800048828125,1369.9000244140625,1331.050048828125,1350.0,536499
2024-03-15,1306.0858154296875,1341.300048828125,1368.9000244140625,1328.8499755859375,1360.0,474116
2024-03-18,1304.2357177734375,1339.4000244140625,1351.949951171875,1332.050048828125,1333.050048828125,325428
2024-03-19,1290.262451171875,1325.050048828125,1343.0999755859375,1321.0,1336.75,356723
2024-03-20,1303.7000732421875,1338.8499755859375,1344.550048828125,1328.6500244140625,1329.0,266074
2024-03-21,1396.7901611328125,1434.449951171875,1443.0,1350.9000244140625,1350.9000244140625,1693364
2024-03-22,1386.955322265625,1424.3499755859375,1434.449951171875,1416.0,1434.449951171875,401210
2024-03-26,1444.211669921875,1483.1500244140625,1495.8499755859375,1410.949951171875,1420.0,1560486
2024-03-27,1439.3916015625,1478.199951171875,1488.050048828125,1448.25,1478.8499755859375,2344685
2024-03-28,1441.58251953125,1480.449951171875,1495.0,1465.800048828125,1475.0,607341
2024-04-01,1522.64697265625,1563.699951171875,1585.0,1505.0,1505.0,1405599
2024-04-02,1521.721923828125,1562.75,1582.0,1550.550048828125,1560.050048828125,1024805
2024-04-03,1587.4010009765625,1630.199951171875,1662.0,1536.0,1560.699951171875,1550553
2024-04-04,1622.7967529296875,1666.550048828125,1674.449951171875,1618.449951171875,1645.0,1526762
2024-04-05,1611.3065185546875,1654.75,1659.1500244140625,1620.800048828125,1626.050048828125,659689
2024-04-08,1630.2457275390625,1674.199951171875,1696.800048828125,1660.050048828125,1666.5,612259
2024-04-09,1631.7552490234375,1675.75,1698.5,1662.800048828125,1683.6500244140625,553797
2024-04-10,1606.1456298828125,1649.449951171875,1683.75,1644.300048828125,1677.0,324260
2024-04-12,1623.57568359375,1667.3499755859375,1688.1500244140625,1649.0999755859375,1659.550048828125,861674
2024-04-15,1604.4415283203125,1647.699951171875,1669.75,1610.0,1630.0999755859375,310331
2024-04-16,1590.3709716796875,1633.25,1654.449951171875,1626.050048828125,1645.0,479495
2024-04-18,1612.2315673828125,1655.699951171875,1692.0,1635.050048828125,1636.0999755859375,539125
2024-04-19,1608.38525390625,1651.75,1660.0,1626.699951171875,1650.0,195684
2024-04-22,1598.0635986328125,1641.1500244140625,1670.6500244140625,1632.800048828125,1655.800048828125,178305
2024-04-23,1575.034423828125,1617.5,1642.0,1586.0,1641.1500244140625,691937
2024-04-24,1599.767578125,1642.9000244140625,1670.0,1616.550048828125,1625.0,541443
2024-04-25,1611.5986328125,1655.050048828125,1665.199951171875,1629.050048828125,1640.0,364893
2024-04-26,1643.634765625,1687.949951171875,1717.0,1653.800048828125,1655.0,1274470
2024-04-29,1653.226318359375,1697.800048828125,1705.5999755859375,1686.199951171875,1705.0,357609
2024-04-30,1675.4764404296875,1720.6500244140625,1753.9000244140625,1695.5,1706.949951171875,717003
2024-05-02,1671.776123046875,1716.8499755859375,1743.050048828125,1703.050048828125,1722.0,232700
2024-05-03,1656.2935791015625,1700.949951171875,1742.300048828125,1684.0,1716.8499755859375,291478
2024-05-06,1630.4892578125,1674.449951171875,1716.8499755859375,1668.949951171875,1716.3499755859375,211743
2024-05-07,1631.9012451171875,1675.9000244140625,1686.0,1647.199951171875,1680.0,382854
2024-05-08,1615.737060546875,1659.300048828125,1693.3499755859375,1636.050048828125,1657.5,509893
2024-05-09,1556.4359130859375,1598.4000244140625,1648.0,1509.699951171875,1570.0,2844120
2024-05-10,1619.5833740234375,1663.25,1672.0,1590.6500244140625,1598.800048828125,515191
2024-05-13,1647.286376953125,1691.699951171875,1700.0,1640.800048828125,1665.949951171875,267829
2024-05-14,1633.2645263671875,1677.300048828125,1700.0,1666.0999755859375,1695.0,300769
2024-05-15,1627.6168212890625,1671.5,1689.699951171875,1662.5,1677.0,361547
