date_,adj close_glaxo.ns,close_glaxo.ns,high_glaxo.ns,low_glaxo.ns,open_glaxo.ns,volume_glaxo.ns
2024-01-16,2186.595947265625,2253.050048828125,2275.14990234375,2240.0,2259.89990234375,295210
2024-01-17,2203.337158203125,2270.300048828125,2334.0,2240.64990234375,2247.0,352667
2024-01-18,2261.179443359375,2329.89990234375,2374.800048828125,2243.35009765625,2251.050048828125,318008
2024-01-19,2228.37646484375,2296.10009765625,2357.0,2278.949951171875,2329.949951171875,296109
2024-01-23,2160.29541015625,2225.949951171875,2304.0,2209.0,2275.0,183333
2024-01-24,2130.5009765625,2195.25,2249.89990234375,2156.25,2225.5,195344
2024-01-25,2128.559814453125,2193.25,2293.0,2145.0,2204.0,188319
2024-01-29,2119.340087890625,2183.75,2222.0,2161.25,2210.14990234375,77732
2024-01-30,2132.830078125,2197.64990234375,2210.0,2159.0,2185.0,137554
2024-01-31,2183.538818359375,2249.89990234375,2274.25,2210.0,2218.75,199271
2024-02-01,2162.33349609375,2228.050048828125,2274.800048828125,2202.10009765625,2250.0,144365
2024-02-02,2239.439697265625,2307.5,2325.0,2235.699951171875,2258.89990234375,166589
2024-02-05,2375.989990234375,2448.199951171875,2493.39990234375,2282.0,2309.800048828125,323824
2024-02-06,2394.04150390625,2466.800048828125,2524.0,2431.25,2463.0,289022
2024-02-07,2357.647705078125,2429.300048828125,2517.449951171875,2407.10009765625,2472.75,137560
2024-02-08,2349.398193359375,2420.800048828125,2480.0,2410.0,2430.0,114996
2024-02-09,2312.37353515625,2382.64990234375,2500.0,2345.0,2500.0,162242
2024-02-12,2271.126708984375,2340.14990234375,2440.050048828125,2301.0,2410.0,164619
2024-02-13,2115.36083984375,2179.64990234375,2243.949951171875,2091.050048828125,2190.050048828125,597317
2024-02-14,2089.982177734375,2153.5,2212.0,2138.199951171875,2156.550048828125,162876
2024-02-15,2134.916748046875,2199.800048828125,2225.0,2130.050048828125,2188.0,125602
2024-02-16,2192.515869140625,2259.14990234375,2278.75,2205.050048828125,2225.0,119049
2024-02-19,2189.216552734375,2255.75,2318.25,2245.0,2318.25,99854
2024-02-20,2221.5341796875,2289.050048828125,2312.14990234375,2245.0,2260.0,119226
2024-02-21,2172.32958984375,2238.35009765625,2312.14990234375,2209.10009765625,2295.0,78430
2024-02-22,2095.611328125,2159.300048828125,2258.0,2151.14990234375,2258.0,212938
2024-02-23,2106.77197265625,2170.800048828125,2182.14990234375,2149.5,2160.0,80441
2024-02-26,2107.83935546875,2171.89990234375,2190.0,2154.0,2170.85009765625,94131
2024-02-27,2103.666259765625,2167.60009765625,2199.14990234375,2152.300048828125,2152.300048828125,122017
2024-02-28,2090.613037109375,2154.14990234375,2205.35009765625,2138.949951171875,2168.35009765625,87477
2024-02-29,2109.537841796875,2173.64990234375,2268.0,2117.050048828125,2143.050048828125,492230
2024-03-01,2083.771240234375,2147.10009765625,2187.0,2132.85009765625,2170.0,126019
2024-03-04,2086.92529296875,2150.35009765625,2191.0,2130.5,2191.0,123321
2024-03-05,2067.66064453125,2130.5,2158.60009765625,2103.199951171875,2150.35009765625,82718
2024-03-06,2011.274169921875,2072.39990234375,2134.75,2051.300048828125,2120.050048828125,240935
2024-03-07,1989.486328125,2049.949951171875,2080.550048828125,2026.8499755859375,2075.0,148157
2024-03-11,1950.132568359375,2009.4000244140625,2102.0,1991.5,2049.949951171875,263851
2024-03-12,1942.222900390625,2001.25,2037.8499755859375,1976.5,2011.949951171875,165708
2024-03-13,1869.483642578125,1926.300048828125,2015.199951171875,1898.0,2001.0,222306
2024-03-14,1910.97265625,1969.050048828125,1988.0,1913.0,1926.949951171875,125933
2024-03-15,1869.7261962890625,1926.550048828125,1983.0,1900.0,1970.9000244140625,207214
2024-03-18,1914.0782470703125,1972.25,1995.949951171875,1905.5999755859375,1905.5999755859375,231516
2024-03-19,1894.959228515625,1952.550048828125,2004.8499755859375,1932.050048828125,1976.0,204880
2024-03-20,1940.039306640625,1999.0,2019.75,1955.6500244140625,1955.6500244140625,134366
2024-03-21,1927.7138671875,1986.300048828125,2039.949951171875,1975.050048828125,1991.199951171875,142721
2024-03-22,1905.149658203125,1963.050048828125,1995.0,1939.0,1987.0,267395
2024-03-26,1864.8250732421875,1921.5,1987.0,1912.4000244140625,1977.0,133017
2024-03-27,1824.3551025390625,1879.800048828125,1957.1500244140625,1871.25,1925.0,250305
2024-03-28,1889.184814453125,1946.5999755859375,1962.3499755859375,1890.449951171875,1890.449951171875,120032
2024-04-01,1927.7138671875,1986.300048828125,1995.25,1927.25,1946.5999755859375,140795
2024-04-02,1912.5255126953125,1970.6500244140625,2023.0,1965.0999755859375,1994.5999755859375,102421
2024-04-03,1907.1876220703125,1965.1500244140625,1984.0,1952.550048828125,1969.0,89177
2024-04-04,1877.5872802734375,1934.6500244140625,1989.0,1931.0,1974.0999755859375,120785
2024-04-05,1880.886962890625,1938.050048828125,1951.949951171875,1917.300048828125,1946.5999755859375,79093
2024-04-08,1872.88037109375,1929.800048828125,1973.8499755859375,1923.199951171875,1942.0,124932
2024-04-09,1853.1790771484375,1909.5,1945.0,1903.0999755859375,1945.0,119852
2024-04-10,1840.5140380859375,1896.449951171875,1924.0,1891.25,1913.25,107232
2024-04-12,1825.907958984375,1881.4000244140625,1934.4000244140625,1872.0,1890.050048828125,173075
2024-04-15,1846.094482421875,1902.199951171875,1923.300048828125,1842.050048828125,1876.0999755859375,164654
2024-04-16,1842.7947998046875,1898.800048828125,1914.0,1877.75,1902.75,69364
2024-04-18,1832.4588623046875,1888.1500244140625,1922.949951171875,1872.25,1922.949951171875,89407
2024-04-19,1816.0086669921875,1871.199951171875,1878.199951171875,1854.0,1878.1500244140625,49219
2024-04-22,1892.533203125,1950.050048828125,1972.25,1872.0,1872.0,209647
2024-04-23,1889.3304443359375,1946.75,1964.0,1930.3499755859375,1950.0,135413
2024-04-24,2015.981201171875,2077.25,2087.0,1954.25,1956.5,278853
2024-04-25,2004.6749267578125,2065.60009765625,2118.0,2041.0,2078.0,190449
2024-04-26,2065.865234375,2128.64990234375,2148.0,2053.0,2073.89990234375,228118
2024-04-29,2050.531494140625,2112.85009765625,2165.39990234375,2099.0,2137.0,159138
2024-04-30,2025.2010498046875,2086.75,2142.0,2080.10009765625,2119.10009765625,65138
2024-05-02,2039.758544921875,2101.75,2124.0,2078.800048828125,2110.25,60837
2024-05-03,2033.5474853515625,2095.35009765625,2145.0,2078.10009765625,2122.0,101606
