date_,adj close_iex.ns,close_iex.ns,high_iex.ns,low_iex.ns,open_iex.ns,volume_iex.ns
2024-01-16,158.79747009277344,164.10000610351562,167.14999389648438,162.39999389648438,163.75,13973367
2024-01-17,142.49192810058594,147.25,159.25,145.39999389648438,155.1999969482422,69324261
2024-01-18,132.76666259765625,137.1999969482422,145.8000030517578,134.3000030517578,145.10000610351562,52733975
2024-01-19,135.52459716796875,140.0500030517578,141.89999389648438,138.1999969482422,138.25,23184366
2024-01-23,132.0408935546875,136.4499969482422,143.8000030517578,135.6999969482422,143.3000030517578,15901514
2024-01-24,132.3795928955078,136.8000030517578,139.39999389648438,134.60000610351562,137.9499969482422,15785141
2024-01-25,131.3151397705078,135.6999969482422,137.8000030517578,134.1999969482422,137.5,12951767
2024-01-29,135.91165161132812,140.4499969482422,141.6999969482422,137.3000030517578,138.5500030517578,17020958
2024-01-30,140.41140747070312,145.10000610351562,147.0,141.1999969482422,141.6999969482422,24150039
2024-01-31,142.8306427001953,147.60000610351562,148.1999969482422,144.85000610351562,146.0,13784111
2024-02-01,141.5726318359375,146.3000030517578,148.85000610351562,145.0,148.39999389648438,7936428
2024-02-02,142.3033905029297,146.0500030517578,148.1999969482422,145.5500030517578,147.0,7694451
2024-02-05,142.79055786132812,146.5500030517578,150.14999389648438,145.64999389648438,146.85000610351562,10164252
2024-02-06,148.928955078125,152.85000610351562,153.8000030517578,148.1999969482422,149.39999389648438,26776884
2024-02-07,141.3777618408203,145.10000610351562,154.39999389648438,143.14999389648438,154.39999389648438,43105050
2024-02-08,140.74444580078125,144.4499969482422,148.25,144.0500030517578,145.10000610351562,12819592
2024-02-09,140.06239318847656,143.75,145.89999389648438,140.0,145.4499969482422,11404781
2024-02-12,136.40858459472656,140.0,144.60000610351562,139.5,144.0500030517578,7949500
2024-02-13,140.79315185546875,144.5,145.10000610351562,138.14999389648438,140.0500030517578,10942718
2024-02-14,140.25726318359375,143.9499969482422,144.4499969482422,140.85000610351562,142.39999389648438,4561800
2024-02-15,140.89059448242188,144.60000610351562,146.14999389648438,143.8000030517578,144.5,5353137
2024-02-16,141.9136505126953,145.64999389648438,147.39999389648438,144.39999389648438,145.0,5812909
2024-02-19,142.01109313964844,145.75,146.85000610351562,145.35000610351562,145.9499969482422,4277667
2024-02-20,142.693115234375,146.4499969482422,147.5500030517578,145.0500030517578,145.10000610351562,6276461
2024-02-21,140.59828186035156,144.3000030517578,147.39999389648438,142.4499969482422,146.4499969482422,7038214
2024-02-22,141.13418579101562,144.85000610351562,145.64999389648438,143.10000610351562,144.3000030517578,3496690
2024-02-23,143.22900390625,147.0,148.1999969482422,145.10000610351562,145.10000610351562,7968482
2024-02-26,143.27774047851562,147.0500030517578,148.0,146.0,147.0,6168601
