date_,adj close_ltfoods.ns,close_ltfoods.ns,high_ltfoods.ns,low_ltfoods.ns,open_ltfoods.ns,volume_ltfoods.ns
2024-01-16,200.93186950683594,203.35000610351562,208.39999389648438,201.89999389648438,204.0,729567
2024-01-17,197.91815185546875,200.3000030517578,204.3000030517578,198.75,203.0,765823
2024-01-19,198.41217041015625,200.8000030517578,203.35000610351562,199.0,201.10000610351562,370834
2024-01-23,189.42039489746094,191.6999969482422,202.39999389648438,190.0,198.0500030517578,933303
2024-01-24,202.01876831054688,204.4499969482422,206.60000610351562,190.0,193.1999969482422,1560210
2024-01-25,193.76808166503906,196.10000610351562,210.60000610351562,195.0,210.0,3501285
2024-01-29,197.02882385253906,199.39999389648438,203.14999389648438,196.25,200.0,1287023
2024-01-30,194.2621307373047,196.60000610351562,201.1999969482422,195.0,201.0,911003
2024-01-31,194.65737915039062,197.0,201.1999969482422,195.5500030517578,198.4499969482422,947470
2024-02-01,196.83119201660156,199.1999969482422,201.0,197.35000610351562,198.0,853540
2024-02-02,193.27401733398438,195.60000610351562,200.9499969482422,194.85000610351562,199.4499969482422,861247
2024-02-05,181.4661102294922,183.64999389648438,198.35000610351562,176.89999389648438,198.35000610351562,1470930
2024-02-06,179.539306640625,181.6999969482422,188.39999389648438,177.5,187.0,1762024
2024-02-07,193.57044982910156,195.89999389648438,197.64999389648438,183.89999389648438,184.4499969482422,2259613
2024-02-08,191.59420776367188,193.89999389648438,197.25,191.75,197.0,870372
2024-02-09,187.0983428955078,189.35000610351562,194.89999389648438,185.5,194.6999969482422,578946
2024-02-12,179.24285888671875,181.39999389648438,190.89999389648438,180.5,189.35000610351562,716522
2024-02-13,177.31605529785156,179.4499969482422,183.5500030517578,175.35000610351562,182.4499969482422,773306
2024-02-14,180.3792266845703,182.5500030517578,183.5500030517578,177.0,177.9499969482422,552109
2024-02-15,178.94644165039062,181.10000610351562,184.8000030517578,180.3000030517578,182.60000610351562,820179
2024-02-16,187.1477508544922,189.39999389648438,190.8000030517578,182.0,182.60000610351562,1339100
2024-02-19,191.39659118652344,193.6999969482422,195.60000610351562,189.9499969482422,191.0,881185
2024-02-20,191.1495819091797,193.4499969482422,196.89999389648438,191.64999389648438,194.64999389648438,552995
2024-02-21,184.62808227539062,186.85000610351562,194.89999389648438,186.0,194.89999389648438,772449
2024-02-22,183.93637084960938,186.14999389648438,188.6999969482422,183.0,188.0,559186
2024-02-23,182.9482879638672,185.14999389648438,188.0500030517578,184.25,186.3000030517578,483670
2024-02-26,178.69943237304688,180.85000610351562,186.39999389648438,180.25,185.1999969482422,763182
2024-02-27,179.1934814453125,181.35000610351562,184.39999389648438,179.35000610351562,181.0,731064
2024-02-28,175.1422119140625,177.25,183.35000610351562,175.9499969482422,181.5,667328
2024-02-29,177.51368713378906,179.64999389648438,182.0,176.3000030517578,177.5,479053
2024-03-01,173.7588653564453,175.85000610351562,182.8000030517578,175.1999969482422,179.64999389648438,829045
2024-03-04,175.33984375,177.4499969482422,180.64999389648438,177.0,180.0,377019
2024-03-05,177.01963806152344,179.14999389648438,181.85000610351562,175.3000030517578,178.4499969482422,783048
2024-03-06,173.166015625,175.25,179.0,172.3000030517578,178.5,585969
2024-03-07,173.26483154296875,175.35000610351562,177.3000030517578,174.5,176.25,307269
2024-03-11,168.27487182617188,170.3000030517578,177.89999389648438,169.5500030517578,177.3000030517578,375024
2024-03-12,174.4999542236328,176.60000610351562,178.9499969482422,169.39999389648438,171.39999389648438,1668269
2024-03-13,160.6664276123047,162.60000610351562,177.5,160.75,177.5,1614041
2024-03-14,170.2510986328125,172.3000030517578,174.89999389648438,160.14999389648438,161.89999389648438,1240792
2024-03-15,167.4349822998047,169.4499969482422,175.39999389648438,167.10000610351562,172.0500030517578,1018267
2024-03-18,168.32427978515625,170.35000610351562,173.85000610351562,169.14999389648438,169.89999389648438,552689
2024-03-19,160.8146514892578,162.75,169.89999389648438,160.0,169.89999389648438,4913029
2024-03-20,177.6125030517578,179.75,181.8000030517578,170.25,177.5,14550840
2024-03-21,187.69119262695312,189.9499969482422,191.64999389648438,178.0,181.5,5974441
2024-03-22,192.08828735351562,194.39999389648438,196.6999969482422,186.0,189.5500030517578,3876764
2024-03-26,186.90072631835938,189.14999389648438,195.89999389648438,187.4499969482422,195.89999389648438,1603160
2024-03-27,185.17152404785156,187.39999389648438,190.5,184.4499969482422,190.0,1343748
2024-03-28,185.41856384277344,187.64999389648438,192.3000030517578,182.5500030517578,188.5,1507557
2024-04-01,197.6217041015625,200.0,201.6999969482422,188.25,189.5,3102196
2024-04-02,198.2145538330078,200.60000610351562,203.10000610351562,198.60000610351562,201.5500030517578,1540243
2024-04-03,203.8961944580078,206.35000610351562,207.35000610351562,198.64999389648438,199.39999389648438,1646747
2024-04-04,205.62538146972656,208.10000610351562,208.64999389648438,205.9499969482422,207.35000610351562,1090629
2024-04-05,203.69854736328125,206.14999389648438,208.1999969482422,204.75,206.5500030517578,774066
2024-04-08,207.40396118164062,209.89999389648438,210.89999389648438,205.3000030517578,207.0,1087666
2024-04-09,210.96115112304688,213.5,214.75,207.60000610351562,211.5500030517578,1624812
2024-04-10,213.4808349609375,216.0500030517578,217.5,211.10000610351562,214.0,1169269
2024-04-12,204.48902893066406,206.9499969482422,215.5,205.3000030517578,215.5,1435086
2024-04-15,199.69674682617188,202.10000610351562,204.8000030517578,186.10000610351562,203.0500030517578,2245350
2024-04-16,200.6354217529297,203.0500030517578,205.6999969482422,199.5500030517578,200.85000610351562,771550
2024-04-18,201.67294311523438,204.10000610351562,206.10000610351562,202.5500030517578,203.35000610351562,718256
2024-04-19,200.58602905273438,203.0,204.10000610351562,197.5500030517578,200.0,1462204
2024-04-22,207.1075439453125,209.60000610351562,210.9499969482422,204.6999969482422,204.6999969482422,1176500
2024-04-23,212.64093017578125,215.1999969482422,221.10000610351562,209.25,210.4499969482422,2426456
2024-04-24,213.08558654785156,215.64999389648438,218.0,214.39999389648438,216.14999389648438,901862
2024-04-25,210.9117431640625,213.4499969482422,216.0,211.85000610351562,215.64999389648438,584277
2024-04-26,211.9492645263672,214.5,215.0,211.85000610351562,213.4499969482422,522389
2024-04-29,211.9492645263672,214.5,216.1999969482422,213.1999969482422,214.1999969482422,439358
2024-04-30,213.18438720703125,215.75,219.5500030517578,214.0,215.60000610351562,970662
2024-05-02,213.82667541503906,216.39999389648438,216.9499969482422,212.35000610351562,216.89999389648438,668429
2024-05-03,221.13865661621094,223.8000030517578,226.5,217.0500030517578,219.0,2087691
2024-05-06,219.55770874023438,222.1999969482422,226.4499969482422,213.5,225.85000610351562,983449
2024-05-07,211.5045928955078,214.0500030517578,223.0,210.60000610351562,222.5500030517578,718017
2024-05-08,216.88978576660156,219.5,221.60000610351562,211.6999969482422,213.89999389648438,902821
2024-05-09,212.73976135253906,215.3000030517578,220.0,213.39999389648438,218.3000030517578,788535
2024-05-10,211.9492645263672,214.5,216.89999389648438,208.60000610351562,216.89999389648438,497448
2024-05-13,209.82484436035156,212.35000610351562,216.0,207.3000030517578,215.1999969482422,513845
2024-05-14,219.65652465820312,222.3000030517578,223.8000030517578,212.0,212.0,1238913
2024-05-15,218.37197875976562,221.0,223.35000610351562,219.39999389648438,223.0500030517578,542868
2024-05-16,225.88160705566406,228.60000610351562,233.5,223.0500030517578,223.0500030517578,2143954
2024-05-17,224.20179748535156,226.89999389648438,233.89999389648438,224.1999969482422,229.1999969482422,2308982
2024-05-21,210.02243041992188,212.5500030517578,224.9499969482422,211.5,224.85000610351562,1698932
2024-05-22,210.41769409179688,212.9499969482422,215.8000030517578,206.1999969482422,212.5500030517578,1375049
2024-05-23,208.58969116210938,211.10000610351562,213.75,209.5500030517578,212.25,462557
2024-05-24,202.75985717773438,205.1999969482422,211.0,203.5500030517578,211.0,1000932
2024-05-27,204.19261169433594,206.64999389648438,208.5,202.8000030517578,208.1999969482422,670706
2024-05-28,205.08192443847656,207.5500030517578,209.39999389648438,205.0,206.5500030517578,439218
2024-05-29,206.07000732421875,208.5500030517578,210.3000030517578,206.5,209.64999389648438,637062
2024-05-30,199.63185119628906,201.5500030517578,208.0500030517578,198.89999389648438,207.85000610351562,1107383
2024-05-31,203.49476623535156,205.4499969482422,209.35000610351562,201.5500030517578,202.0500030517578,1365248
2024-06-03,207.7538299560547,209.75,216.4499969482422,208.14999389648438,214.6999969482422,1227323
2024-06-04,198.04708862304688,199.9499969482422,212.0,186.3000030517578,208.5,1675739
2024-06-05,210.8243408203125,212.85000610351562,214.5,197.85000610351562,202.0,1640962
2024-06-06,217.4605712890625,219.5500030517578,221.85000610351562,213.0,214.5500030517578,1183304
2024-06-07,242.32168579101562,244.64999389648438,247.89999389648438,220.0,220.0500030517578,6776254
2024-06-10,246.20440673828125,248.57000732421875,260.7900085449219,246.16000366210938,247.10000610351562,2992684
2024-06-11,244.88705444335938,247.24000549316406,251.85000610351562,243.00999450683594,248.5500030517578,1596249
2024-06-12,244.05502319335938,246.39999389648438,254.0,245.6999969482422,249.0,1032516
2024-06-13,254.45510864257812,256.8999938964844,259.0,241.9499969482422,246.75,1960493
2024-06-14,261.4281311035156,263.94000244140625,266.989990234375,254.58999633789062,258.510009765625,2372594
2024-06-18,257.27801513671875,259.75,267.95001220703125,254.50999450683594,264.95001220703125,1211743
2024-06-19,257.7831115722656,260.260009765625,262.1400146484375,252.27000427246094,261.0,911327
2024-06-20,267.15313720703125,269.7200012207031,271.3999938964844,259.5400085449219,260.2799987792969,1144384
