date_,adj close_happstmnds.ns,close_happstmnds.ns,high_happstmnds.ns,low_happstmnds.ns,open_happstmnds.ns,volume_happstmnds.ns
2024-01-16,918.2286987304688,934.9000244140625,950.5999755859375,922.1500244140625,947.0,630576
2024-01-17,909.1927490234375,925.7000122070312,948.7000122070312,921.0,929.9500122070312,710873
2024-01-18,868.1871948242188,883.9500122070312,920.0,872.0499877929688,917.0,1428402
2024-01-19,873.7365112304688,889.5999755859375,906.25,886.2000122070312,897.0,429031
2024-01-23,841.0302734375,856.2999877929688,890.7999877929688,851.5,885.0,606846
2024-01-24,852.276123046875,867.75,879.9500122070312,851.5999755859375,856.75,367748
2024-01-25,851.0975341796875,866.5499877929688,880.4500122070312,862.7999877929688,870.0,274434
2024-01-29,840.9320678710938,856.2000122070312,871.0,855.0,867.0,288567
2024-01-30,842.1107177734375,857.4000244140625,870.0,855.75,861.3499755859375,193613
2024-01-31,860.4281005859375,876.0499877929688,879.9000244140625,855.7999877929688,856.9000244140625,403889
2024-02-01,848.7894287109375,864.2000122070312,879.7000122070312,862.0999755859375,879.0,154158
2024-02-02,858.3164672851562,873.9000244140625,895.5,866.1500244140625,866.1500244140625,560838
2024-02-05,840.5391845703125,855.7999877929688,875.0,853.0499877929688,873.9000244140625,305996
2024-02-06,853.6021118164062,869.0999755859375,880.0,857.0,858.0,373335
2024-02-07,846.9232788085938,862.2999877929688,878.25,860.0,872.7000122070312,208599
2024-02-08,837.5927734375,852.7999877929688,866.0499877929688,851.0,864.8499755859375,265448
2024-02-09,826.9361572265625,841.9500122070312,858.5999755859375,838.0,853.0,284473
2024-02-12,815.0519409179688,829.8499755859375,845.2000122070312,826.2000122070312,841.9500122070312,282409
2024-02-13,820.6994018554688,835.5999755859375,838.7999877929688,814.4000244140625,830.0,224751
2024-02-14,812.5965576171875,827.3499755859375,833.0,822.2999877929688,830.0,220493
2024-02-15,821.4851684570312,836.4000244140625,852.75,828.6500244140625,829.0,405956
2024-02-16,821.5833740234375,836.5,849.0,833.0,842.9500122070312,311636
2024-02-19,823.449462890625,838.4000244140625,846.0,834.0,844.0,221042
2024-02-20,819.2261962890625,834.0999755859375,843.7999877929688,833.0,839.9500122070312,215217
2024-02-21,811.2706909179688,826.0,837.0,825.0,834.0999755859375,246730
2024-02-22,807.8330688476562,822.5,834.9000244140625,818.0,830.0,284795
2024-02-23,833.5167236328125,848.6500244140625,858.4000244140625,830.1500244140625,832.2000122070312,833280
2024-02-26,819.8645629882812,834.75,856.5999755859375,833.0499877929688,856.4500122070312,325945
2024-02-27,857.0888061523438,872.6500244140625,888.9000244140625,828.0,836.0,2803915
2024-02-28,833.9095458984375,849.0499877929688,879.7999877929688,840.25,879.7000122070312,709395
2024-02-29,831.8471069335938,846.9500122070312,856.75,815.9000244140625,849.0,380542
2024-03-01,833.123779296875,848.25,863.5999755859375,847.0,855.0999755859375,258786
2024-03-04,824.9227905273438,839.9000244140625,859.9500122070312,836.8499755859375,856.0,202056
2024-03-05,813.1367797851562,827.9000244140625,841.9500122070312,825.0,841.9500122070312,265201
2024-03-06,809.8464965820312,824.5499877929688,836.9500122070312,816.0,829.4500122070312,289093
2024-03-07,816.5743408203125,831.4000244140625,834.0,825.0,825.0,193083
2024-03-11,808.6187744140625,823.2999877929688,835.0,821.0,835.0,229515
2024-03-12,791.5291137695312,805.9000244140625,833.1500244140625,804.5,824.0,444042
2024-03-13,771.1491088867188,785.1500244140625,821.9500122070312,780.25,807.4500122070312,529763
2024-03-14,787.55126953125,801.8499755859375,809.0,778.4000244140625,785.1500244140625,321290
2024-03-15,778.4661254882812,792.5999755859375,816.0,785.0,801.8499755859375,299912
2024-03-18,773.1134033203125,787.1500244140625,804.0,785.0999755859375,798.0,209874
2024-03-19,769.7249145507812,783.7000122070312,794.4500122070312,782.0,790.9000244140625,271583
2024-03-20,761.7693481445312,775.5999755859375,789.9000244140625,775.0,789.9000244140625,248219
2024-03-21,765.7471313476562,779.6500244140625,793.8499755859375,775.0499877929688,785.0,281929
2024-03-22,763.7337036132812,777.5999755859375,785.0,775.5,776.9500122070312,338290
2024-03-26,751.8985595703125,765.5499877929688,788.8499755859375,762.5,777.0,616481
2024-03-27,738.5902709960938,752.0,772.4500122070312,750.0,767.8499755859375,760030
2024-03-28,731.1258544921875,744.4000244140625,763.75,741.0,755.9000244140625,777795
2024-04-01,782.2966918945312,796.5,805.2999877929688,749.4000244140625,750.9000244140625,692995
2024-04-02,792.4130249023438,806.7999877929688,813.3499755859375,788.4500122070312,798.0999755859375,381365
2024-04-03,803.855224609375,818.4500122070312,831.0,798.2999877929688,800.0,542368
2024-04-04,807.096435546875,821.75,830.0,816.3499755859375,830.0,205382
2024-04-05,809.6500244140625,824.3499755859375,829.5999755859375,816.2999877929688,821.0499877929688,258967
2024-04-08,802.08740234375,816.6500244140625,835.0,813.5499877929688,835.0,198701
2024-04-09,806.9490966796875,821.5999755859375,839.0,815.0,817.0,241748
2024-04-10,804.2481079101562,818.8499755859375,823.5,816.2999877929688,819.9000244140625,131269
2024-04-12,807.2928466796875,821.9500122070312,829.9500122070312,815.7999877929688,817.1500244140625,367199
2024-04-15,786.7655639648438,801.0499877929688,814.7000122070312,789.2000122070312,800.9500122070312,382667
2024-04-16,798.551513671875,813.0499877929688,843.9000244140625,794.3499755859375,795.0,937842
2024-04-18,794.4755859375,808.9000244140625,826.9500122070312,806.0,816.5999755859375,222338
2024-04-19,797.864013671875,812.3499755859375,822.0999755859375,795.0,800.0,302830
2024-04-22,794.91748046875,809.3499755859375,825.0,805.6500244140625,825.0,217917
2024-04-23,796.6854248046875,811.1500244140625,817.0999755859375,805.9000244140625,814.8499755859375,205061
2024-04-24,804.444580078125,819.0499877929688,822.2000122070312,812.2000122070312,820.2000122070312,209495
2024-04-25,805.2302856445312,819.8499755859375,838.6500244140625,818.0,827.0,513798
2024-04-26,802.8731079101562,817.4500122070312,827.7000122070312,812.0499877929688,827.0,301864
2024-04-29,799.779296875,814.2999877929688,826.4500122070312,810.6500244140625,825.0,188560
2024-04-30,799.9757080078125,814.5,829.2999877929688,809.9000244140625,814.4000244140625,275874
2024-05-02,796.6854248046875,811.1500244140625,820.9000244140625,810.0,819.0,179934
2024-05-03,793.2478637695312,807.6500244140625,817.0,805.2000122070312,811.1500244140625,192316
2024-05-06,791.3326416015625,805.7000122070312,815.0,800.0,812.0,192654
2024-05-07,807.2928466796875,821.9500122070312,842.0,801.0,814.8499755859375,2012467
2024-05-08,807.3909912109375,822.0499877929688,837.5,819.0,828.0499877929688,733893
2024-05-09,795.8014526367188,810.25,830.25,806.3499755859375,830.25,356222
2024-05-10,793.493408203125,807.9000244140625,813.9000244140625,803.0,813.9000244140625,147880
2024-05-13,808.3240356445312,823.0,824.5499877929688,792.0,810.0,306460
2024-05-14,799.7301635742188,814.25,826.7999877929688,811.0999755859375,826.0,148519
2024-05-15,795.3594970703125,809.7999877929688,822.4000244140625,808.0,815.0499877929688,153268
2024-05-16,800.6141357421875,815.1500244140625,820.5499877929688,809.6500244140625,815.9500122070312,270811
2024-05-17,804.8865356445312,819.5,824.9000244140625,813.0499877929688,819.0,229521
2024-05-21,796.0469970703125,810.5,816.0999755859375,809.0499877929688,814.75,194512
2024-05-22,802.3820190429688,816.9500122070312,820.4500122070312,805.0,814.0,239168
2024-05-23,800.9578857421875,815.5,823.7999877929688,814.0,817.0,207750
2024-05-24,794.770263671875,809.2000122070312,820.0,808.0,819.9500122070312,230371
2024-05-27,788.3370361328125,802.6500244140625,813.9500122070312,800.0,812.0999755859375,287300
2024-05-28,787.7476806640625,802.0499877929688,810.0,800.0,803.25,253236
2024-05-29,787.944091796875,802.25,808.2000122070312,801.0,804.0,124722
2024-05-30,776.4527587890625,790.5499877929688,804.25,789.2999877929688,802.4000244140625,223903
2024-05-31,774.4393310546875,788.5,797.0,786.0999755859375,790.5999755859375,198344
2024-06-03,770.9526977539062,784.9500122070312,813.0,782.0,812.9500122070312,319148
2024-06-04,751.5057373046875,765.1500244140625,787.9000244140625,761.2999877929688,786.0,606961
2024-06-05,773.5553588867188,787.5999755859375,793.0,761.2999877929688,775.1500244140625,420125
2024-06-06,805.9178466796875,820.5499877929688,826.7000122070312,794.0,799.0,806692
2024-06-07,826.5432739257812,841.5499877929688,866.0,820.5499877929688,821.0,1651362
2024-06-10,892.2013549804688,908.4000244140625,917.9500122070312,846.5,848.3499755859375,4101921
2024-06-11,877.4688110351562,893.4000244140625,915.0,885.0,913.0,1068618
2024-06-12,874.2767333984375,890.1500244140625,927.4500122070312,883.25,900.0,1229930
2024-06-13,878.5000610351562,894.4500122070312,910.0,890.9500122070312,899.7999877929688,584325
2024-06-14,869.4310913085938,882.0,898.75,880.0,895.2000122070312,475204
2024-06-18,871.5997314453125,884.2000122070312,892.75,877.5499877929688,882.0,431080
2024-06-19,875.0006103515625,887.6500244140625,901.0,873.25,890.7000122070312,522689
2024-06-20,869.6775512695312,882.25,892.4000244140625,880.0,889.0,296603
2024-06-21,893.2369995117188,906.1500244140625,956.0,896.0,896.0,5237816
2024-06-24,904.27734375,917.3499755859375,930.0,898.0,910.0,750029
2024-06-25,818.7142944335938,830.5499877929688,852.9000244140625,828.0,846.2000122070312,21164981
2024-06-26,816.496337890625,828.2999877929688,839.9000244140625,823.7000122070312,834.0,2234481
2024-06-27,804.2730712890625,815.9000244140625,832.2999877929688,811.6500244140625,828.2999877929688,1249555
2024-06-28,805.653076171875,817.2999877929688,825.7000122070312,815.5499877929688,819.0,794204
2024-07-01,821.474365234375,833.3499755859375,837.25,818.3499755859375,820.0,1364387
