date_,adj close_caplipoint.ns,close_caplipoint.ns,high_caplipoint.ns,low_caplipoint.ns,open_caplipoint.ns,volume_caplipoint.ns
2024-01-16,1466.5869140625,1475.3499755859375,1479.949951171875,1453.3499755859375,1465.4000244140625,93164
2024-01-17,1471.2093505859375,1480.0,1493.0,1436.0,1475.0,129597
2024-01-18,1441.9840087890625,1450.5999755859375,1508.8499755859375,1425.25,1479.0,134992
2024-01-19,1468.426025390625,1477.199951171875,1498.4000244140625,1450.0999755859375,1459.949951171875,90803
2024-01-23,1495.166259765625,1504.0999755859375,1519.949951171875,1433.050048828125,1452.0,131227
2024-01-24,1471.0107421875,1479.800048828125,1550.0,1474.3499755859375,1519.0,127749
2024-01-25,1437.908447265625,1446.5,1494.9000244140625,1440.0,1494.9000244140625,75613
2024-01-29,1411.9136962890625,1420.3499755859375,1467.0,1412.5999755859375,1459.0,114093
2024-01-30,1439.8465576171875,1448.449951171875,1461.0,1390.0,1419.8499755859375,156757
2024-01-31,1439.7474365234375,1448.3499755859375,1456.0,1436.0999755859375,1455.0,107567
2024-02-01,1392.032470703125,1400.3499755859375,1452.949951171875,1396.050048828125,1449.0,190701
2024-02-02,1392.7283935546875,1401.050048828125,1441.0,1390.0,1404.949951171875,62562
2024-02-05,1394.1697998046875,1402.5,1420.0,1391.199951171875,1401.0,151214
2024-02-06,1403.0665283203125,1411.449951171875,1463.0,1401.050048828125,1407.800048828125,175075
2024-02-07,1391.783935546875,1400.0999755859375,1425.050048828125,1393.75,1422.0,142528
2024-02-08,1431.34765625,1439.9000244140625,1448.800048828125,1389.8499755859375,1420.0,95232
2024-02-09,1420.3135986328125,1428.800048828125,1473.050048828125,1396.25,1445.0,206153
2024-02-12,1472.5513916015625,1481.3499755859375,1547.800048828125,1411.1500244140625,1429.0,354956
2024-02-13,1518.079345703125,1527.1500244140625,1531.0,1440.9000244140625,1480.0,169995
2024-02-14,1508.6854248046875,1517.699951171875,1538.3499755859375,1485.1500244140625,1524.800048828125,133568
2024-02-15,1534.382080078125,1543.550048828125,1557.949951171875,1514.699951171875,1529.449951171875,120983
2024-02-16,1563.0108642578125,1572.3499755859375,1588.800048828125,1535.0,1543.0,86407
2024-02-19,1588.2103271484375,1597.699951171875,1619.050048828125,1547.050048828125,1584.449951171875,122943
2024-02-20,1552.7222900390625,1562.0,1603.949951171875,1555.6500244140625,1599.5999755859375,44484
2024-02-21,1536.2706298828125,1545.449951171875,1572.5,1527.0,1572.5,102635
2024-02-22,1512.4630126953125,1521.5,1555.0,1515.0,1555.0,54531
2024-02-23,1490.3450927734375,1499.25,1530.0,1490.0,1529.1500244140625,93032
2024-02-26,1464.49951171875,1473.25,1501.9000244140625,1454.199951171875,1499.25,79895
2024-02-27,1424.985595703125,1433.5,1483.3499755859375,1427.0,1473.5999755859375,106884
2024-02-28,1443.574462890625,1452.199951171875,1494.9000244140625,1433.5,1446.0999755859375,95325
2024-02-29,1474.191650390625,1483.0,1496.699951171875,1418.6500244140625,1455.0,112553
2024-03-01,1517.97998046875,1527.050048828125,1533.5999755859375,1497.8499755859375,1500.199951171875,67274
2024-03-04,1482.8399658203125,1491.699951171875,1540.0,1485.0,1540.0,44596
2024-03-05,1421.6058349609375,1430.0999755859375,1499.199951171875,1425.0,1499.199951171875,99546
2024-03-06,1364.74560546875,1372.9000244140625,1441.9000244140625,1351.0,1435.0,194348
2024-03-07,1361.1171875,1369.25,1412.0,1352.0,1372.9000244140625,114486
2024-03-11,1335.072998046875,1343.050048828125,1409.699951171875,1335.550048828125,1360.0,238455
2024-03-12,1304.4556884765625,1312.25,1366.75,1295.050048828125,1343.050048828125,228011
2024-03-13,1264.1466064453125,1271.699951171875,1303.949951171875,1250.050048828125,1300.050048828125,291726
2024-03-14,1272.447021484375,1280.050048828125,1300.0,1243.25,1267.0,98025
2024-03-15,1276.969970703125,1284.5999755859375,1305.0,1270.0,1280.0,51017
2024-03-18,1276.82080078125,1284.449951171875,1298.5999755859375,1272.0,1275.0,56523
2024-03-19,1268.470947265625,1276.050048828125,1297.699951171875,1266.300048828125,1284.449951171875,40100
2024-03-20,1257.1385498046875,1264.6500244140625,1296.949951171875,1251.5,1282.449951171875,69921
