date_,adj close_bhartiartl.ns,close_bhartiartl.ns,high_bhartiartl.ns,low_bhartiartl.ns,open_bhartiartl.ns,volume_bhartiartl.ns
2024-01-16,1080.791259765625,1095.9000244140625,1117.0,1093.0,1107.0,5025540
2024-01-17,1070.2882080078125,1085.25,1108.949951171875,1078.800048828125,1092.0,4568700
2024-01-18,1072.0633544921875,1087.050048828125,1096.0,1075.199951171875,1075.199951171875,4407330
2024-01-19,1109.4901123046875,1125.0,1136.3499755859375,1089.800048828125,1091.0,11753391
2024-01-23,1142.03515625,1158.0,1172.550048828125,1135.0,1145.0,18194595
2024-01-24,1173.544677734375,1189.949951171875,1194.0,1140.0999755859375,1140.0999755859375,9546592
2024-01-25,1144.550048828125,1160.550048828125,1200.6500244140625,1157.050048828125,1186.0,11424697
2024-01-29,1146.1279296875,1162.1500244140625,1169.75,1158.0,1158.0,4015858
2024-01-30,1142.67626953125,1158.6500244140625,1180.8499755859375,1154.550048828125,1162.1500244140625,3902023
2024-01-31,1154.56005859375,1170.699951171875,1175.050048828125,1146.199951171875,1159.0,5981966
2024-02-01,1135.328857421875,1151.199951171875,1170.199951171875,1148.949951171875,1165.050048828125,3606209
2024-02-02,1134.9344482421875,1150.800048828125,1175.199951171875,1145.300048828125,1155.0,4969983
2024-02-05,1098.1981201171875,1113.550048828125,1159.6500244140625,1110.0,1154.3499755859375,7809331
2024-02-06,1118.4154052734375,1134.050048828125,1156.0999755859375,1123.0,1125.0,9863065
2024-02-07,1118.661865234375,1134.300048828125,1148.25,1131.800048828125,1138.800048828125,2770694
2024-02-08,1126.4036865234375,1142.1500244140625,1146.5,1116.199951171875,1144.4000244140625,6519392
2024-02-09,1104.8056640625,1120.25,1145.949951171875,1116.25,1145.949951171875,4203171
2024-02-12,1103.2769775390625,1118.699951171875,1129.0,1111.300048828125,1122.9000244140625,3887976
2024-02-13,1102.438720703125,1117.8499755859375,1125.0,1103.800048828125,1111.0,3211554
2024-02-14,1100.4661865234375,1115.8499755859375,1121.1500244140625,1104.699951171875,1110.0,4653070
2024-02-15,1105.2493896484375,1120.699951171875,1131.449951171875,1109.4000244140625,1122.300048828125,5056712
2024-02-16,1104.55908203125,1120.0,1127.050048828125,1116.8499755859375,1124.0,3091952
2024-02-19,1126.4530029296875,1142.199951171875,1145.0,1118.3499755859375,1121.050048828125,4711035
2024-02-20,1128.1788330078125,1143.949951171875,1151.5999755859375,1135.0,1145.0,5397418
2024-02-21,1124.1846923828125,1139.9000244140625,1159.1500244140625,1132.5999755859375,1155.0,4570259
2024-02-22,1119.8946533203125,1135.550048828125,1138.75,1097.6500244140625,1137.5999755859375,8642368
2024-02-23,1110.229736328125,1125.75,1131.8499755859375,1115.300048828125,1127.0,6709844
2024-02-26,1094.7462158203125,1110.050048828125,1125.9000244140625,1104.3499755859375,1118.0999755859375,3186134
2024-02-27,1111.9556884765625,1127.5,1131.0,1101.300048828125,1113.0,7149094
2024-02-28,1113.1883544921875,1128.75,1152.6500244140625,1123.5,1133.4000244140625,5302711
2024-02-29,1107.86279296875,1123.3499755859375,1137.949951171875,1099.0,1118.8499755859375,13818650
2024-03-01,1113.13916015625,1128.699951171875,1140.75,1117.4000244140625,1128.0,5927490
2024-03-04,1117.8729248046875,1133.5,1149.25,1132.0,1132.0,5855090
2024-03-05,1152.784912109375,1168.9000244140625,1179.75,1133.050048828125,1133.050048828125,5375008
2024-03-06,1177.242919921875,1193.699951171875,1196.5999755859375,1157.3499755859375,1173.949951171875,5464839
2024-03-07,1183.1602783203125,1199.699951171875,1213.5999755859375,1189.449951171875,1209.8499755859375,8903981
2024-03-11,1180.1029052734375,1196.5999755859375,1218.300048828125,1186.0,1186.0,6679208
2024-03-12,1187.6475830078125,1204.25,1208.0,1197.800048828125,1200.0,4249548
2024-03-13,1152.636962890625,1168.75,1212.0,1151.699951171875,1212.0,7528096
2024-03-14,1178.1304931640625,1194.5999755859375,1199.699951171875,1163.550048828125,1173.949951171875,8569080
2024-03-15,1203.180419921875,1220.0,1222.800048828125,1187.8499755859375,1190.0,10115416
2024-03-18,1208.4073486328125,1225.300048828125,1230.550048828125,1215.199951171875,1225.0,4141080
