date_,adj close_nationalum.ns,close_nationalum.ns,high_nationalum.ns,low_nationalum.ns,open_nationalum.ns,volume_nationalum.ns
2024-01-16,127.25514221191406,138.89999389648438,144.0,136.10000610351562,139.35000610351562,95230075
2024-01-17,122.39949798583984,133.60000610351562,137.75,133.0,136.75,35627473
2024-01-18,120.24649047851562,131.25,133.4499969482422,125.4000015258789,133.0,28294930
2024-01-19,122.4452896118164,133.64999389648438,136.64999389648438,132.1999969482422,132.8000030517578,22244546
2024-01-23,116.12376403808594,126.75,137.6999969482422,121.8499984741211,136.5,26838107
2024-01-24,124.23180389404297,135.60000610351562,137.8000030517578,127.19999694824219,128.0,37870264
2024-01-25,129.27073669433594,141.10000610351562,142.39999389648438,133.6999969482422,136.5,74915630
2024-01-29,133.16441345214844,145.35000610351562,148.39999389648438,141.5,144.89999389648438,53160333
2024-01-30,133.39344787597656,145.60000610351562,149.25,144.5,146.8000030517578,33529564
2024-01-31,136.37098693847656,148.85000610351562,150.0,146.25,146.89999389648438,31011594
2024-02-01,134.7218780517578,147.0500030517578,151.35000610351562,146.0,150.5,29473167
2024-02-02,140.1730499267578,153.0,157.0,146.64999389648438,148.5,54463864
2024-02-05,142.6925048828125,155.75,161.10000610351562,152.35000610351562,153.89999389648438,59800188
2024-02-06,149.10565185546875,162.75,163.8000030517578,154.14999389648438,156.6999969482422,46564944
2024-02-07,147.63978576660156,161.14999389648438,165.5500030517578,158.35000610351562,165.0,27684612
2024-02-08,147.41073608398438,160.89999389648438,164.39999389648438,157.60000610351562,162.5500030517578,20015275
2024-02-09,144.29580688476562,157.5,161.5,147.0500030517578,160.85000610351562,40678846
2024-02-12,131.19467163085938,143.1999969482422,160.85000610351562,141.75,158.0,48639405
2024-02-13,130.0494384765625,141.9499969482422,144.5,137.35000610351562,142.14999389648438,31538855
2024-02-14,142.82992553710938,155.89999389648438,159.89999389648438,144.3000030517578,146.0,99788791
2024-02-15,144.06675720214844,157.25,160.35000610351562,153.3000030517578,159.0,40649183
2024-02-16,149.10565185546875,162.75,169.3000030517578,158.10000610351562,158.75,83551233
2024-02-19,147.13589477539062,160.60000610351562,165.1999969482422,159.60000610351562,164.0,24682133
2024-02-20,146.8152313232422,160.25,164.0,159.35000610351562,162.0,15672506
2024-02-21,144.112548828125,157.3000030517578,165.1999969482422,155.85000610351562,161.5,27206179
2024-02-22,148.0520782470703,161.60000610351562,162.25,152.75,158.6999969482422,23247393
2024-02-23,147.49549865722656,159.0,162.89999389648438,158.39999389648438,162.3000030517578,16443079
2024-02-26,145.54742431640625,156.89999389648438,162.1999969482422,154.8000030517578,159.64999389648438,24275011
2024-02-27,144.1559600830078,155.39999389648438,158.6999969482422,154.39999389648438,156.75,15315735
2024-02-28,141.23388671875,152.25,158.4499969482422,151.4499969482422,156.0,18501552
2024-02-29,144.66616821289062,155.9499969482422,157.0,151.35000610351562,152.60000610351562,19254314
2024-03-01,149.16525268554688,160.8000030517578,161.8000030517578,157.5,157.5,24049226
2024-03-04,154.6847381591797,166.75,170.4499969482422,162.25,166.5,36939883
2024-03-05,154.1281280517578,166.14999389648438,168.8000030517578,165.0500030517578,166.9499969482422,17623544
2024-03-06,151.20606994628906,163.0,166.0,157.8000030517578,166.0,23336023
2024-03-07,151.39158630371094,163.1999969482422,165.89999389648438,162.5500030517578,163.5,17224908
2024-03-11,146.89251708984375,158.35000610351562,164.10000610351562,157.10000610351562,163.5,11017989
2024-03-12,140.67727661132812,151.64999389648438,159.0,151.0500030517578,157.89999389648438,17361368
2024-03-13,126.29881286621094,136.14999389648438,153.0,130.25,152.0,40456369
2024-03-14,131.21533203125,141.4499969482422,143.5,135.5,137.0,24429717
2024-03-15,126.53070068359375,136.39999389648438,143.6999969482422,131.4499969482422,141.3000030517578,41641387
2024-03-18,129.0353546142578,139.10000610351562,141.1999969482422,135.3000030517578,137.5,22776146
2024-03-19,127.1800765991211,137.10000610351562,142.35000610351562,136.10000610351562,139.5500030517578,18002661
2024-03-20,127.82942199707031,137.8000030517578,142.14999389648438,135.0500030517578,138.5,30393722
2024-03-21,135.20419311523438,145.75,147.25,140.39999389648438,140.39999389648438,36768461
