date_,adj close_pfc.ns,close_pfc.ns,high_pfc.ns,low_pfc.ns,open_pfc.ns,volume_pfc.ns
2024-01-16,371.0400695800781,400.45001220703125,413.95001220703125,394.70001220703125,409.79998779296875,11079183
2024-01-17,363.72021484375,392.54998779296875,402.45001220703125,390.0,395.0,8845319
2024-01-18,363.85931396484375,392.70001220703125,396.5,379.20001220703125,393.04998779296875,11680203
2024-01-19,382.06610107421875,412.3500061035156,413.6000061035156,396.1499938964844,397.0,16111152
2024-01-23,366.4999694824219,395.54998779296875,430.29998779296875,382.5,430.0,28172910
2024-01-24,390.7757568359375,421.75,422.95001220703125,390.04998779296875,399.0,26232960
2024-01-25,388.227783203125,419.0,425.6499938964844,414.1499938964844,424.95001220703125,12426317
2024-01-29,413.93975830078125,446.75,448.45001220703125,421.6000061035156,422.95001220703125,38320305
2024-01-30,412.2255859375,444.8999938964844,453.70001220703125,440.75,450.0,18743455
2024-01-31,410.69677734375,443.25,445.29998779296875,437.1000061035156,442.29998779296875,12612238
2024-02-01,413.0131530761719,445.75,449.5,439.45001220703125,447.0,12778899
2024-02-02,417.6922912597656,450.79998779296875,461.5,448.1000061035156,448.1000061035156,13316207
2024-02-05,424.5024719238281,458.1499938964844,464.5,447.79998779296875,454.79998779296875,15932526
2024-02-06,420.65728759765625,454.0,461.29998779296875,445.1000061035156,461.29998779296875,9403608
2024-02-07,434.5556640625,469.0,469.8999938964844,451.0,451.0,11983832
2024-02-08,434.1387023925781,468.54998779296875,477.79998779296875,464.1499938964844,470.95001220703125,14788511
2024-02-09,397.3544006347656,428.8500061035156,463.0,406.75,463.0,56589108
2024-02-12,392.9995422363281,424.1499938964844,435.25,412.95001220703125,429.0,30349202
2024-02-13,389.6175842285156,420.5,426.70001220703125,414.6000061035156,419.8999938964844,14073386
2024-02-14,402.68206787109375,434.6000061035156,437.95001220703125,411.04998779296875,416.0,11114379
2024-02-15,403.4696960449219,435.45001220703125,438.3999938964844,430.04998779296875,437.04998779296875,6467934
2024-02-16,401.8481750488281,433.70001220703125,437.79998779296875,427.1000061035156,437.79998779296875,8544311
2024-02-19,399.4854431152344,431.1499938964844,442.95001220703125,430.0,433.75,5880131
2024-02-20,398.03753662109375,426.1000061035156,430.79998779296875,422.1000061035156,426.5,6734331
