date_,adj close_gmdcltd.ns,close_gmdcltd.ns,high_gmdcltd.ns,low_gmdcltd.ns,open_gmdcltd.ns,volume_gmdcltd.ns
2024-01-16,445.519287109375,465.8999938964844,477.29998779296875,454.0,463.95001220703125,5077699
2024-01-17,443.1764831542969,463.45001220703125,469.1499938964844,455.3999938964844,462.6499938964844,2551196
2024-01-18,436.6260986328125,456.6000061035156,465.45001220703125,441.25,463.1499938964844,2805327
2024-01-19,452.49993896484375,473.20001220703125,477.5,457.5,458.8500061035156,3980629
2024-01-23,420.89569091796875,440.1499938964844,481.70001220703125,420.0,480.0,3762330
2024-01-24,438.3473815917969,458.3999938964844,462.45001220703125,432.8500061035156,440.1499938964844,3266554
2024-01-25,437.7257995605469,457.75,462.79998779296875,454.25,458.3999938964844,1730375
2024-01-29,443.7502136230469,464.04998779296875,472.54998779296875,456.54998779296875,460.0,2419054
2024-01-30,431.46234130859375,451.20001220703125,466.3999938964844,449.25,465.0,2000205
2024-01-31,437.9648742675781,458.0,461.0,452.1499938964844,454.79998779296875,1946720
2024-02-01,433.3270263671875,453.1499938964844,462.95001220703125,448.3999938964844,455.95001220703125,1616284
2024-02-02,452.0218505859375,472.70001220703125,484.3999938964844,455.0,455.75,6427405
2024-02-05,468.0390930175781,489.45001220703125,506.0,476.25,477.29998779296875,12695652
2024-02-06,473.9200744628906,495.6000061035156,504.0,484.1000061035156,494.0,3965032
2024-02-07,461.39312744140625,482.5,502.8999938964844,478.8999938964844,498.29998779296875,3111504
2024-02-08,459.3371887207031,480.3500061035156,493.75,473.0,486.0,2604090
2024-02-09,410.95068359375,429.75,482.6000061035156,414.25,482.45001220703125,6314045
2024-02-12,358.06976318359375,374.45001220703125,425.8999938964844,362.54998779296875,412.0,6897223
2024-02-13,381.163330078125,398.6000061035156,401.0,373.0,384.95001220703125,5047553
2024-02-14,388.43084716796875,406.20001220703125,407.8999938964844,387.0,394.8999938964844,3164478
2024-02-15,399.5712585449219,417.8500061035156,423.45001220703125,406.25,407.20001220703125,3027600
2024-02-16,389.9608459472656,407.79998779296875,420.45001220703125,406.1499938964844,420.45001220703125,1952386
2024-02-19,390.3433837890625,408.20001220703125,419.3999938964844,397.8500061035156,409.54998779296875,3215993
2024-02-20,393.0208740234375,411.0,417.8500061035156,403.6499938964844,410.0,1760192
2024-02-21,383.6973876953125,401.25,413.8999938964844,398.04998779296875,411.0,1312646
2024-02-22,397.371826171875,415.54998779296875,420.8999938964844,391.8500061035156,403.0,3169660
2024-02-23,396.3677673339844,414.5,419.79998779296875,411.0,415.25,1634815
2024-02-26,386.7095947265625,404.3999938964844,414.8999938964844,402.95001220703125,410.0,1245336
2024-02-27,384.4145812988281,402.0,413.0,399.04998779296875,404.0,1528795
2024-02-28,374.27825927734375,391.3999938964844,406.70001220703125,390.0,402.0,1445705
2024-02-29,372.8439025878906,389.8999938964844,396.0,382.79998779296875,390.45001220703125,1240085
2024-03-01,380.82861328125,398.25,403.8999938964844,392.04998779296875,392.20001220703125,1174184
2024-03-04,379.5376892089844,396.8999938964844,404.3999938964844,392.0,392.0,1753571
2024-03-05,377.24267578125,394.5,400.8500061035156,393.25,398.70001220703125,721388
2024-03-06,379.346435546875,396.70001220703125,409.0,380.0,393.0,3458212
2024-03-07,378.7726745605469,396.1000061035156,404.95001220703125,385.25,396.0,1413684
2024-03-11,367.1541748046875,383.95001220703125,397.5,380.1000061035156,395.8999938964844,1006833
