date_,adj close_indigo.ns,close_indigo.ns,high_indigo.ns,low_indigo.ns,open_indigo.ns,volume_indigo.ns
2024-01-16,3046.451904296875,3051.60009765625,3132.0,3045.0,3079.0,568486
2024-01-17,3053.58984375,3058.75,3083.300048828125,2995.10009765625,3000.0,771661
2024-01-18,3047.4501953125,3052.60009765625,3072.89990234375,3013.949951171875,3025.800048828125,925829
2024-01-19,3024.43896484375,3029.550048828125,3112.14990234375,3017.85009765625,3068.60009765625,586989
2024-01-23,2906.8876953125,2911.800048828125,3068.0,2900.0,3068.0,1061598
2024-01-24,2905.240234375,2910.14990234375,2949.949951171875,2895.39990234375,2939.949951171875,1244427
2024-01-25,2858.219970703125,2863.050048828125,2922.550048828125,2847.0,2910.550048828125,1096039
2024-01-29,2891.1142578125,2896.0,2921.39990234375,2851.75,2889.89990234375,1539851
2024-01-30,2924.05859375,2929.0,2966.75,2910.0,2919.0,1253067
2024-01-31,2956.354248046875,2961.35009765625,2969.949951171875,2912.0,2940.0,1571722
2024-02-01,3061.426513671875,3066.60009765625,3081.89990234375,2972.10009765625,2982.0,1610034
2024-02-02,3121.824462890625,3127.10009765625,3150.0,3072.39990234375,3099.949951171875,1104594
2024-02-05,3165.800048828125,3171.14990234375,3300.0,3154.550048828125,3225.050048828125,3430174
2024-02-06,3132.556396484375,3137.85009765625,3191.10009765625,3070.75,3190.050048828125,1007663
2024-02-07,3109.295654296875,3114.550048828125,3189.0,3106.5,3169.0,636345
2024-02-08,3127.115478515625,3132.39990234375,3168.550048828125,3115.0,3140.0,762163
2024-02-09,3100.7099609375,3105.949951171875,3157.5,2984.199951171875,3130.0,1667210
2024-02-12,3057.83251953125,3063.0,3130.550048828125,3052.800048828125,3123.0,410580
2024-02-13,3036.31884765625,3041.449951171875,3073.800048828125,3006.050048828125,3050.0,414063
2024-02-14,3089.079833984375,3094.300048828125,3099.550048828125,3011.699951171875,3049.89990234375,347614
2024-02-15,3023.740234375,3028.85009765625,3128.699951171875,3021.25,3128.699951171875,544154
2024-02-16,3040.16259765625,3045.300048828125,3064.800048828125,3010.5,3064.800048828125,727944
2024-02-19,3062.8740234375,3068.050048828125,3088.5,3040.25,3062.0,547439
2024-02-20,3109.64501953125,3114.89990234375,3136.35009765625,3053.89990234375,3080.0,745295
2024-02-21,3090.427490234375,3095.64990234375,3135.0,3083.0,3135.0,481341
2024-02-22,3123.0224609375,3128.300048828125,3134.14990234375,3082.64990234375,3110.0,397181
2024-02-23,3173.636962890625,3179.0,3215.35009765625,3136.10009765625,3142.0,873751
2024-02-26,3178.678466796875,3184.050048828125,3201.949951171875,3135.25,3198.0,417096
2024-02-27,3177.630126953125,3183.0,3198.75,3153.050048828125,3190.0,460969
2024-02-28,3120.62646484375,3125.89990234375,3202.050048828125,3098.050048828125,3190.0,506498
2024-02-29,3150.02685546875,3155.35009765625,3169.5,3079.0,3134.39990234375,3097349
2024-03-01,3152.0234375,3157.35009765625,3171.75,3130.300048828125,3155.39990234375,210443
2024-03-04,3165.750244140625,3171.10009765625,3202.800048828125,3153.300048828125,3174.0,484126
2024-03-05,3181.024169921875,3186.39990234375,3215.0,3152.14990234375,3171.14990234375,341136
2024-03-06,3064.62109375,3069.800048828125,3196.89990234375,3026.0,3196.89990234375,1168268
2024-03-07,3100.46044921875,3105.699951171875,3126.699951171875,3081.0,3083.0,340788
2024-03-11,3213.1201171875,3218.550048828125,3262.0,3020.0,3033.050048828125,9136024
2024-03-12,3237.47900390625,3242.949951171875,3317.0,3197.39990234375,3220.949951171875,3251109
2024-03-13,3107.299072265625,3112.550048828125,3258.5,3090.10009765625,3242.0,2053050
2024-03-14,3171.240966796875,3176.60009765625,3187.25,3079.35009765625,3110.0,1379775
2024-03-15,3197.6962890625,3203.10009765625,3215.89990234375,3135.0,3176.60009765625,2268294
2024-03-18,3243.718505859375,3249.199951171875,3255.75,3160.0,3200.0,890781
2024-03-19,3227.545654296875,3233.0,3342.0,3223.050048828125,3260.0,3389294
2024-03-20,3208.228271484375,3213.64990234375,3260.0,3180.89990234375,3234.050048828125,1147219
2024-03-21,3284.599365234375,3290.14990234375,3297.39990234375,3245.0,3258.449951171875,727852
2024-03-22,3281.255126953125,3286.800048828125,3327.050048828125,3266.800048828125,3300.0,681688
