date_,adj close_bhel.ns,close_bhel.ns,high_bhel.ns,low_bhel.ns,open_bhel.ns,volume_bhel.ns
2024-01-16,202.404296875,203.0,203.75,197.0,202.0500030517578,36297046
2024-01-17,206.49227905273438,207.10000610351562,213.1999969482422,200.1999969482422,200.25,104586370
2024-01-18,211.52743530273438,212.14999389648438,213.14999389648438,196.3000030517578,209.5,68991855
2024-01-19,221.5978240966797,222.25,223.0,212.5,215.0,63867429
2024-01-23,202.3544464111328,202.9499969482422,221.89999389648438,201.5500030517578,221.5,45960109
2024-01-24,209.28404235839844,209.89999389648438,211.35000610351562,200.6999969482422,204.5,32560581
2024-01-25,219.25469970703125,219.89999389648438,220.60000610351562,211.0,211.0,34410301
2024-01-29,220.65060424804688,221.3000030517578,223.1999969482422,219.89999389648438,221.0,22269048
2024-01-30,227.2810821533203,227.9499969482422,234.4499969482422,222.3000030517578,223.4499969482422,46928698
2024-01-31,227.5802001953125,228.25,232.25,225.10000610351562,228.0,19835653
2024-02-01,226.83241271972656,227.5,232.0,223.1999969482422,230.5,26372822
2024-02-02,233.11392211914062,233.8000030517578,235.6999969482422,229.0,229.6999969482422,31480257
2024-02-05,234.60952758789062,235.3000030517578,243.25,232.35000610351562,234.64999389648438,32248058
2024-02-06,231.11978149414062,231.8000030517578,236.3000030517578,228.35000610351562,236.3000030517578,20312567
2024-02-07,230.8705291748047,231.5500030517578,238.0,228.6999969482422,232.3000030517578,20297349
2024-02-08,230.1227264404297,230.8000030517578,236.9499969482422,229.75,232.0,20903389
2024-02-09,226.88226318359375,227.5500030517578,236.60000610351562,217.35000610351562,236.5,49500870
2024-02-12,216.06410217285156,216.6999969482422,230.14999389648438,214.1999969482422,228.0,28287984
2024-02-13,212.72393798828125,213.35000610351562,217.4499969482422,201.35000610351562,217.0,58782489
2024-02-14,223.79135131835938,224.4499969482422,226.1999969482422,202.5,202.5,48738557
2024-02-15,226.88226318359375,227.5500030517578,233.14999389648438,224.8000030517578,227.5,30765077
2024-02-16,225.18724060058594,225.85000610351562,230.5,224.9499969482422,228.5500030517578,20099858
2024-02-19,225.03768920898438,225.6999969482422,230.64999389648438,225.0500030517578,226.64999389648438,12184195
2024-02-20,230.22242736816406,230.89999389648438,233.8000030517578,225.9499969482422,226.89999389648438,22994469
2024-02-21,221.24884033203125,221.89999389648438,232.35000610351562,220.0500030517578,232.0,22193528
2024-02-22,227.8294677734375,228.5,229.39999389648438,220.9499969482422,224.0,25023398
2024-02-23,228.92623901367188,229.60000610351562,233.75,228.5,229.4499969482422,21463226
2024-02-26,227.3807830810547,228.0500030517578,232.14999389648438,226.25,229.8000030517578,14288582
2024-02-27,221.94679260253906,222.60000610351562,228.39999389648438,221.75,228.0500030517578,22497412
2024-02-28,224.04061889648438,224.6999969482422,230.4499969482422,221.0,223.64999389648438,36680021
2024-02-29,226.88226318359375,227.5500030517578,233.0,219.75,225.85000610351562,150876575
2024-03-01,234.60952758789062,235.3000030517578,237.35000610351562,229.60000610351562,230.0,35475431
2024-03-04,263.773681640625,264.54998779296875,275.8500061035156,237.10000610351562,237.10000610351562,246246357
2024-03-05,265.0199890136719,265.79998779296875,271.70001220703125,254.6999969482422,265.5,64079248
2024-03-06,254.45111083984375,255.1999969482422,272.0,249.60000610351562,270.70001220703125,81812288
