date_,adj close_mazdock.ns,close_mazdock.ns,high_mazdock.ns,low_mazdock.ns,open_mazdock.ns,volume_mazdock.ns
2024-01-16,1148.0699462890625,1163.0,1246.0,1140.550048828125,1173.699951171875,8391410
2024-01-17,1179.215087890625,1194.550048828125,1210.0,1140.550048828125,1164.625,4613194
2024-01-18,1144.886474609375,1159.7750244140625,1215.949951171875,1140.550048828125,1197.4000244140625,3177450
2024-01-19,1141.1597900390625,1156.0,1185.25,1142.9749755859375,1173.449951171875,1770430
2024-01-23,1123.9586181640625,1138.574951171875,1193.875,1130.0,1188.9000244140625,2066298
2024-01-24,1148.3660888671875,1163.300048828125,1168.5,1092.5250244140625,1140.0,1961432
2024-01-25,1156.7076416015625,1171.75,1238.8499755859375,1162.5,1209.550048828125,6377812
2024-01-29,1144.7137451171875,1159.5999755859375,1183.0,1152.800048828125,1180.324951171875,1275074
2024-01-30,1128.5487060546875,1143.2249755859375,1169.050048828125,1141.675048828125,1167.050048828125,1843682
2024-01-31,1130.7698974609375,1145.4749755859375,1162.0,1140.7750244140625,1149.5,1341780
2024-02-01,1102.93212890625,1117.2750244140625,1151.2249755859375,1112.5,1151.2249755859375,1980112
2024-02-02,1088.692138671875,1102.8499755859375,1124.8499755859375,1100.175048828125,1121.0,1739782
2024-02-05,1035.434814453125,1048.9000244140625,1108.699951171875,1043.0,1108.5,2402606
2024-02-06,1062.18701171875,1076.0,1083.449951171875,1047.5,1049.5,1405988
2024-02-07,1063.6923828125,1077.5250244140625,1088.9000244140625,1068.074951171875,1081.7249755859375,725658
2024-02-08,1078.549072265625,1092.574951171875,1106.0,1070.0250244140625,1080.0250244140625,1627038
2024-02-09,1045.1337890625,1058.7249755859375,1097.5,1052.0,1097.0,998408
2024-02-12,1076.9942626953125,1091.0,1119.199951171875,1011.25,1064.050048828125,2661344
2024-02-13,1059.8177490234375,1073.5999755859375,1130.0,1068.5250244140625,1127.5,4009126
2024-02-14,1065.4197998046875,1079.2750244140625,1096.0,1050.5250244140625,1064.5250244140625,1591522
2024-02-15,1054.4869384765625,1068.199951171875,1099.0,1062.5,1085.0,1134688
2024-02-16,1030.2275390625,1043.625,1082.5,1040.699951171875,1070.0,1820602
2024-02-19,1068.7763671875,1082.675048828125,1097.875,1050.050048828125,1050.050048828125,1778346
2024-02-20,1054.6597900390625,1068.375,1080.0,1060.0,1080.0,749694
2024-02-21,1025.8345947265625,1039.175048828125,1073.449951171875,1032.5,1069.4749755859375,1031682
2024-02-22,1016.431884765625,1029.6500244140625,1047.800048828125,1016.5499877929688,1044.3499755859375,1267030
2024-02-23,1041.6044921875,1055.1500244140625,1069.5,1030.5250244140625,1033.7249755859375,2027352
2024-02-26,1032.3746337890625,1045.800048828125,1055.0,1039.0,1055.0,875870
2024-02-27,1032.8433837890625,1046.2750244140625,1063.5,1041.675048828125,1048.5,663302
2024-02-28,1043.3812255859375,1056.949951171875,1115.0,1047.4749755859375,1072.5250244140625,9033540
2024-02-29,1029.067626953125,1042.449951171875,1057.199951171875,1029.324951171875,1057.199951171875,1637662
2024-03-01,1036.125732421875,1049.5999755859375,1060.5250244140625,1043.0,1050.0250244140625,923640
2024-03-04,1038.8157958984375,1052.324951171875,1071.9000244140625,1038.0,1052.199951171875,1409098
2024-03-05,1031.0665283203125,1044.4749755859375,1063.050048828125,1042.550048828125,1052.949951171875,687134
2024-03-06,1015.6173706054688,1028.824951171875,1045.7750244140625,1019.0,1042.0,1032738
2024-03-07,1029.4376220703125,1042.824951171875,1053.75,1031.0250244140625,1032.5,648758
2024-03-11,1019.615478515625,1032.875,1046.2750244140625,1029.0250244140625,1044.5,666412
2024-03-12,996.1456909179688,1009.0999755859375,1036.0999755859375,1000.2249755859375,1035.3499755859375,884884
2024-03-13,917.5429077148438,929.4749755859375,1018.375,922.5,1012.2000122070312,2346372
2024-03-14,934.5220947265625,946.6749877929688,969.9749755859375,897.7000122070312,928.8499755859375,5031494
2024-03-15,946.2940063476562,958.5999755859375,974.9500122070312,928.6749877929688,947.3499755859375,3545466
2024-03-18,912.5576171875,924.4249877929688,967.25,918.5,957.0,1921800
2024-03-19,921.8864135742188,933.875,942.4749755859375,910.5499877929688,922.5,1651730
2024-03-20,908.0414428710938,919.8499755859375,947.8250122070312,916.0,937.5,1123048
2024-03-21,927.14306640625,939.2000122070312,954.5,925.1500244140625,925.4749755859375,1226578
2024-03-22,937.0392456054688,949.2249755859375,974.4749755859375,945.0499877929688,945.5,1998978
2024-03-26,928.6484375,940.7249755859375,954.5,934.5,949.5,1077612
2024-03-27,933.7323608398438,945.875,962.0,943.5499877929688,943.9500122070312,1293508
2024-03-28,920.0848999023438,932.0499877929688,957.375,927.5250244140625,948.9749755859375,1143542
2024-04-01,987.557373046875,1000.4000244140625,1019.5,940.0,940.0,4456474
2024-04-02,984.9661865234375,997.7750244140625,1015.9749755859375,985.9500122070312,1002.3499755859375,2153536
2024-04-03,1103.9931640625,1118.3499755859375,1122.5,995.5999755859375,998.0,19289334
2024-04-04,1083.5341796875,1097.625,1128.300048828125,1079.050048828125,1120.0,4843888
2024-04-05,1086.150390625,1100.2750244140625,1127.5,1086.3499755859375,1092.5,5261544
2024-04-08,1111.9891357421875,1126.449951171875,1144.9749755859375,1087.0,1105.800048828125,6681142
2024-04-09,1097.84814453125,1112.125,1142.4749755859375,1100.5250244140625,1128.5,2522174
