date_,adj close_akzoindia.ns,close_akzoindia.ns,high_akzoindia.ns,low_akzoindia.ns,open_akzoindia.ns,volume_akzoindia.ns
2024-01-16,2458.235595703125,2710.0,2736.0,2700.0,2714.949951171875,13917
2024-01-17,2461.955078125,2714.10009765625,2728.0,2661.0,2682.300048828125,13983
2024-01-18,2451.750244140625,2702.85009765625,2727.0,2636.550048828125,2690.0,13073
2024-01-19,2445.627197265625,2696.10009765625,2716.39990234375,2676.39990234375,2716.39990234375,9339
2024-01-23,2381.313720703125,2625.199951171875,2694.050048828125,2618.050048828125,2694.050048828125,19470
2024-01-24,2371.154296875,2614.0,2646.800048828125,2590.89990234375,2638.35009765625,38062
2024-01-25,2353.692626953125,2594.75,2633.949951171875,2567.10009765625,2625.0,17145
2024-01-29,2364.26025390625,2606.39990234375,2624.699951171875,2584.64990234375,2594.75,5164
2024-01-30,2407.120849609375,2653.64990234375,2690.0,2595.199951171875,2614.199951171875,19371
2024-01-31,2369.521484375,2612.199951171875,2699.949951171875,2595.10009765625,2661.949951171875,35978
2024-02-01,2385.441162109375,2629.75,2645.550048828125,2602.0,2612.199951171875,15686
2024-02-02,2433.29052734375,2682.5,2689.800048828125,2608.0,2629.75,14236
2024-02-05,2477.51171875,2731.25,2745.0,2680.0,2682.5,23915
2024-02-06,2659.566162109375,2931.949951171875,3058.0,2730.0,2739.25,292145
2024-02-07,2599.244140625,2865.449951171875,2996.550048828125,2851.050048828125,2960.0,71796
2024-02-08,2577.927490234375,2841.949951171875,2896.949951171875,2825.0,2896.949951171875,21074
2024-02-09,2608.723388671875,2875.89990234375,2890.0,2808.75,2860.0,11073
2024-02-12,2533.978515625,2793.5,2890.300048828125,2780.0,2890.300048828125,13126
2024-02-13,2491.88916015625,2747.10009765625,2793.5,2736.449951171875,2793.5,15035
2024-02-14,2543.185302734375,2803.64990234375,2809.949951171875,2747.10009765625,2747.10009765625,10495
2024-02-15,2539.602294921875,2799.699951171875,2831.85009765625,2773.949951171875,2826.0,11239
2024-02-16,2623.41845703125,2840.449951171875,2930.0,2705.550048828125,2799.0,42668
2024-02-19,2594.41748046875,2809.050048828125,2850.0,2791.35009765625,2848.5,11467
