date_,adj close_bpcl.ns,close_bpcl.ns,high_bpcl.ns,low_bpcl.ns,open_bpcl.ns,volume_bpcl.ns
2024-01-16,216.80445861816406,236.4250030517578,239.89999389648438,230.25,230.5,42369500
2024-01-17,216.25424194335938,235.8249969482422,238.5749969482422,233.0749969482422,236.0,22429284
2024-01-18,216.96495056152344,236.60000610351562,240.4499969482422,230.5,233.5,19802302
2024-01-19,220.5183563232422,240.47500610351562,242.5,237.02499389648438,238.0,12973856
2024-01-23,212.31109619140625,231.52499389648438,244.25,230.0500030517578,244.25,18419550
2024-01-24,218.77603149414062,238.5749969482422,239.25,231.64999389648438,232.5,15161312
2024-01-25,217.51515197753906,237.1999969482422,244.1750030517578,235.5,238.60000610351562,21346674
2024-01-29,225.88287353515625,246.3249969482422,250.6999969482422,234.6999969482422,237.0,27869484
2024-01-30,231.17860412597656,252.10000610351562,258.92498779296875,246.5749969482422,248.4250030517578,44271876
2024-01-31,230.33038330078125,251.1750030517578,256.2749938964844,249.27499389648438,252.97500610351562,20707736
2024-02-01,233.12725830078125,254.22500610351562,257.6499938964844,249.5500030517578,252.27499389648438,14008198
2024-02-02,256.0066833496094,279.17498779296875,286.20001220703125,258.0,258.67498779296875,77556082
2024-02-05,263.5262145996094,287.375,294.3999938964844,278.5249938964844,283.0,45025890
2024-02-06,279.3675537109375,304.6499938964844,307.3500061035156,285.3500061035156,289.9750061035156,45260656
2024-02-07,276.0433654785156,301.0249938964844,310.0,299.6499938964844,308.3999938964844,28791718
2024-02-08,284.5028381347656,310.25,317.67498779296875,303.20001220703125,304.0,37522588
2024-02-09,281.66009521484375,307.1499938964844,311.8500061035156,296.1499938964844,311.5,29524266
2024-02-12,270.7247619628906,295.2250061035156,309.29998779296875,291.875,307.3999938964844,17042236
2024-02-13,267.9049377441406,292.1499938964844,298.2749938964844,290.17498779296875,295.9750061035156,12659942
2024-02-14,285.9471130371094,311.82501220703125,314.67498779296875,291.0,291.0,47987362
2024-02-15,299.2896423339844,326.375,328.4750061035156,311.54998779296875,315.0,51245018
2024-02-16,300.1378479003906,327.29998779296875,343.9750061035156,325.95001220703125,333.0,55744810
2024-02-19,299.19793701171875,326.2749938964844,333.3500061035156,325.42498779296875,329.95001220703125,24997270
2024-02-20,301.5133972167969,328.79998779296875,332.0,318.625,326.2749938964844,20913510
2024-02-21,290.32586669921875,316.6000061035156,333.92498779296875,315.0,331.79998779296875,17722264
2024-02-22,286.978759765625,312.95001220703125,315.42498779296875,305.42498779296875,314.5,27653580
2024-02-23,283.3336486816406,308.9750061035156,314.75,307.625,311.0249938964844,12564690
2024-02-26,287.5519104003906,313.57501220703125,316.79998779296875,302.04998779296875,308.5,23264196
2024-02-27,286.5890197753906,312.5249938964844,316.3500061035156,308.1499938964844,313.54998779296875,14881202
2024-02-28,279.3675537109375,304.6499938964844,312.7749938964844,303.04998779296875,312.42498779296875,12645922
2024-02-29,276.8686828613281,301.92498779296875,305.8999938964844,297.2250061035156,304.5,20515464
2024-03-01,285.78662109375,311.6499938964844,313.625,304.5,305.5,15763236
2024-03-04,293.6500244140625,320.2250061035156,321.625,310.42498779296875,312.6000061035156,14804172
2024-03-05,295.7820739746094,322.54998779296875,324.75,316.04998779296875,320.5249938964844,12317936
