date_,adj close_gillette.ns,close_gillette.ns,high_gillette.ns,low_gillette.ns,open_gillette.ns,volume_gillette.ns
2024-01-16,6409.984375,6605.5,6799.0,6526.0,6775.0,26665
2024-01-17,6374.5166015625,6568.9501953125,6689.9501953125,6510.2998046875,6549.9501953125,45663
2024-01-18,6360.0087890625,6554.0,6619.0,6475.0,6550.0,19171
2024-01-19,6386.4521484375,6581.25,6644.85009765625,6518.0,6584.0,8899
2024-01-23,6329.78125,6522.85009765625,6657.75,6487.64990234375,6632.85009765625,15508
2024-01-24,6333.46875,6526.64990234375,6550.0,6481.0,6550.0,11329
2024-01-25,6313.6240234375,6506.2001953125,6570.0,6453.0,6549.0,9998
2024-01-29,6293.00341796875,6484.9501953125,6556.35009765625,6465.0,6506.0,19671
2024-01-30,6491.0615234375,6689.0498046875,7299.0,6473.64990234375,6490.0,78761
2024-01-31,6390.96484375,6585.89990234375,6791.0,6544.0,6699.89990234375,37332
2024-02-01,6395.81640625,6590.89990234375,6642.5498046875,6572.85009765625,6599.0,10906
2024-02-02,6372.4296875,6566.7998046875,6670.0,6530.0,6645.0,24065
2024-02-05,6454.5263671875,6651.39990234375,6666.0,6580.0498046875,6600.0498046875,20258
2024-02-06,6595.7197265625,6796.89990234375,6860.0,6653.7998046875,6690.0,50443
2024-02-07,6690.09130859375,6894.14990234375,6923.89990234375,6796.9501953125,6796.9501953125,40246
2024-02-08,6718.927734375,6838.5,6890.0,6800.0498046875,6870.0,18852
2024-02-09,6690.14013671875,6809.2001953125,6847.4501953125,6650.0,6812.14990234375,13679
2024-02-12,6544.0400390625,6660.5,6829.60009765625,6620.0498046875,6788.7001953125,13373
2024-02-13,6451.29052734375,6566.10009765625,6674.39990234375,6520.60009765625,6660.5,10371
2024-02-14,6621.265625,6739.10009765625,6770.0,6500.0,6500.0,15021
2024-02-15,6626.17822265625,6744.10009765625,6795.0,6652.10009765625,6739.10009765625,7648
2024-02-16,6571.697265625,6688.64990234375,6830.0,6657.0498046875,6830.0,8387
2024-02-19,6481.74853515625,6597.10009765625,6728.60009765625,6580.10009765625,6728.0,10228
2024-02-20,6400.64208984375,6514.5498046875,6631.60009765625,6501.10009765625,6631.60009765625,8258
2024-02-21,6396.0732421875,6509.89990234375,6575.75,6485.0,6548.14990234375,12760
2024-02-22,6428.88916015625,6543.2998046875,6580.0,6480.0,6500.0,6546
