date_,adj close_marico.ns,close_marico.ns,high_marico.ns,low_marico.ns,open_marico.ns,volume_marico.ns
2024-01-16,516.96044921875,531.5499877929688,533.0499877929688,526.0999755859375,529.9500122070312,579717
2024-01-17,513.216064453125,527.7000122070312,533.0,523.2999877929688,530.0,909008
2024-01-18,510.10394287109375,524.5,529.7999877929688,517.8499755859375,527.7000122070312,1188131
2024-01-19,515.6961059570312,530.25,532.0,523.5,526.8499755859375,862529
2024-01-23,506.6513671875,520.9500122070312,529.9000244140625,517.0,524.9500122070312,1757069
2024-01-24,515.1126098632812,529.6500244140625,532.0,515.6500244140625,518.0499877929688,1303355
2024-01-25,510.6874084472656,525.0999755859375,534.4000244140625,521.6500244140625,529.5,990062
2024-01-29,502.4206848144531,516.5999755859375,523.8499755859375,508.6000061035156,508.6000061035156,2146422
2024-01-30,508.7909851074219,523.1500244140625,527.0499877929688,515.4000244140625,519.9500122070312,1822487
2024-01-31,513.3619384765625,527.8499755859375,532.5499877929688,523.2999877929688,526.5,2177564
2024-02-01,521.288330078125,536.0,554.7000122070312,529.2000122070312,530.9500122070312,4714744
2024-02-02,514.9666748046875,529.5,541.0,528.1500244140625,541.0,1577128
2024-02-05,508.8396301269531,523.2000122070312,534.3499755859375,522.4500122070312,528.0,760304
2024-02-06,506.5054931640625,520.7999877929688,527.9500122070312,519.2000122070312,525.0,971957
2024-02-07,510.4929504394531,524.9000244140625,527.8499755859375,521.8499755859375,524.0,964073
2024-02-08,508.0615539550781,522.4000244140625,528.7999877929688,520.9500122070312,525.9500122070312,1062206
2024-02-09,506.3595886230469,520.6500244140625,523.9500122070312,516.6500244140625,523.9500122070312,583337
2024-02-12,510.78472900390625,525.2000122070312,526.4000244140625,519.7999877929688,520.5,529409
2024-02-13,510.736083984375,525.1500244140625,528.5499877929688,523.0,526.0,718699
2024-02-14,512.5352783203125,527.0,527.9000244140625,515.5,515.5,1311331
2024-02-15,507.6725158691406,522.0,527.4500122070312,518.8499755859375,527.0,1143167
2024-02-16,509.4230651855469,523.7999877929688,526.4000244140625,519.8499755859375,522.4000244140625,1673623
2024-02-19,512.049072265625,526.5,529.5,523.5,524.4500122070312,960744
2024-02-20,521.4827880859375,536.2000122070312,537.4000244140625,524.75,527.9500122070312,1203500
2024-02-21,523.9141845703125,538.7000122070312,540.7999877929688,533.6500244140625,536.6500244140625,4398178
2024-02-22,524.2058715820312,539.0,545.2000122070312,537.75,545.0,1119584
2024-02-23,515.5988159179688,530.1500244140625,540.6500244140625,528.75,539.5,2093913
2024-02-26,511.2223205566406,525.6500244140625,532.7999877929688,525.0,525.0999755859375,1270303
2024-02-27,508.88818359375,523.25,527.4500122070312,519.9000244140625,527.0,3305817
2024-02-28,508.9854431152344,523.3499755859375,525.9500122070312,520.7000122070312,523.25,2328617
2024-02-29,508.25604248046875,522.5999755859375,526.5999755859375,520.1500244140625,523.3499755859375,3588262
2024-03-01,509.8608093261719,524.25,526.5,522.2000122070312,523.25,1414893
2024-03-04,509.6662292480469,524.0499877929688,529.9000244140625,522.0,529.0,1604843
2024-03-05,504.2685852050781,518.5,525.0999755859375,517.0999755859375,524.0499877929688,2321785
2024-03-06,498.01446533203125,505.6499938964844,512.0499877929688,504.04998779296875,511.6000061035156,1262432
2024-03-07,506.8293151855469,514.5999755859375,517.75,503.3500061035156,504.0,1828309
2024-03-11,501.5108947753906,509.20001220703125,515.0,508.1000061035156,514.5999755859375,1521855
