date_,adj close_ircon.ns,close_ircon.ns,high_ircon.ns,low_ircon.ns,open_ircon.ns,volume_ircon.ns
2024-01-16,199.44325256347656,205.35000610351562,212.0,201.5,204.1999969482422,46823798
2024-01-17,202.35696411132812,208.35000610351562,212.9499969482422,199.89999389648438,202.89999389648438,42531427
2024-01-18,198.18064880371094,204.0500030517578,211.6999969482422,192.9499969482422,209.5,34552809
2024-01-19,221.2474822998047,227.8000030517578,230.85000610351562,204.64999389648438,204.6999969482422,104577928
2024-01-23,223.0442657470703,229.64999389648438,280.8500061035156,225.0,275.04998779296875,116933725
2024-01-24,234.31060791015625,241.25,247.0,215.14999389648438,232.3000030517578,62497168
2024-01-25,240.13800048828125,247.25,252.3000030517578,241.35000610351562,243.5500030517578,39965524
2024-01-29,237.17575073242188,244.1999969482422,254.6999969482422,242.5,251.0500030517578,24473592
2024-01-30,227.9490203857422,234.6999969482422,248.0,227.1999969482422,245.6999969482422,32498855
2024-01-31,230.52279663085938,237.35000610351562,241.5,229.5500030517578,235.8000030517578,31089532
2024-02-01,222.0244903564453,228.60000610351562,245.10000610351562,227.0,239.75,43609906
2024-02-02,225.81228637695312,232.5,239.4499969482422,226.5500030517578,231.10000610351562,26433112
2024-02-05,217.1682891845703,223.60000610351562,233.6999969482422,222.0,233.5500030517578,16336679
2024-02-06,225.13243103027344,231.8000030517578,234.89999389648438,214.75,223.60000610351562,23406595
2024-02-07,223.4327850341797,230.0500030517578,235.39999389648438,227.64999389648438,233.89999389648438,10611193
2024-02-08,221.97592163085938,228.5500030517578,235.6999969482422,227.5500030517578,231.25,10958886
2024-02-09,215.95425415039062,222.35000610351562,234.89999389648438,216.8000030517578,232.0,19748341
2024-02-12,188.66253662109375,194.25,224.60000610351562,190.35000610351562,223.0,29233268
2024-02-13,204.83360290527344,210.89999389648438,213.4499969482422,191.8000030517578,196.75,40733195
2024-02-14,216.24562072753906,222.64999389648438,224.35000610351562,203.39999389648438,207.39999389648438,22356740
2024-02-15,225.2295379638672,231.89999389648438,234.0,222.10000610351562,223.39999389648438,19833844
2024-02-16,220.9226837158203,225.6999969482422,232.39999389648438,223.5,232.39999389648438,12932855
2024-02-19,226.45309448242188,231.35000610351562,240.1999969482422,226.25,226.75,24436698
