date_,adj close_heg.ns,close_heg.ns,high_heg.ns,low_heg.ns,open_heg.ns,volume_heg.ns
2024-01-16,363.02490234375,368.0899963378906,374.3999938964844,362.79998779296875,368.7099914550781,1232000
2024-01-17,361.00311279296875,366.0400085449219,375.1000061035156,362.20001220703125,364.4700012207031,1461605
2024-01-18,354.119140625,359.05999755859375,369.9700012207031,353.67999267578125,366.0400085449219,1237970
2024-01-19,356.8116149902344,361.7900085449219,365.67999267578125,360.0,360.0,580040
2024-01-23,344.0299377441406,348.8299865722656,366.8999938964844,346.5299987792969,365.0,743635
2024-01-24,346.8702697753906,351.7099914550781,355.3999938964844,342.0,348.6000061035156,607930
2024-01-25,341.22900390625,345.989990234375,355.3900146484375,344.2099914550781,352.79998779296875,730480
2024-01-29,341.19940185546875,345.9599914550781,350.0,345.3999938964844,346.5799865722656,627115
2024-01-30,341.0514831542969,345.80999755859375,352.7799987792969,345.0,347.29998779296875,778545
2024-01-31,346.9393310546875,351.7799987792969,352.5799865722656,344.80999755859375,347.3800048828125,846800
2024-02-01,352.48199462890625,357.3999938964844,359.6000061035156,346.6000061035156,352.19000244140625,1091055
2024-02-02,351.9001159667969,356.80999755859375,364.3999938964844,354.2099914550781,360.0,899655
2024-02-05,364.23797607421875,369.32000732421875,386.3800048828125,355.2300109863281,356.80999755859375,7644245
2024-02-06,384.8306884765625,390.20001220703125,395.7699890136719,369.5400085449219,370.55999755859375,10884370
2024-02-07,384.8109130859375,390.17999267578125,402.20001220703125,388.0,392.79998779296875,3651435
2024-02-08,383.6372985839844,388.989990234375,394.1600036621094,382.0199890136719,391.5899963378906,2079585
2024-02-09,371.161376953125,376.3399963378906,392.9200134277344,370.0,390.3999938964844,1394680
2024-02-12,347.570556640625,352.4200134277344,383.7900085449219,347.30999755859375,377.79998779296875,1320925
2024-02-13,321.72119140625,326.2099914550781,344.95001220703125,324.95001220703125,344.0,2706925
2024-02-14,321.03082275390625,325.510009765625,330.82000732421875,321.0,324.79998779296875,1233055
2024-02-15,334.3056335449219,338.9700012207031,344.67999267578125,328.010009765625,328.9800109863281,1409245
2024-02-16,335.11431884765625,339.7900085449219,349.7300109863281,337.1099853515625,342.19000244140625,2972070
2024-02-19,332.40216064453125,337.0400085449219,342.92999267578125,335.989990234375,340.4599914550781,785940
2024-02-20,327.7273864746094,332.29998779296875,339.79998779296875,330.0,337.7900085449219,769270
2024-02-21,320.66595458984375,325.1400146484375,335.5899963378906,322.20001220703125,333.5,840740
2024-02-22,341.58404541015625,346.3500061035156,350.0,331.6000061035156,331.6000061035156,7080375
2024-02-23,341.850341796875,346.6199951171875,350.9599914550781,343.44000244140625,348.739990234375,1495715
2024-02-26,332.1062927246094,336.739990234375,347.0199890136719,334.79998779296875,346.79998779296875,1058845
2024-02-27,330.8537902832031,335.4700012207031,339.989990234375,333.0299987792969,336.9800109863281,739885
2024-02-28,319.63037109375,324.0899963378906,335.79998779296875,322.4200134277344,335.79998779296875,962210
2024-02-29,319.2950439453125,323.75,331.29998779296875,321.3900146484375,324.94000244140625,1095205
2024-03-01,324.3741760253906,328.8999938964844,333.0,325.3399963378906,325.3399963378906,904880
2024-03-04,332.8558349609375,337.5,345.9599914550781,332.0199890136719,332.3999938964844,2657330
2024-03-05,334.95654296875,339.6300048828125,342.9599914550781,333.79998779296875,337.5899963378906,1754455
2024-03-06,325.49847412109375,330.0400085449219,339.3900146484375,325.29998779296875,339.3900146484375,875180
2024-03-07,335.4595031738281,340.1400146484375,344.20001220703125,330.489990234375,330.489990234375,1743215
2024-03-11,330.55792236328125,335.1700134277344,341.9700012207031,330.29998779296875,341.3599853515625,1226080
2024-03-12,356.7918395996094,361.7699890136719,365.75,331.0,333.0,12516200
2024-03-13,340.7161560058594,345.4700012207031,372.6000061035156,340.0,360.80999755859375,5896810
2024-03-14,357.7781066894531,362.7699890136719,371.489990234375,340.30999755859375,344.4800109863281,4105970
2024-03-15,371.2501525878906,376.42999267578125,380.20001220703125,357.04998779296875,360.80999755859375,4831330
2024-03-18,367.89691162109375,373.0299987792969,385.0,369.6000061035156,378.010009765625,1784110
2024-03-19,356.7918395996094,361.7699890136719,372.0,360.0899963378906,370.0,934805
2024-03-20,355.3125,360.2699890136719,369.5799865722656,354.20001220703125,362.0,1057190
2024-03-21,377.4141540527344,382.67999267578125,386.6000061035156,364.3800048828125,364.3800048828125,4397845
2024-03-22,375.4120788574219,380.6499938964844,407.57000732421875,378.2300109863281,385.9100036621094,9546470
2024-03-26,374.5441589355469,379.7699890136719,387.0,370.5,380.6499938964844,2744345
2024-03-27,363.3799743652344,368.45001220703125,385.4800109863281,366.3999938964844,380.3800048828125,1551600
2024-03-28,363.7349853515625,368.80999755859375,375.3999938964844,367.1199951171875,369.79998779296875,1018985
2024-04-01,386.6058654785156,392.0,398.20001220703125,367.8699951171875,369.6700134277344,3425855
2024-04-02,410.0783996582031,415.79998779296875,423.0,394.010009765625,397.0,6934795
2024-04-03,399.6834411621094,405.260009765625,418.6000061035156,404.0,409.9800109863281,4033700
2024-04-04,408.9639587402344,414.6700134277344,421.0,403.0199890136719,407.19000244140625,3598990
2024-04-05,412.14947509765625,417.8999938964844,425.79998779296875,409.0,415.5799865722656,3547735
2024-04-08,419.3194580078125,425.1700134277344,429.6000061035156,414.0,419.6000061035156,3879295
2024-04-09,429.2607421875,435.25,440.0,420.6199951171875,425.9700012207031,4471175
2024-04-10,464.88372802734375,471.3699951171875,483.95001220703125,435.1300048828125,437.9599914550781,12986300
2024-04-12,466.01788330078125,472.5199890136719,489.79998779296875,468.05999755859375,469.0,4791610
2024-04-15,481.34405517578125,488.05999755859375,503.9800109863281,452.79998779296875,470.3999938964844,9964795
2024-04-16,472.87225341796875,479.4700012207031,494.05999755859375,477.0799865722656,485.95001220703125,2941895
2024-04-18,485.0523376464844,491.82000732421875,511.2200012207031,473.3999938964844,482.6000061035156,6903590
