date_,adj close_pnb.ns,close_pnb.ns,high_pnb.ns,low_pnb.ns,open_pnb.ns,volume_pnb.ns
2024-01-16,94.3685302734375,98.25,100.0999984741211,96.80000305175781,98.4000015258789,60660256
2024-01-17,93.36000061035156,97.19999694824219,99.94999694824219,96.4000015258789,97.05000305175781,98759165
2024-01-18,94.60865020751953,98.5,99.0,94.30000305175781,97.30000305175781,60733225
2024-01-19,98.1624755859375,102.19999694824219,102.5,98.9000015258789,99.4000015258789,104194911
2024-01-23,94.8487777709961,98.75,106.69999694824219,98.1500015258789,106.6500015258789,83723415
2024-01-24,98.1624755859375,102.19999694824219,102.6500015258789,97.80000305175781,99.1500015258789,65088374
2024-01-25,100.37161254882812,104.5,106.0,100.6500015258789,102.75,111791532
2024-01-29,103.25309753417969,107.5,109.5,105.44999694824219,107.5,108149443
2024-01-30,104.9339599609375,109.25,110.94999694824219,106.9000015258789,108.0,75911884
2024-01-31,109.88050079345703,114.4000015258789,114.94999694824219,109.05000305175781,109.5,113135172
2024-02-01,114.15470123291016,118.8499984741211,119.6500015258789,113.69999694824219,115.0,134380980
2024-02-02,120.44593048095703,125.4000015258789,128.25,120.0999984741211,121.69999694824219,167566465
2024-02-05,116.84407806396484,121.6500015258789,126.80000305175781,120.80000305175781,125.9000015258789,92993076
2024-02-06,117.0842056274414,121.9000015258789,122.8499984741211,119.0999984741211,122.4000015258789,53028325
2024-02-07,119.00519561767578,123.9000015258789,125.75,122.8499984741211,123.69999694824219,65831369
2024-02-08,119.38939666748047,124.30000305175781,127.25,123.05000305175781,125.6500015258789,83500656
2024-02-09,119.00519561767578,123.9000015258789,124.5999984741211,117.80000305175781,124.5,69128606
2024-02-12,113.57840728759766,118.25,125.55000305175781,117.0999984741211,124.8499984741211,65062679
2024-02-13,117.27630615234375,122.0999984741211,123.5,115.69999694824219,118.30000305175781,76885208
2024-02-14,118.09272003173828,122.94999694824219,124.5,119.5,120.9000015258789,57158902
2024-02-15,123.7596435546875,128.85000610351562,129.3000030517578,123.5999984741211,124.9000015258789,102510609
2024-02-16,125.00827026367188,130.14999389648438,132.60000610351562,129.3000030517578,129.64999389648438,111266944
2024-02-19,123.37543487548828,128.4499969482422,131.3000030517578,128.1999969482422,130.89999389648438,44582022
2024-02-20,124.38396453857422,129.5,130.5,128.1999969482422,129.0,32539004
2024-02-21,123.2793960571289,128.35000610351562,131.14999389648438,127.19999694824219,129.9499969482422,54001521
2024-02-22,123.90371704101562,129.0,129.3000030517578,125.6500015258789,128.9499969482422,41873541
2024-02-23,122.89519500732422,127.94999694824219,130.8000030517578,127.0,129.5,48191136
2024-02-26,119.91766357421875,124.8499984741211,128.25,124.30000305175781,127.9000015258789,41091685
2024-02-27,118.52494812011719,123.4000015258789,125.75,122.5999984741211,124.8499984741211,37510230
2024-02-28,115.97964477539062,120.75,125.44999694824219,120.1500015258789,124.0,52883269
2024-02-29,117.03617858886719,121.8499984741211,125.55000305175781,118.69999694824219,120.75,356428226
