date_,adj close_mcx.ns,close_mcx.ns,high_mcx.ns,low_mcx.ns,open_mcx.ns,volume_mcx.ns
2024-01-16,629.364013671875,632.5999755859375,637.0,622.0999755859375,631.5900268554688,1397835
2024-01-17,626.3793334960938,629.5999755859375,645.0,624.0,626.0,2331670
2024-01-18,635.4029541015625,638.6699829101562,646.780029296875,610.0,629.5999755859375,3169490
2024-01-19,636.9052734375,640.1799926757812,644.010009765625,633.5999755859375,643.760009765625,1347090
2024-01-23,603.3477783203125,606.4500122070312,646.47998046875,598.4099731445312,646.0,4446220
2024-01-24,629.6923828125,632.9299926757812,636.7999877929688,591.5999755859375,606.4500122070312,5291160
2024-01-25,640.924560546875,644.219970703125,646.7999877929688,622.010009765625,636.8300170898438,2906090
2024-01-29,679.5858764648438,683.0800170898438,686.6599731445312,645.2899780273438,650.0,6663790
2024-01-30,665.6574096679688,669.0800170898438,690.4000244140625,667.5900268554688,687.5999755859375,1890940
2024-01-31,679.3171997070312,682.8099975585938,684.2000122070312,668.4099731445312,670.0,1510250
2024-02-01,686.46044921875,689.989990234375,694.8900146484375,671.8099975585938,680.4099731445312,2616030
2024-02-02,727.2805786132812,731.02001953125,736.3599853515625,691.0,696.0,6429170
2024-02-05,766.0711669921875,770.010009765625,778.4000244140625,722.0,736.9600219726562,7083765
2024-02-06,757.9628295898438,761.8599853515625,775.5999755859375,744.2000122070312,775.5999755859375,3832210
2024-02-07,756.8585205078125,760.75,787.760009765625,757.0,766.5999755859375,3818230
2024-02-08,772.0703125,776.0399780273438,779.6199951171875,757.0,764.8200073242188,3430700
2024-02-09,762.061767578125,765.97998046875,798.0,750.4199829101562,780.0399780273438,3502505
2024-02-12,694.2205810546875,697.7899780273438,757.0,691.1099853515625,757.0,6860495
2024-02-13,680.1727905273438,683.6699829101562,713.969970703125,674.0,697.77001953125,6016610
2024-02-14,668.1446533203125,671.5800170898438,683.3300170898438,658.4000244140625,678.6599731445312,5036530
2024-02-15,687.2763061523438,690.8099975585938,699.5999755859375,670.2899780273438,679.5999755859375,2788730
2024-02-16,713.2825317382812,716.9500122070312,725.2100219726562,687.1400146484375,697.5999755859375,3983305
2024-02-19,737.9855346679688,741.780029296875,744.989990234375,718.6099853515625,722.7999877929688,2963910
2024-02-20,737.81640625,741.6099853515625,753.2000122070312,738.2100219726562,743.0,2254720
2024-02-21,727.0517578125,730.7899780273438,751.2000122070312,727.1300048828125,746.7100219726562,2575725
2024-02-22,729.8473510742188,733.5999755859375,737.4000244140625,721.3099975585938,737.4000244140625,1719710
2024-02-23,731.6282348632812,735.3900146484375,743.0,727.2000122070312,737.47998046875,1057725
2024-02-26,728.9718627929688,732.719970703125,741.0,724.75,735.989990234375,1197375
2024-02-27,740.2439575195312,744.0499877929688,749.97998046875,730.5,732.97998046875,3279445
2024-02-28,728.2655029296875,732.010009765625,751.5999755859375,730.0,746.3400268554688,1711395
2024-02-29,748.9093627929688,752.760009765625,757.780029296875,728.0,735.5800170898438,2732155
2024-03-01,760.0421142578125,763.9500122070312,775.5700073242188,760.010009765625,767.0,3614265
2024-03-04,737.7467041015625,741.5399780273438,768.7999877929688,738.2100219726562,768.0,1346790
2024-03-05,711.5315551757812,715.1900024414062,747.3499755859375,713.0,741.5999755859375,1683275
2024-03-06,699.4835205078125,703.0800170898438,719.6699829101562,691.5999755859375,719.6699829101562,2672615
2024-03-07,719.6896362304688,723.3900146484375,725.0,699.0,708.0,2714940
