date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2024-02-20,28380.15625,29191.05078125,29519.0,29070.0,29487.80078125,7538
2024-02-21,28322.111328125,29131.349609375,29348.099609375,28999.94921875,29245.0,7813
2024-02-22,28054.216796875,28855.80078125,29334.599609375,28712.19921875,29131.349609375,13290
2024-02-23,27910.328125,28707.80078125,28989.150390625,28557.0,28855.80078125,8697
2024-02-26,27668.05078125,28458.599609375,28815.25,27618.099609375,28600.0,48847
2024-02-27,27873.919921875,28670.349609375,28792.0,28480.0,28480.0,6347
2024-02-28,27815.24609375,28610.0,29041.0,28464.900390625,28650.75,15458
2024-02-29,27644.328125,28434.19921875,28699.150390625,28100.0,28610.0,15096
2024-03-01,27432.822265625,28216.650390625,28648.849609375,28166.0,28569.0,9277
2024-03-04,26839.134765625,27606.0,28317.650390625,27507.0,28172.05078125,14704
2024-03-05,26610.12890625,27370.44921875,27749.94921875,27270.05078125,27749.94921875,6108
2024-03-06,26562.5390625,27321.5,27519.94921875,27010.0,27255.0,9022
2024-03-07,26672.8359375,27434.94921875,27768.19921875,27313.650390625,27321.5,4563
2024-03-11,26473.14453125,27229.55078125,27699.94921875,26861.44921875,27699.94921875,18245
2024-03-12,26243.84375,26993.69921875,27400.0,26929.30078125,27000.0,7102
2024-03-13,26640.751953125,27401.94921875,27527.400390625,26829.0,27000.0,12992
2024-03-14,27521.73046875,28308.099609375,28599.69921875,27250.0,27666.0,31673
2024-03-15,27615.306640625,28404.349609375,28583.5,28071.849609375,28308.099609375,14070
2024-03-18,27809.55859375,28604.150390625,28750.0,27832.05078125,28750.0,19878
2024-03-19,27505.59375,28291.5,28800.0,28203.400390625,28800.0,9557
2024-03-20,26919.63671875,27688.80078125,28278.75,27603.0,28200.05078125,11001
2024-03-21,26904.517578125,27673.25,27997.44921875,27501.0,27900.0,9629
2024-03-22,26315.205078125,27067.099609375,27983.650390625,26820.05078125,27810.25,21967
2024-03-26,25959.326171875,26701.05078125,27199.0,26550.650390625,27199.0,14019
2024-03-27,25969.046875,26711.05078125,26916.400390625,26426.30078125,26900.0,17617
2024-03-28,26367.416015625,27120.80078125,27229.900390625,26715.0,26858.400390625,33995
2024-04-01,26756.7890625,27521.30078125,27578.849609375,27100.0,27275.0,12958
2024-04-02,26525.009765625,27282.900390625,27700.0,27250.0,27639.0,8694
2024-04-03,25972.349609375,26714.44921875,27379.25,26685.44921875,27312.55078125,17085
2024-04-04,25867.302734375,26606.400390625,26877.80078125,26428.25,26799.900390625,12556
2024-04-05,25896.95703125,26636.900390625,26893.099609375,26570.0,26699.94921875,8001
2024-04-08,25667.025390625,26400.400390625,26832.25,26356.599609375,26783.80078125,15077
2024-04-09,25686.568359375,26420.5,26694.849609375,26262.0,26405.0,29893
2024-04-10,26271.166015625,27021.80078125,27238.900390625,26421.0,26421.0,16752
2024-04-12,25710.046875,26444.650390625,27275.0,26401.0,26950.0,12842
2024-04-15,25491.39453125,26219.75,26499.94921875,26107.55078125,26444.650390625,22533
2024-04-16,25418.4765625,26144.75,26484.5,26057.150390625,26240.0,12154
2024-04-18,25341.13671875,26065.19921875,26416.69921875,25986.0,26224.0,9484
2024-04-19,25402.193359375,26128.0,26290.30078125,25705.25,25990.0,19821
2024-04-22,25584.970703125,26316.0,26578.80078125,26082.80078125,26249.900390625,12690
2024-04-23,25010.484375,25725.099609375,26250.0,25664.05078125,26250.0,34185
2024-04-24,24745.505859375,25452.55078125,25867.849609375,25355.55078125,25849.94921875,16823
2024-04-25,24961.2421875,25674.44921875,25745.25,25200.0,25549.94921875,23811
2024-04-26,25175.666015625,25895.0,25991.94921875,25675.05078125,25825.400390625,7664
2024-04-29,25559.302734375,26289.599609375,26506.94921875,25808.400390625,26039.94921875,15391
2024-04-30,25711.408203125,26446.05078125,26645.25,26148.75,26369.25,14089
2024-05-02,25903.2265625,26643.349609375,26766.0,26255.0,26499.94921875,8210
2024-05-03,25420.275390625,26146.599609375,26849.94921875,26056.150390625,26790.30078125,15129
2024-05-06,25057.103515625,25773.05078125,26300.0,25620.150390625,26120.05078125,10562
2024-05-07,25020.060546875,25734.94921875,25937.94921875,25408.650390625,25937.94921875,8782
2024-05-08,25216.40234375,25936.900390625,25969.0,25514.5,25800.0,6455
2024-05-09,24852.3046875,25562.400390625,26099.75,25451.150390625,26065.0,10283
2024-05-10,25637.955078125,26370.5,26800.0,25796.80078125,25800.0,50453
2024-05-13,26327.455078125,27079.69921875,27118.94921875,26051.75,26570.0,17401
2024-05-14,26034.52734375,26778.400390625,27216.5,26750.0,27100.0,8340
2024-05-15,25677.28125,26410.94921875,26862.55078125,26337.5,26862.55078125,6434
2024-05-16,25805.2265625,26542.55078125,26663.900390625,26180.05078125,26600.0,10430
2024-05-17,25755.546875,26491.44921875,26642.69921875,26288.05078125,26600.0,5257
2024-05-21,25704.310546875,26438.75,26755.0,26341.25,26650.0,7268
2024-05-22,25468.49609375,26196.19921875,26465.150390625,26132.0,26438.75,8311
2024-05-23,25384.302734375,26109.599609375,26278.55078125,25718.0,26254.80078125,11152
2024-05-24,25464.462890625,26192.05078125,26347.19921875,26000.0,26161.5,8677
