date_,adj close_dabur.ns,close_dabur.ns,high_dabur.ns,low_dabur.ns,open_dabur.ns,volume_dabur.ns
2024-01-16,545.1795043945312,558.7999877929688,561.9000244140625,552.9500122070312,556.1500244140625,2027207
2024-01-17,536.0574340820312,549.4500122070312,557.8499755859375,546.0999755859375,557.8499755859375,2075918
2024-01-18,526.3011474609375,539.4500122070312,549.9500122070312,535.3499755859375,546.2000122070312,1520695
2024-01-19,529.0816650390625,542.2999877929688,543.9500122070312,539.5499877929688,543.25,1965102
2024-01-23,512.0082397460938,524.7999877929688,544.4000244140625,522.5999755859375,544.4000244140625,2256565
2024-01-24,523.5205688476562,536.5999755859375,537.4000244140625,522.2000122070312,525.75,914551
2024-01-25,518.6424560546875,531.5999755859375,537.5499877929688,529.0499877929688,536.5999755859375,924085
2024-01-29,521.2278442382812,534.25,535.9500122070312,515.0,515.0,1316110
2024-01-30,522.886474609375,535.9500122070312,537.7000122070312,533.25,534.25,1603876
2024-01-31,526.447509765625,539.5999755859375,545.5999755859375,534.0,535.9500122070312,3475918
2024-02-01,540.8867797851562,554.4000244140625,575.5,547.0,547.0,11117689
2024-02-02,531.3743896484375,544.6500244140625,559.0,539.75,554.5,3318354
2024-02-05,520.642578125,533.6500244140625,544.7999877929688,532.2999877929688,543.0,1417520
2024-02-06,519.7156982421875,532.7000122070312,537.4000244140625,531.25,534.25,1247440
2024-02-07,524.3010864257812,537.4000244140625,538.4500122070312,530.6500244140625,533.1500244140625,1784199
2024-02-08,520.9352416992188,533.9500122070312,541.0,532.0,539.7000122070312,1488521
2024-02-09,526.0571899414062,539.2000122070312,540.0,528.6500244140625,534.9000244140625,1786915
2024-02-12,523.4718017578125,536.5499877929688,543.75,535.4000244140625,539.2000122070312,1454041
2024-02-13,525.6182250976562,538.75,539.9000244140625,531.1500244140625,536.3499755859375,725665
2024-02-14,531.032958984375,544.2999877929688,545.25,533.25,533.5499877929688,828939
2024-02-15,530.9353637695312,544.2000122070312,547.3499755859375,540.9000244140625,545.9500122070312,1006711
2024-02-16,531.22802734375,544.5,547.8499755859375,541.0,545.0999755859375,839405
2024-02-19,534.30126953125,547.6500244140625,550.2000122070312,540.25,545.0,1353397
2024-02-20,534.2036743164062,547.5499877929688,551.2000122070312,543.0,551.2000122070312,1057848
2024-02-21,532.9841918945312,546.2999877929688,549.8499755859375,544.3499755859375,547.5999755859375,1636393
2024-02-22,528.3987426757812,541.5999755859375,546.5,538.6500244140625,546.5,1264327
2024-02-23,522.2522583007812,535.2999877929688,544.5499877929688,534.25,542.0999755859375,1160683
2024-02-26,516.3497314453125,529.25,537.0999755859375,526.8499755859375,534.1500244140625,1180365
2024-02-27,522.544921875,535.5999755859375,538.2000122070312,526.0,527.9000244140625,2954271
2024-02-28,523.1791381835938,536.25,541.4500122070312,531.9000244140625,535.3499755859375,2697005
2024-02-29,525.0328369140625,538.1500244140625,539.3499755859375,532.2999877929688,536.2999877929688,2453976
