date_,adj close_pgel.ns,close_pgel.ns,high_pgel.ns,low_pgel.ns,open_pgel.ns,volume_pgel.ns
2024-01-16,206.87132263183594,207.02999877929688,213.0,206.0,207.5,822340
2024-01-17,211.5577392578125,211.72000122070312,214.0,202.6999969482422,205.98500061035156,500040
2024-01-18,209.7841033935547,209.94500732421875,212.60000610351562,205.5500030517578,212.60000610351562,350880
2024-01-19,209.58424377441406,209.7449951171875,214.5,208.10499572753906,212.89999389648438,259900
2024-01-23,206.3717041015625,206.52999877929688,211.47500610351562,204.27000427246094,207.05499267578125,276670
2024-01-24,208.335205078125,208.4949951171875,212.77499389648438,205.40499877929688,206.93499755859375,283130
2024-01-25,206.01199340820312,206.1699981689453,209.76499938964844,205.10499572753906,208.49000549316406,129740
2024-01-29,199.38206481933594,199.53500366210938,205.22500610351562,183.23500061035156,183.23500061035156,2048900
2024-01-30,197.3686065673828,197.52000427246094,200.7899932861328,194.0050048828125,199.47500610351562,731660
2024-01-31,192.92701721191406,193.0749969482422,201.03500366210938,191.52499389648438,197.86000061035156,1400590
2024-02-01,192.68222045898438,192.8300018310547,198.19500732421875,190.7050018310547,193.2899932861328,361260
2024-02-02,198.62265014648438,198.77499389648438,202.64999389648438,192.39500427246094,193.1300048828125,421610
2024-02-05,193.0319366455078,193.17999267578125,201.88999938964844,192.4499969482422,201.4550018310547,587330
2024-02-06,196.2694549560547,196.4199981689453,197.89999389648438,193.6999969482422,193.6999969482422,361240
2024-02-07,205.882080078125,206.0399932861328,209.10000610351562,195.10000610351562,197.7949981689453,1186970
2024-02-08,199.31712341308594,199.47000122070312,208.9199981689453,198.0,208.9199981689453,677590
2024-02-09,199.96661376953125,200.1199951171875,203.69000244140625,195.0,198.10000610351562,664310
2024-02-12,183.92393493652344,184.06500244140625,203.2899932861328,179.97000122070312,202.4949951171875,643090
2024-02-13,186.5319366455078,186.6750030517578,202.5,181.0,186.8249969482422,1754590
2024-02-14,177.00424194335938,177.13999938964844,187.19500732421875,174.0749969482422,186.1999969482422,1138190
2024-02-15,184.0438232421875,184.18499755859375,192.39999389648438,177.13999938964844,177.13999938964844,1961770
2024-02-16,186.98158264160156,187.125,188.9949951171875,183.92999267578125,187.5,1384010
2024-02-19,187.9958038330078,188.13999938964844,192.0,185.5050048828125,189.6300048828125,1210220
