date_,adj close_mrpl.ns,close_mrpl.ns,high_mrpl.ns,low_mrpl.ns,open_mrpl.ns,volume_mrpl.ns
2024-01-16,171.36297607421875,174.0500030517578,179.5,169.35000610351562,171.0,14606264
2024-01-17,168.55697631835938,171.1999969482422,176.60000610351562,168.35000610351562,171.0500030517578,6900079
2024-01-18,174.85816955566406,177.60000610351562,179.75,164.0,171.1999969482422,8865480
2024-01-19,174.26744079589844,177.0,181.39999389648438,175.5500030517578,180.0,7352246
2024-01-23,168.2615966796875,170.89999389648438,178.89999389648438,160.5500030517578,169.8000030517578,12034231
2024-01-24,169.09848022460938,171.75,173.5,165.9499969482422,170.89999389648438,3519120
2024-01-25,171.7075653076172,174.39999389648438,177.5500030517578,171.25,171.64999389648438,3270472
2024-01-29,176.82730102539062,179.60000610351562,184.25,173.0,175.4499969482422,10262174
2024-01-30,176.5319366455078,179.3000030517578,184.10000610351562,176.64999389648438,181.0500030517578,4830130
2024-01-31,174.31666564941406,177.0500030517578,180.6999969482422,176.0,179.3000030517578,1877284
2024-02-01,175.89195251464844,178.64999389648438,182.35000610351562,176.0,178.39999389648438,3964871
2024-02-02,189.70391845703125,191.60000610351562,198.8000030517578,180.0,181.0,21839790
2024-02-05,195.0504608154297,197.0,206.35000610351562,192.5,193.14999389648438,14970646
2024-02-06,192.17916870117188,194.10000610351562,198.85000610351562,187.85000610351562,198.25,6303984
2024-02-07,200.59506225585938,202.60000610351562,203.6999969482422,195.39999389648438,195.39999389648438,7860261
2024-02-08,198.8623809814453,200.85000610351562,206.8000030517578,198.5,203.8000030517578,4596283
2024-02-09,187.7237091064453,189.60000610351562,202.0,176.64999389648438,200.85000610351562,7116572
2024-02-12,183.11972045898438,184.9499969482422,195.14999389648438,174.64999389648438,188.6999969482422,9104566
2024-02-13,180.89198303222656,182.6999969482422,187.6999969482422,179.0,183.9499969482422,3048091
2024-02-14,201.9316864013672,203.9499969482422,209.0,176.75,178.0,21364386
2024-02-15,241.98138427734375,244.39999389648438,244.6999969482422,203.1999969482422,205.35000610351562,65831941
2024-02-16,238.66455078125,241.0500030517578,248.64999389648438,231.0500030517578,239.6999969482422,35332362
2024-02-19,283.26873779296875,286.1000061035156,289.25,247.8000030517578,252.0,46170497
2024-02-20,270.49639892578125,273.20001220703125,286.8999938964844,268.54998779296875,286.8999938964844,13275282
2024-02-21,249.70419311523438,252.1999969482422,285.0,248.0,276.0,14377886
2024-02-22,250.54579162597656,253.0500030517578,259.8999938964844,242.75,256.79998779296875,10444602
2024-02-23,243.41705322265625,245.85000610351562,255.8000030517578,244.1999969482422,255.8000030517578,5802449
2024-02-26,241.13980102539062,243.5500030517578,251.25,236.60000610351562,246.10000610351562,5913775
2024-02-27,233.2684783935547,235.60000610351562,247.25,234.5,244.0,3932890
2024-02-28,227.87240600585938,230.14999389648438,251.39999389648438,228.0,236.0,11976447
2024-02-29,225.54566955566406,227.8000030517578,235.64999389648438,225.64999389648438,232.0,3609539
2024-03-01,226.88230895996094,229.14999389648438,237.89999389648438,228.0500030517578,230.39999389648438,4075258
2024-03-04,226.88230895996094,229.14999389648438,234.39999389648438,226.0500030517578,234.0500030517578,3067083
2024-03-05,237.32789611816406,239.6999969482422,248.39999389648438,228.6999969482422,229.3000030517578,13556465
2024-03-06,232.27838134765625,234.60000610351562,243.6999969482422,228.25,239.85000610351562,4397666
2024-03-07,230.89222717285156,233.1999969482422,237.10000610351562,231.14999389648438,234.64999389648438,2873368
2024-03-11,216.6842498779297,218.85000610351562,234.4499969482422,217.0,233.6999969482422,3025137
2024-03-12,207.92181396484375,210.0,221.60000610351562,205.5500030517578,218.85000610351562,5119228
2024-03-13,187.129638671875,189.0,214.1999969482422,189.0,210.0,5564331
2024-03-14,205.84259033203125,207.89999389648438,207.89999389648438,182.10000610351562,187.0,5621377
2024-03-15,213.51589965820312,215.64999389648438,218.5,196.64999389648438,207.5,8757494
2024-03-18,209.80300903320312,211.89999389648438,221.9499969482422,208.25,208.25,5533738
2024-03-19,217.82286071777344,220.0,232.1999969482422,209.0500030517578,212.85000610351562,16535076
2024-03-20,216.63473510742188,218.8000030517578,227.0,215.14999389648438,222.0,8298617
2024-03-21,215.7931365966797,217.9499969482422,226.0,216.3000030517578,221.35000610351562,4241829
2024-03-22,219.2584991455078,221.4499969482422,225.6999969482422,216.39999389648438,218.5,4627479
2024-03-26,221.53575134277344,223.75,230.39999389648438,217.8000030517578,222.5,7148180
2024-03-27,217.52581787109375,219.6999969482422,227.5500030517578,218.0500030517578,224.0,3949031
2024-03-28,216.38720703125,218.5500030517578,222.60000610351562,216.6999969482422,219.6999969482422,2480435
2024-04-01,226.48626708984375,228.75,229.5,219.0,219.0,4538462
2024-04-02,235.44671630859375,237.8000030517578,239.89999389648438,231.0,231.1999969482422,7370309
2024-04-03,235.34768676757812,237.6999969482422,244.89999389648438,236.0,238.9499969482422,5978189
2024-04-04,232.62490844726562,234.9499969482422,239.8000030517578,232.5,239.0,2284008
2024-04-05,235.8922576904297,238.25,242.60000610351562,230.0500030517578,235.5500030517578,4515447
2024-04-08,230.84271240234375,233.14999389648438,241.35000610351562,232.35000610351562,240.3000030517578,2431771
2024-04-09,224.95159912109375,227.1999969482422,235.3000030517578,225.0,234.0,2256475
2024-04-10,221.28822326660156,223.5,229.39999389648438,222.39999389648438,227.25,2405692
2024-04-12,219.7040557861328,221.89999389648438,230.89999389648438,220.8000030517578,223.4499969482422,4528615
2024-04-15,220.69415283203125,222.89999389648438,229.8000030517578,209.10000610351562,217.8000030517578,7422162
2024-04-16,223.16941833496094,225.39999389648438,228.39999389648438,221.0500030517578,222.60000610351562,2884823
2024-04-18,220.94168090820312,223.14999389648438,233.6999969482422,221.8000030517578,225.39999389648438,3214220
2024-04-19,224.7535858154297,227.0,229.0,215.75,221.89999389648438,4323901
2024-04-22,220.99118041992188,223.1999969482422,230.0,222.35000610351562,229.0,2197288
2024-04-23,222.3278350830078,224.5500030517578,228.89999389648438,223.0,224.8000030517578,1921727
2024-04-24,246.23883056640625,248.6999969482422,253.6999969482422,225.10000610351562,226.25,39849649
2024-04-25,247.5754852294922,250.0500030517578,256.70001220703125,246.14999389648438,250.9499969482422,16189162
2024-04-26,248.46656799316406,250.9499969482422,259.20001220703125,245.64999389648438,251.10000610351562,13778089
2024-04-29,247.9715118408203,250.4499969482422,256.8999938964844,248.5,252.4499969482422,5756512
2024-04-30,247.6744842529297,250.14999389648438,259.8999938964844,248.0,251.75,7059373
2024-05-02,251.53590393066406,254.0500030517578,257.1499938964844,246.14999389648438,251.39999389648438,5786927
2024-05-03,249.01112365722656,251.5,258.6000061035156,248.0,255.35000610351562,5741569
2024-05-06,226.78329467773438,229.0500030517578,256.5,228.0,254.0,11818155
2024-05-07,212.57530212402344,214.6999969482422,233.89999389648438,214.0,231.14999389648438,8075118
2024-05-08,219.5555419921875,221.75,227.35000610351562,215.5,215.8000030517578,6688582
2024-05-09,212.32777404785156,214.4499969482422,222.64999389648438,213.14999389648438,222.0,3380710
2024-05-10,208.4663848876953,210.5500030517578,218.35000610351562,207.39999389648438,218.0,4939616
2024-05-13,203.36734008789062,205.39999389648438,210.8000030517578,199.5,210.8000030517578,5939153
2024-05-14,207.872314453125,209.9499969482422,214.4499969482422,204.5,206.0,6823380
2024-05-15,208.3673553466797,210.4499969482422,213.64999389648438,209.64999389648438,210.60000610351562,3590719
2024-05-16,206.63467407226562,208.6999969482422,216.8000030517578,208.0,211.8000030517578,3620949
2024-05-17,207.12973022460938,209.1999969482422,211.3000030517578,207.3000030517578,210.0,3268675
2024-05-21,209.85252380371094,211.9499969482422,216.4499969482422,210.0,214.0,3667361
2024-05-22,207.52578735351562,209.60000610351562,214.75,208.5,213.6999969482422,3170858
2024-05-23,209.75352478027344,211.85000610351562,216.8000030517578,210.10000610351562,210.3000030517578,4315317
2024-05-24,216.4862060546875,218.64999389648438,222.60000610351562,210.5500030517578,212.85000610351562,10440953
2024-05-27,216.09017944335938,218.25,222.5,216.1999969482422,220.60000610351562,4299274
2024-05-28,211.78321838378906,213.89999389648438,220.0,211.5,220.0,3148044
2024-05-29,213.56541442871094,215.6999969482422,216.35000610351562,210.25,212.6999969482422,2602678
2024-05-30,205.2980499267578,207.35000610351562,216.35000610351562,206.0,214.0,2077745
2024-05-31,201.1396026611328,203.14999389648438,210.6999969482422,201.35000610351562,208.0,3843161
