date_,adj close_pnbhousing.ns,close_pnbhousing.ns,high_pnbhousing.ns,low_pnbhousing.ns,open_pnbhousing.ns,volume_pnbhousing.ns
2024-01-16,843.70068359375,848.0,894.7000122070312,789.4500122070312,792.9500122070312,5808372
2024-01-17,823.3543090820312,827.5499877929688,858.9500122070312,824.0999755859375,839.0,890526
2024-01-18,851.859130859375,856.2000122070312,905.5,810.5499877929688,828.0,4190153
2024-01-19,872.4541625976562,876.9000244140625,888.0,848.5,864.7000122070312,852386
2024-01-23,859.2215576171875,863.5999755859375,906.4500122070312,851.0,894.0499877929688,838140
2024-01-24,855.4408569335938,859.7999877929688,863.0,842.5499877929688,863.0,336373
2024-01-25,816.7380981445312,820.9000244140625,913.7000122070312,806.0,830.0,5908270
2024-01-29,787.2384033203125,791.25,834.4000244140625,783.3499755859375,826.7999877929688,1085733
2024-01-30,759.2808837890625,763.1500244140625,802.9000244140625,758.0,795.25,752715
2024-01-31,780.6220703125,784.5999755859375,797.7999877929688,766.8499755859375,770.0,1114473
2024-02-01,815.9420776367188,820.0999755859375,825.7999877929688,783.75,785.9500122070312,1437043
2024-02-02,796.8394775390625,800.9000244140625,839.9000244140625,792.0,829.0,987425
2024-02-05,787.6860961914062,791.7000122070312,821.7000122070312,785.0,806.5,418736
2024-02-06,802.4608154296875,806.5499877929688,814.0,796.0,799.6500244140625,287970
2024-02-07,817.1360473632812,821.2999877929688,845.5999755859375,811.0499877929688,817.9000244140625,915164
2024-02-08,804.45068359375,808.5499877929688,832.9500122070312,805.0499877929688,828.0,388707
2024-02-09,821.6629638671875,825.8499755859375,835.0,804.6500244140625,814.5,548583
2024-02-12,783.358154296875,787.3499755859375,844.4000244140625,782.0999755859375,829.7999877929688,606281
2024-02-13,773.757080078125,777.7000122070312,801.4000244140625,774.0,800.0,460021
2024-02-14,779.9754028320312,783.9500122070312,787.3499755859375,766.0,773.0,235047
2024-02-15,777.8860473632812,781.8499755859375,793.7999877929688,778.7000122070312,787.7999877929688,221032
2024-02-16,764.9022216796875,768.7999877929688,791.0,763.7999877929688,788.0,546443
2024-02-19,743.4117431640625,747.2000122070312,781.75,743.3499755859375,760.5999755859375,621984
2024-02-20,738.9345703125,742.7000122070312,761.4000244140625,741.0,749.8499755859375,383116
2024-02-21,723.0653686523438,726.75,755.0,722.0,745.2000122070312,405819
2024-02-22,713.1160888671875,716.75,738.8499755859375,712.0,730.0999755859375,399739
2024-02-23,699.1870727539062,702.75,729.8499755859375,697.4000244140625,722.7999877929688,762342
2024-02-26,720.2796020507812,723.9500122070312,748.0999755859375,710.0,712.4000244140625,1511972
2024-02-27,711.4744262695312,715.0999755859375,728.7000122070312,709.0,723.9500122070312,332979
2024-02-28,698.192138671875,701.75,721.5,698.0,718.9000244140625,306449
2024-02-29,690.7301635742188,694.25,704.9500122070312,683.2000122070312,700.8499755859375,469003
2024-03-01,721.77197265625,725.4500122070312,729.7999877929688,693.3499755859375,700.0,645012
2024-03-04,716.2003784179688,719.8499755859375,735.7999877929688,716.5,735.7999877929688,279683
2024-03-05,689.6358032226562,693.1500244140625,719.9000244140625,690.9000244140625,715.0,855259
2024-03-06,672.7219848632812,676.1500244140625,696.9500122070312,665.1500244140625,694.9000244140625,473863
2024-03-07,699.23681640625,702.7999877929688,708.0,679.0,679.0,905055
2024-03-11,674.6123046875,678.0499877929688,704.7000122070312,674.0,702.0499877929688,260725
2024-03-12,657.7482299804688,661.0999755859375,681.8499755859375,658.0,681.8499755859375,372296
2024-03-13,608.7479248046875,611.8499755859375,664.5,604.0,663.0,431935
2024-03-14,643.4212646484375,646.7000122070312,651.9500122070312,607.6500244140625,610.0,439848
2024-03-15,624.0201416015625,627.2000122070312,648.4500122070312,621.2999877929688,646.7000122070312,381903
2024-03-18,621.5327758789062,624.7000122070312,644.7000122070312,620.0,627.7999877929688,431101
2024-03-19,623.6221313476562,626.7999877929688,640.8499755859375,621.2999877929688,624.8499755859375,386363
2024-03-20,610.140869140625,613.25,634.0,610.0,626.7999877929688,513138
2024-03-21,639.2425537109375,642.5,645.4000244140625,623.0,623.0,355268
2024-03-22,636.9044799804688,640.1500244140625,653.5,635.2999877929688,639.5,318661
2024-03-26,625.4129638671875,628.5999755859375,647.7000122070312,625.0,640.0,322057
2024-03-27,627.1541137695312,630.3499755859375,645.9000244140625,624.4500122070312,631.0,619023
2024-03-28,626.6566772460938,629.8499755859375,639.2999877929688,625.4500122070312,633.5499877929688,271310
2024-04-01,745.5010375976562,749.2999877929688,755.7999877929688,651.0,651.0,9716605
2024-04-02,720.3790893554688,724.0499877929688,747.8499755859375,721.0,745.2000122070312,2358853
2024-04-03,731.2735595703125,735.0,743.0,717.6500244140625,720.0,1229166
2024-04-04,765.7479248046875,769.6500244140625,794.0,735.0,735.0,4485487
2024-04-05,768.3844604492188,772.2999877929688,778.25,758.2999877929688,767.9000244140625,740149
2024-04-08,760.027099609375,763.9000244140625,774.0,759.0,773.9000244140625,543094
2024-04-09,760.6240234375,764.5,794.5999755859375,760.5499877929688,766.7999877929688,1116656
2024-04-10,765.1011962890625,769.0,772.3499755859375,758.9000244140625,765.0999755859375,268151
