date_,adj close_balkrisind.ns,close_balkrisind.ns,high_balkrisind.ns,low_balkrisind.ns,open_balkrisind.ns,volume_balkrisind.ns
2024-01-16,2576.078125,2606.85009765625,2675.60009765625,2599.85009765625,2675.60009765625,145483
2024-01-17,2525.679931640625,2555.85009765625,2606.60009765625,2549.39990234375,2586.5,156785
2024-01-18,2532.20166015625,2562.449951171875,2590.89990234375,2510.800048828125,2555.0,237036
2024-01-19,2610.763427734375,2641.949951171875,2652.0,2572.0,2583.89990234375,216875
2024-01-23,2590.99951171875,2621.949951171875,2782.64990234375,2606.85009765625,2779.800048828125,333172
2024-01-24,2682.506103515625,2714.550048828125,2732.050048828125,2610.800048828125,2621.949951171875,262223
2024-01-25,2497.17041015625,2527.0,2755.89990234375,2495.0,2710.0,911365
2024-01-29,2479.086181640625,2508.699951171875,2550.0,2484.449951171875,2550.0,599618
2024-01-30,2423.203857421875,2452.14990234375,2541.75,2450.0,2530.0,301527
2024-01-31,2425.279296875,2454.25,2467.050048828125,2424.0,2457.5,404937
2024-02-01,2407.73828125,2436.5,2494.0,2421.35009765625,2464.949951171875,234190
2024-02-02,2427.436279296875,2452.39990234375,2478.75,2430.14990234375,2449.89990234375,264382
2024-02-05,2386.0615234375,2410.60009765625,2482.0,2400.0,2458.89990234375,414992
2024-02-06,2357.901123046875,2382.14990234375,2420.64990234375,2378.10009765625,2411.949951171875,373510
2024-02-07,2325.484375,2349.39990234375,2404.0,2344.0,2402.85009765625,467803
2024-02-08,2287.97021484375,2311.5,2365.64990234375,2304.0,2349.39990234375,194937
2024-02-09,2274.11279296875,2297.5,2330.0,2279.35009765625,2330.0,268270
2024-02-12,2320.63427734375,2344.5,2356.89990234375,2280.10009765625,2309.949951171875,612117
2024-02-13,2292.028564453125,2315.60009765625,2351.949951171875,2293.14990234375,2350.0,221202
2024-02-14,2327.117431640625,2351.050048828125,2361.89990234375,2285.60009765625,2309.949951171875,119297
2024-02-15,2311.0830078125,2334.85009765625,2373.64990234375,2330.0,2365.0,127649
2024-02-16,2315.932861328125,2339.75,2359.300048828125,2332.699951171875,2340.0,135488
2024-02-19,2300.19482421875,2323.85009765625,2344.949951171875,2313.0,2340.0,135084
2024-02-20,2271.193115234375,2294.550048828125,2327.5,2277.550048828125,2324.0,237725
2024-02-21,2234.81689453125,2257.800048828125,2312.0,2251.0,2294.550048828125,209004
2024-02-22,2257.137451171875,2280.35009765625,2287.0,2252.800048828125,2267.550048828125,114899
2024-02-23,2309.74658203125,2333.5,2353.199951171875,2286.5,2286.5,303936
2024-02-26,2266.83740234375,2290.14990234375,2333.0,2267.050048828125,2332.949951171875,721204
