date_,adj close_bls.ns,close_bls.ns,high_bls.ns,low_bls.ns,open_bls.ns,volume_bls.ns
2024-01-16,385.3462219238281,387.3500061035156,412.8999938964844,385.25,401.0,8448596
2024-01-17,391.0664978027344,393.1000061035156,394.5,376.6499938964844,380.0,3466664
2024-01-18,387.485107421875,389.5,396.0,380.29998779296875,393.1000061035156,1490964
2024-01-19,389.8229675292969,391.8500061035156,399.0,387.29998779296875,392.25,2313808
2024-01-23,375.4974365234375,377.45001220703125,394.75,375.0,394.0,1454238
2024-01-24,391.713134765625,393.75,397.29998779296875,375.25,380.0,4181903
2024-01-25,387.3856201171875,389.3999938964844,397.29998779296875,387.79998779296875,396.5,919080
2024-01-29,399.52252197265625,401.6000061035156,408.6499938964844,391.5,392.70001220703125,4457052
2024-01-30,407.3319091796875,409.45001220703125,419.0,403.25,405.0,5180401
2024-01-31,417.82733154296875,420.0,422.3500061035156,401.1499938964844,412.8999938964844,6680087
2024-02-01,411.9081115722656,414.04998779296875,429.95001220703125,411.29998779296875,426.0,6608029
2024-02-02,409.3215637207031,411.45001220703125,422.0,410.0,417.0,4885615
2024-02-05,399.0748291015625,401.1499938964844,415.6000061035156,395.04998779296875,412.0,2617396
2024-02-06,402.4075012207031,404.5,412.45001220703125,391.04998779296875,404.0,4713014
2024-02-07,392.70794677734375,394.75,408.1499938964844,393.0,405.0,2146706
2024-02-08,393.75250244140625,395.79998779296875,400.0,377.5,394.3999938964844,2553133
2024-02-09,382.9089050292969,384.8999938964844,397.8999938964844,381.04998779296875,395.79998779296875,1373901
2024-02-12,361.022705078125,362.8999938964844,388.6499938964844,356.1000061035156,385.0,1761725
2024-02-13,365.39996337890625,367.29998779296875,383.54998779296875,364.0,369.0,2453532
2024-02-14,359.2320556640625,361.1000061035156,366.8999938964844,360.0,364.0,1036026
2024-02-15,360.9232177734375,362.79998779296875,368.0,360.0,364.70001220703125,3216539
2024-02-16,361.17193603515625,363.04998779296875,375.0,359.0,365.45001220703125,1949143
2024-02-19,381.4664306640625,383.45001220703125,397.0,366.0,366.0,5408581
2024-02-20,384.1524353027344,386.1499938964844,395.8500061035156,381.1499938964844,384.95001220703125,2231203
2024-02-21,377.1389465332031,379.1000061035156,392.5,372.6000061035156,387.8999938964844,1228317
2024-02-22,374.0549621582031,376.0,382.5,370.6499938964844,379.0,1354219
2024-02-23,371.6143493652344,373.04998779296875,381.8999938964844,371.54998779296875,376.29998779296875,2339054
2024-02-26,366.0857238769531,367.5,376.3999938964844,366.0,373.20001220703125,810312
2024-02-27,373.756103515625,375.20001220703125,383.20001220703125,367.75,367.75,4836300
2024-02-28,365.438232421875,366.8500061035156,380.8500061035156,365.1000061035156,378.20001220703125,1029148
2024-02-29,364.6911315917969,366.1000061035156,374.0,352.1000061035156,363.1000061035156,2837570
2024-03-01,373.0090026855469,374.45001220703125,377.0,368.6000061035156,368.6000061035156,1265406
2024-03-04,357.91729736328125,359.29998779296875,373.0,357.5,372.29998779296875,2192323
2024-03-05,355.2774658203125,356.6499938964844,362.29998779296875,351.75,359.0,2586583
2024-03-06,346.9595947265625,348.29998779296875,355.3999938964844,343.0,355.3999938964844,3949692
2024-03-07,344.31982421875,345.6499938964844,354.70001220703125,342.6499938964844,349.0,754811
2024-03-11,332.81427001953125,334.1000061035156,346.3500061035156,329.0,345.6499938964844,1609904
2024-03-12,327.3852233886719,328.6499938964844,340.0,323.1499938964844,331.0,3208787
2024-03-13,286.8418884277344,287.95001220703125,331.45001220703125,262.95001220703125,328.0,4343236
2024-03-14,341.8294372558594,343.1499938964844,345.5,288.3999938964844,289.6000061035156,14723271
2024-03-15,352.3886413574219,353.75,372.25,331.0,337.95001220703125,15240607
2024-03-18,335.6533203125,336.95001220703125,359.0,335.45001220703125,357.70001220703125,3974240
2024-03-19,324.24737548828125,325.5,340.5,323.1000061035156,336.8999938964844,2416663
2024-03-20,318.2206726074219,319.45001220703125,345.29998779296875,316.1000061035156,326.29998779296875,6892337
2024-03-21,323.0519714355469,324.29998779296875,332.8500061035156,321.6000061035156,323.45001220703125,5306787
2024-03-22,323.0519714355469,324.29998779296875,329.8999938964844,318.5,323.54998779296875,3325709
2024-03-26,316.17852783203125,317.3999938964844,325.8999938964844,313.0,325.0,2495307
2024-03-27,315.2820129394531,316.5,325.0,315.04998779296875,319.75,1973474
2024-03-28,311.64605712890625,312.8500061035156,325.0,309.8999938964844,321.25,2033962
2024-04-01,326.63812255859375,327.8999938964844,332.8999938964844,315.70001220703125,315.8999938964844,4847514
2024-04-02,338.6915588378906,340.0,341.54998779296875,325.04998779296875,328.79998779296875,4103710
2024-04-03,343.82171630859375,345.1499938964844,348.29998779296875,336.1000061035156,340.0,2586864
2024-04-04,347.35809326171875,348.70001220703125,352.20001220703125,343.54998779296875,348.0,3064869
2024-04-05,351.49212646484375,352.8500061035156,354.95001220703125,343.8999938964844,348.95001220703125,3378633
2024-04-08,349.74884033203125,351.1000061035156,358.04998779296875,348.04998779296875,354.8999938964844,1925531
2024-04-09,340.484619140625,341.79998779296875,352.75,340.54998779296875,352.75,2071778
2024-04-10,338.2432861328125,339.54998779296875,350.3500061035156,335.79998779296875,341.04998779296875,2062110
2024-04-12,335.1552429199219,336.45001220703125,344.1499938964844,335.54998779296875,339.0,1081582
2024-04-15,329.5269470214844,330.79998779296875,332.5,321.04998779296875,322.0,3407148
2024-04-16,333.7606201171875,335.04998779296875,337.8500061035156,328.0,329.79998779296875,7543425
2024-04-18,326.33929443359375,327.6000061035156,339.0,325.8999938964844,339.0,775803
2024-04-19,321.6075439453125,322.8500061035156,324.6000061035156,318.54998779296875,320.04998779296875,1098705
2024-04-22,332.7146301269531,334.0,335.75,325.5,326.0,1418685
2024-04-23,334.1590881347656,335.45001220703125,339.0,333.5,335.75,574220
2024-04-24,335.1552429199219,336.45001220703125,339.20001220703125,335.1499938964844,339.20001220703125,878459
2024-04-25,332.3659973144531,333.6499938964844,337.8999938964844,332.0,335.0,770217
2024-04-26,328.1323547363281,329.3999938964844,335.8999938964844,327.1000061035156,335.5,1215509
2024-04-29,348.6033020019531,349.95001220703125,352.5,331.5,332.0,9875936
2024-04-30,349.1511535644531,350.5,355.0,342.04998779296875,351.0,4754386
2024-05-02,348.4538269042969,349.79998779296875,355.04998779296875,346.29998779296875,350.45001220703125,3168715
2024-05-03,346.3619384765625,347.70001220703125,354.1000061035156,344.8500061035156,350.0,1303229
2024-05-06,336.2509765625,337.54998779296875,349.8999938964844,335.0,348.04998779296875,4036299
2024-05-07,319.31640625,320.54998779296875,339.0,320.0,339.0,2448821
2024-05-08,322.1554260253906,323.3999938964844,330.1499938964844,315.1000061035156,320.70001220703125,2018137
2024-05-09,319.1669921875,320.3999938964844,330.0,318.45001220703125,323.0,1358723
2024-05-10,318.2704772949219,319.5,326.6499938964844,315.3999938964844,320.3500061035156,1353008
2024-05-13,314.2360534667969,315.45001220703125,321.70001220703125,312.5,320.95001220703125,1510267
2024-05-14,322.0558166503906,323.29998779296875,329.0,314.5,315.0,2606159
2024-05-15,320.16314697265625,321.3999938964844,332.1000061035156,318.1000061035156,326.0,2974048
2024-05-16,315.97930908203125,317.20001220703125,325.79998779296875,315.79998779296875,323.0,1411005
2024-05-17,315.032958984375,316.25,320.20001220703125,315.0,318.0,1311223
2024-05-21,317.1746826171875,318.3999938964844,325.6000061035156,315.5,318.5,3142545
2024-05-22,321.3087158203125,322.54998779296875,328.29998779296875,318.3500061035156,321.45001220703125,2467855
2024-05-23,328.1323547363281,329.3999938964844,332.6499938964844,323.0,324.3999938964844,3272710
2024-05-24,318.9677734375,320.20001220703125,333.8500061035156,320.04998779296875,330.0,3277731
2024-05-27,315.0827331542969,316.29998779296875,323.8500061035156,315.3500061035156,320.20001220703125,1818495
2024-05-28,317.92181396484375,319.1499938964844,320.8500061035156,315.8500061035156,317.8999938964844,832705
2024-05-29,312.6920166015625,313.8999938964844,320.8500061035156,312.79998779296875,320.0,1447136
2024-05-30,311.2475891113281,312.45001220703125,317.1000061035156,310.54998779296875,313.8999938964844,1274139
2024-05-31,310.10198974609375,311.29998779296875,315.6000061035156,310.8999938964844,314.3500061035156,1548331
2024-06-03,316.7264404296875,317.95001220703125,335.0,316.25,326.0,1699597
2024-06-04,291.3743591308594,292.5,319.75,277.95001220703125,319.75,2537909
2024-06-05,301.48529052734375,302.6499938964844,305.0,285.70001220703125,290.0,2701594
2024-06-06,309.2054443359375,310.3999938964844,317.0,304.0,306.25,1417235
2024-06-07,316.9256286621094,318.1499938964844,321.0,310.29998779296875,314.79998779296875,1682947
2024-06-10,319.9140930175781,321.1499938964844,324.8999938964844,317.54998779296875,318.1499938964844,1420150
2024-06-11,327.43505859375,328.70001220703125,334.0,320.95001220703125,321.1499938964844,3010752
2024-06-12,342.6761779785156,344.0,346.45001220703125,324.5,332.0,8640506
2024-06-13,349.54962158203125,350.8999938964844,353.1499938964844,344.0,347.8999938964844,3796164
2024-06-14,347.5572814941406,348.8999938964844,353.0,344.04998779296875,351.04998779296875,2466413
2024-06-18,357.170166015625,358.54998779296875,360.75,347.25,352.3999938964844,6698930
2024-06-19,366.48419189453125,367.8999938964844,371.0,358.0,362.1000061035156,5324668
2024-06-20,365.338623046875,366.75,370.0,361.8999938964844,369.0,2357198
2024-06-21,359.5111389160156,360.8999938964844,365.75,355.6000061035156,364.95001220703125,3155554
2024-06-24,351.84075927734375,353.20001220703125,359.25,351.0,355.0,1080621
2024-06-25,350.9940185546875,352.3500061035156,357.5,350.0,352.6499938964844,796463
2024-06-26,362.1011047363281,363.5,364.79998779296875,350.0,351.3999938964844,4248513
2024-06-27,358.36553955078125,359.75,368.75,352.79998779296875,363.5,2710420
2024-06-28,349.25079345703125,350.6000061035156,361.1000061035156,348.70001220703125,360.25,761068
2024-07-01,371.0166931152344,372.45001220703125,376.0,348.0,349.0,11552511
2024-07-02,371.8135986328125,373.25,382.5,370.5,373.0,4411151
2024-07-03,378.18896484375,379.6499938964844,380.5,367.5,374.0,4749253
2024-07-04,368.6258850097656,370.04998779296875,383.79998779296875,368.95001220703125,382.5,13027939
2024-07-05,377.93994140625,379.3999938964844,381.0,369.0,370.04998779296875,3144434
2024-07-08,368.3270568847656,369.75,382.04998779296875,365.1000061035156,380.0,4406038
2024-07-09,375.9974365234375,377.45001220703125,381.8999938964844,371.0,371.0,7736461
2024-07-10,375.9974365234375,377.45001220703125,400.0,371.45001220703125,385.0,11054367
2024-07-11,371.3653259277344,372.79998779296875,383.1000061035156,371.6000061035156,378.95001220703125,1042957
2024-07-12,370.96685791015625,372.3999938964844,378.8999938964844,367.1499938964844,375.04998779296875,1844790
2024-07-15,364.09344482421875,365.5,374.29998779296875,364.0,373.75,719478
2024-07-16,362.4996032714844,363.8999938964844,369.1499938964844,361.79998779296875,365.0,921213
2024-07-18,351.84075927734375,353.20001220703125,364.45001220703125,350.3500061035156,361.6000061035156,1570313
2024-07-19,338.99041748046875,340.29998779296875,356.0,338.0,352.70001220703125,2381922
2024-07-22,340.9826965332031,342.29998779296875,347.0,334.45001220703125,340.29998779296875,872899
2024-07-23,333.5115661621094,334.79998779296875,343.79998779296875,325.04998779296875,343.79998779296875,1903613
2024-07-24,339.2394104003906,340.54998779296875,341.54998779296875,331.79998779296875,332.0,2597408
2024-07-25,334.0594787597656,335.3500061035156,343.0,334.45001220703125,339.1000061035156,1772900
2024-07-26,349.94805908203125,351.29998779296875,356.0,336.0,336.04998779296875,2999930
2024-07-29,357.6682434082031,359.04998779296875,365.54998779296875,352.0,352.29998779296875,3346770
2024-07-30,355.6759338378906,357.04998779296875,365.0,355.54998779296875,359.45001220703125,1636066
2024-07-31,358.06671142578125,359.45001220703125,364.0,356.5,357.79998779296875,937337
2024-08-01,362.7984619140625,364.20001220703125,369.45001220703125,360.0,360.0,2946869
2024-08-02,356.22381591796875,357.6000061035156,362.0,355.29998779296875,360.0,981477
2024-08-05,348.553466796875,349.8999938964844,364.54998779296875,336.0,336.0,2845655
2024-08-06,383.6180114746094,385.1000061035156,393.79998779296875,360.0,378.45001220703125,29294696
2024-08-07,382.8708801269531,384.3500061035156,396.0,378.04998779296875,393.0,5953428
2024-08-08,398.5104675292969,400.04998779296875,403.5,379.54998779296875,380.5,15534011
2024-08-09,388.3995056152344,389.8999938964844,409.25,387.0,404.54998779296875,5611047
2024-08-12,377.64111328125,379.1000061035156,393.0,377.1000061035156,393.0,2333443
2024-08-13,369.5224609375,370.95001220703125,381.8500061035156,369.8999938964844,379.0,1654510
2024-08-14,363.6949768066406,365.1000061035156,372.0,361.1499938964844,367.0,1144918
2024-08-16,373.8556823730469,375.29998779296875,377.95001220703125,366.1000061035156,369.0,3340030
2024-08-19,390.1925964355469,391.70001220703125,399.95001220703125,383.5,387.0,6782940
2024-08-20,400.4031677246094,401.95001220703125,409.0,390.0,390.70001220703125,7179070
2024-08-21,392.4837646484375,394.0,404.3999938964844,391.3500061035156,402.8999938964844,1449825
2024-08-22,390.9397277832031,392.45001220703125,399.29998779296875,388.1499938964844,396.5,1875889
2024-08-23,395.62164306640625,397.1499938964844,402.5,393.1000061035156,393.1000061035156,2888592
2024-08-26,423.9621276855469,425.6000061035156,438.5,401.0,401.0,22395343
2024-08-27,432.0807800292969,433.75,435.8999938964844,418.3999938964844,425.95001220703125,5335940
2024-08-28,432.3796081542969,434.04998779296875,449.29998779296875,426.5,435.25,6068794
2024-08-29,424.95831298828125,426.6000061035156,435.0,423.79998779296875,431.0,2336692
