date_,adj close_bataindia.ns,close_bataindia.ns,high_bataindia.ns,low_bataindia.ns,open_bataindia.ns,volume_bataindia.ns
2024-01-16,1543.6551513671875,1578.5,1592.0,1566.5,1589.949951171875,115649
2024-01-17,1509.3299560546875,1543.4000244140625,1578.9000244140625,1539.050048828125,1565.0,190130
2024-01-18,1483.2193603515625,1516.699951171875,1545.699951171875,1513.0,1543.4000244140625,168177
2024-01-19,1482.33935546875,1515.800048828125,1532.4000244140625,1505.550048828125,1525.0,244001
2024-01-23,1432.6116943359375,1464.949951171875,1517.9000244140625,1461.0,1517.9000244140625,237089
2024-01-24,1434.0784912109375,1466.449951171875,1482.0,1460.0,1482.0,212352
2024-01-25,1417.30712890625,1449.300048828125,1475.300048828125,1442.0,1460.0,324588
2024-01-29,1426.0595703125,1458.25,1472.9000244140625,1425.0,1450.0,556305
2024-01-30,1428.1131591796875,1460.3499755859375,1478.4000244140625,1442.800048828125,1468.9000244140625,588228
2024-01-31,1455.593017578125,1488.449951171875,1491.4000244140625,1455.5999755859375,1460.0,439830
2024-02-01,1426.939697265625,1459.1500244140625,1496.0,1444.1500244140625,1496.0,700786
2024-02-02,1420.3387451171875,1452.4000244140625,1468.75,1421.1500244140625,1424.949951171875,1497583
2024-02-05,1400.291259765625,1431.9000244140625,1460.6500244140625,1425.0,1458.3499755859375,381770
2024-02-06,1410.510498046875,1442.3499755859375,1450.0,1430.0,1434.0,196289
2024-02-07,1390.07177734375,1421.449951171875,1458.0,1396.8499755859375,1458.0,1076463
2024-02-08,1384.204345703125,1415.449951171875,1434.550048828125,1403.0,1428.3499755859375,528206
2024-02-09,1389.9254150390625,1421.300048828125,1427.3499755859375,1406.4000244140625,1422.25,274905
2024-02-12,1379.1680908203125,1410.300048828125,1425.550048828125,1402.550048828125,1421.300048828125,220573
2024-02-13,1379.265869140625,1410.4000244140625,1420.949951171875,1400.0,1412.0,144524
2024-02-14,1379.99951171875,1411.1500244140625,1416.5999755859375,1394.0999755859375,1405.0,211631
2024-02-15,1379.0701904296875,1410.199951171875,1424.0,1406.449951171875,1422.0,151684
2024-02-16,1401.1715087890625,1432.800048828125,1437.0,1411.550048828125,1415.0999755859375,317081
2024-02-19,1402.1981201171875,1433.8499755859375,1453.3499755859375,1430.25,1443.0,259101
2024-02-20,1406.10986328125,1437.8499755859375,1442.9000244140625,1416.5,1432.050048828125,482265
2024-02-21,1400.340087890625,1431.949951171875,1452.8499755859375,1425.050048828125,1449.9000244140625,343186
2024-02-22,1386.306884765625,1417.5999755859375,1438.449951171875,1410.949951171875,1435.0,473373
2024-02-23,1395.010498046875,1426.5,1433.0,1417.75,1430.0,231233
2024-02-26,1397.0152587890625,1428.550048828125,1434.949951171875,1419.9000244140625,1426.0,339069
2024-02-27,1406.0120849609375,1437.75,1446.699951171875,1423.0,1428.5999755859375,266131
2024-02-28,1375.3052978515625,1406.3499755859375,1445.699951171875,1400.0,1438.0,506598
2024-02-29,1378.4346923828125,1409.550048828125,1415.550048828125,1381.0,1406.0,421510
2024-03-01,1400.8780517578125,1432.5,1439.0,1408.0,1413.0,220164
2024-03-04,1393.7880859375,1425.25,1441.8499755859375,1416.0,1440.0,236729
2024-03-05,1416.7694091796875,1448.75,1473.8499755859375,1418.050048828125,1424.0,707312
2024-03-06,1402.638427734375,1434.300048828125,1459.8499755859375,1415.050048828125,1454.0,346898
2024-03-07,1418.4317626953125,1450.449951171875,1454.550048828125,1431.8499755859375,1444.9000244140625,240421
2024-03-11,1415.1556396484375,1447.0999755859375,1466.949951171875,1435.0,1452.0,272578
2024-03-12,1395.54833984375,1427.050048828125,1461.8499755859375,1418.0,1446.0,320124
2024-03-13,1372.5181884765625,1403.5,1432.5999755859375,1378.75,1427.0,819845
2024-03-14,1376.087646484375,1407.1500244140625,1413.0,1367.050048828125,1390.0,476722
2024-03-15,1359.80517578125,1390.5,1418.8499755859375,1386.449951171875,1407.4000244140625,421772
2024-03-18,1346.84765625,1377.25,1398.449951171875,1372.949951171875,1395.0,535191
2024-03-19,1341.17578125,1371.449951171875,1387.9000244140625,1357.0999755859375,1378.5,498346
