date_,adj close_polycab.ns,close_polycab.ns,high_polycab.ns,low_polycab.ns,open_polycab.ns,volume_polycab.ns
2024-01-16,4296.86328125,4340.7998046875,4361.0,4255.0,4290.0,2599390
2024-01-17,4394.36572265625,4439.2998046875,4490.0,4328.10009765625,4340.0,1928680
2024-01-18,4391.14892578125,4436.0498046875,4549.0,3995.39990234375,4460.0,3940479
2024-01-19,4377.9345703125,4422.7001953125,4537.0,4250.0,4500.0,2042284
2024-01-23,4127.74267578125,4169.9501953125,4399.0,4050.0,4350.0,1286472
2024-01-24,4317.5517578125,4361.7001953125,4400.0,4125.39990234375,4200.0,1879874
2024-01-25,4299.88232421875,4343.85009765625,4455.0,4283.14990234375,4350.0,1295034
2024-01-29,4302.208984375,4346.2001953125,4408.5,4293.10009765625,4384.9501953125,878902
2024-01-30,4270.33447265625,4314.0,4384.9501953125,4300.0,4375.0,432662
2024-01-31,4299.18896484375,4343.14990234375,4374.25,4291.0,4338.60009765625,522874
2024-02-01,4220.79150390625,4263.9501953125,4366.85009765625,4236.0,4350.0,651423
2024-02-02,4339.3291015625,4383.7001953125,4437.89990234375,4269.10009765625,4298.75,843638
2024-02-05,4340.86328125,4385.25,4430.0,4346.10009765625,4370.0,542583
2024-02-06,4351.65283203125,4396.14990234375,4411.9501953125,4345.0,4399.0,400247
2024-02-07,4343.73388671875,4388.14990234375,4425.2001953125,4362.0,4415.0,362267
2024-02-08,4275.8779296875,4319.60009765625,4420.35009765625,4297.85009765625,4400.0,448325
2024-02-09,4263.75146484375,4307.35009765625,4329.64990234375,4250.0,4319.60009765625,272191
2024-02-12,4301.21875,4345.2001953125,4365.7001953125,4286.14990234375,4309.0,761494
2024-02-13,4286.37060546875,4330.2001953125,4358.9501953125,4290.0,4340.0,387834
2024-02-14,4311.365234375,4355.4501953125,4386.2001953125,4278.0,4300.0,261333
2024-02-15,4518.74462890625,4564.9501953125,4630.0,4340.64990234375,4361.35009765625,1011374
2024-02-16,4622.73095703125,4670.0,4734.0,4515.10009765625,4650.0,1956433
2024-02-19,4720.33349609375,4768.60009765625,4824.89990234375,4643.89990234375,4709.9501953125,1125013
2024-02-20,4684.251953125,4732.14990234375,4819.7998046875,4696.35009765625,4776.9501953125,735136
2024-02-21,4668.85986328125,4716.60009765625,4765.89990234375,4685.10009765625,4759.89990234375,658619
2024-02-22,4668.85986328125,4716.60009765625,4741.39990234375,4652.35009765625,4731.85009765625,425946
2024-02-23,4753.19677734375,4801.7998046875,4830.0,4721.10009765625,4739.0,506542
2024-02-26,4739.9326171875,4788.39990234375,4867.60009765625,4709.0,4805.0,1005726
2024-02-27,4718.650390625,4766.89990234375,4800.0,4726.0,4800.0,525966
2024-02-28,4662.2275390625,4709.89990234375,4788.0,4666.0,4785.0,309601
2024-02-29,4701.77294921875,4749.85009765625,4797.9501953125,4663.2998046875,4709.10009765625,629330
2024-03-01,4758.7900390625,4807.4501953125,4829.0,4751.10009765625,4780.0,366189
2024-03-04,4743.6943359375,4792.2001953125,4811.2998046875,4730.9501953125,4777.0,417409
2024-03-05,4863.568359375,4913.2998046875,4954.0,4752.0,4791.9501953125,735203
2024-03-06,4830.90185546875,4880.2998046875,4938.7998046875,4805.0,4930.9501953125,483453
2024-03-07,4841.494140625,4891.0,4938.2998046875,4863.0498046875,4880.0,270473
2024-03-11,4883.95947265625,4933.89990234375,4992.0,4885.2001953125,4910.0,542531
2024-03-12,4805.7099609375,4854.85009765625,4965.0,4835.0,4933.89990234375,264101
2024-03-13,4730.52880859375,4778.89990234375,4929.14990234375,4730.25,4835.14990234375,633146
2024-03-14,4840.65283203125,4890.14990234375,4927.9501953125,4752.39990234375,4760.0,379033
2024-03-15,4844.95849609375,4894.5,4918.0498046875,4775.0,4860.0498046875,345532
2024-03-18,4746.86181640625,4795.39990234375,4915.0,4778.0,4885.0,433656
2024-03-19,4632.87744140625,4680.25,4819.39990234375,4670.5498046875,4810.0,272824
2024-03-20,4696.32861328125,4744.35009765625,4838.9501953125,4635.0498046875,4700.0,445608
2024-03-21,4936.07666015625,4986.5498046875,5025.5,4770.0,4799.0,712776
2024-03-22,4860.203125,4909.89990234375,5037.64990234375,4850.0,4996.9501953125,594108
2024-03-26,4967.357421875,5018.14990234375,5094.0,4886.5,4929.89990234375,497218
2024-03-27,4987.2041015625,5038.2001953125,5136.2998046875,5026.85009765625,5058.0,407426
2024-03-28,5013.73291015625,5065.0,5116.0,5004.0,5042.0,359484
2024-04-01,5081.044921875,5133.0,5151.0,5073.0,5073.0,271256
2024-04-02,5153.10791015625,5205.7998046875,5214.5498046875,5100.0,5151.25,392786
2024-04-03,5208.29296875,5261.5498046875,5289.0,5160.0,5180.0,338866
2024-04-04,5172.064453125,5224.9501953125,5304.89990234375,5204.7001953125,5300.0,226936
2024-04-05,5262.78662109375,5316.60009765625,5323.2998046875,5220.0,5226.0,296298
2024-04-08,5227.9423828125,5281.39990234375,5390.0,5216.35009765625,5349.85009765625,484823
2024-04-09,5208.14501953125,5261.39990234375,5336.7998046875,5242.7998046875,5336.7998046875,197608
2024-04-10,5195.27685546875,5248.39990234375,5283.0,5196.89990234375,5260.0,282041
2024-04-12,5248.68017578125,5302.35009765625,5363.89990234375,5230.10009765625,5247.9501953125,338176
2024-04-15,5260.06396484375,5313.85009765625,5394.7001953125,5226.10009765625,5226.10009765625,550150
2024-04-16,5214.232421875,5267.5498046875,5387.0,5241.10009765625,5302.5,342974
2024-04-18,5275.95166015625,5329.89990234375,5434.14990234375,5298.89990234375,5315.5498046875,440369
2024-04-19,5236.5048828125,5290.0498046875,5353.0,5230.0,5290.0,334073
2024-04-22,5378.6513671875,5433.64990234375,5454.7001953125,5315.89990234375,5331.0,397202
2024-04-23,5441.607421875,5497.25,5525.0,5380.9501953125,5430.0,406322
2024-04-24,5537.18017578125,5593.7998046875,5618.10009765625,5494.7998046875,5497.25,305918
2024-04-25,5576.08251953125,5633.10009765625,5689.89990234375,5590.0,5610.0,425165
2024-04-26,5537.0322265625,5593.64990234375,5651.85009765625,5547.0498046875,5582.0,510332
2024-04-29,5582.86376953125,5639.9501953125,5697.0,5573.0,5600.0,350075
2024-04-30,5609.19384765625,5666.5498046875,5789.0,5630.0498046875,5630.0498046875,474928
2024-05-02,5733.869140625,5792.5,5804.0,5691.0,5700.0,286240
2024-05-03,5773.11767578125,5832.14990234375,5869.89990234375,5751.0,5840.0,312177
2024-05-06,5841.8154296875,5901.5498046875,5939.7998046875,5800.0,5863.0,449452
2024-05-07,5750.00390625,5808.7998046875,5948.85009765625,5680.0,5902.0,481713
2024-05-08,5861.61279296875,5921.5498046875,5947.9501953125,5785.10009765625,5808.7998046875,306101
2024-05-09,5744.7578125,5803.5,5949.0,5786.0,5919.0,271663
2024-05-10,6093.34326171875,6155.64990234375,6362.9501953125,5762.0,5844.0,3423107
2024-05-13,6365.8076171875,6430.89990234375,6468.89990234375,6222.25,6269.0,1788362
2024-05-14,6259.54345703125,6323.5498046875,6480.0,6250.89990234375,6430.0,507179
2024-05-15,6401.44287109375,6466.89990234375,6534.7001953125,6284.35009765625,6397.85009765625,671424
2024-05-16,6404.80859375,6470.2998046875,6531.75,6420.0,6482.14990234375,343819
2024-05-17,6425.24951171875,6490.9501953125,6542.89990234375,6451.10009765625,6510.9501953125,305803
2024-05-21,6625.798828125,6693.5498046875,6843.9501953125,6500.5,6500.5,957271
2024-05-22,6495.38232421875,6561.7998046875,6778.0,6530.0,6778.0,426788
2024-05-23,6574.9189453125,6642.14990234375,6740.0,6592.14990234375,6602.39990234375,476201
2024-05-24,6616.494140625,6684.14990234375,6741.4501953125,6635.0498046875,6647.85009765625,239053
2024-05-27,6770.22265625,6839.4501953125,6900.0,6701.5,6722.0,756028
2024-05-28,6638.716796875,6706.60009765625,6899.85009765625,6685.0,6870.0,298627
2024-05-29,6679.4501953125,6747.75,6778.9501953125,6650.0498046875,6700.0,240288
2024-05-30,6646.14111328125,6714.10009765625,6767.0,6698.0,6747.75,232385
2024-05-31,6673.412109375,6741.64990234375,6852.0,6621.5498046875,6741.89990234375,1118735
2024-06-03,6859.01416015625,6929.14990234375,7116.2001953125,6845.39990234375,7000.0,571071
2024-06-04,6390.8515625,6456.2001953125,7025.5498046875,6211.35009765625,7000.0,1324429
2024-06-05,6719.73828125,6788.4501953125,6820.0,6137.0,6598.0,700772
2024-06-06,6789.3271484375,6858.75,6980.0,6808.2001953125,6900.0,237858
2024-06-07,6777.1513671875,6846.4501953125,6886.25,6810.0,6862.25,180893
2024-06-10,6730.08251953125,6798.89990234375,6950.0,6730.0,6887.60009765625,636790
2024-06-11,6927.068359375,6997.89990234375,7039.89990234375,6778.0,6850.7998046875,435671
2024-06-12,6931.126953125,7002.0,7094.2998046875,6960.0,7010.0,297295
2024-06-13,6975.86962890625,7047.2001953125,7067.39990234375,6942.0,7050.0,378833
2024-06-14,7008.23828125,7079.89990234375,7140.0,7000.25,7050.0,409053
2024-06-18,7038.28125,7110.25,7147.39990234375,7061.39990234375,7120.0,194223
2024-06-19,6931.8203125,7002.7001953125,7174.75,6980.0,7144.0,319124
2024-06-20,6886.03857421875,6956.4501953125,7025.5,6905.0,7002.7001953125,224893
2024-06-21,7019.7705078125,7091.5498046875,7215.0,6947.14990234375,7010.0,776401
2024-06-24,7187.109375,7260.60009765625,7293.2998046875,6985.0,7000.0,631243
2024-06-25,7154.443359375,7227.60009765625,7331.4501953125,7191.14990234375,7309.9501953125,292396
2024-06-26,7107.671875,7180.35009765625,7323.9501953125,7164.0498046875,7211.85009765625,298420
2024-06-27,6918.505859375,6989.25,7319.89990234375,6960.0,7250.0,1135404
2024-06-28,6671.2841796875,6739.5,6823.2998046875,6616.0,6768.0,8853879
2024-07-01,6667.77001953125,6735.9501953125,6780.0,6704.0,6750.0,488374
2024-07-02,6561.01171875,6628.10009765625,6786.0,6544.10009765625,6759.7998046875,818252
2024-07-03,6643.765625,6711.7001953125,6734.0,6606.9501953125,6628.35009765625,656496
2024-07-04,6594.02392578125,6661.4501953125,6775.0,6651.2998046875,6775.0,348211
2024-07-05,6566.95068359375,6634.10009765625,6699.0,6600.14990234375,6675.0,222128
2024-07-08,6480.33642578125,6546.60009765625,6675.0,6535.0,6639.0,560888
2024-07-09,6418.23388671875,6454.14990234375,6592.0,6415.7001953125,6577.4501953125,547696
2024-07-10,6322.9169921875,6358.2998046875,6477.2998046875,6311.10009765625,6456.75,381571
2024-07-11,6582.16650390625,6619.0,6639.9501953125,6384.10009765625,6388.89990234375,973579
2024-07-12,6544.3779296875,6581.0,6645.10009765625,6511.0,6643.9501953125,499047
2024-07-15,6630.74462890625,6667.85009765625,6693.0,6516.0,6591.0,423404
2024-07-16,6592.31005859375,6629.2001953125,6717.85009765625,6608.85009765625,6694.7998046875,232566
2024-07-18,6515.7880859375,6552.25,6713.35009765625,6494.5498046875,6600.0,1507949
2024-07-19,6314.51416015625,6349.85009765625,6524.85009765625,6257.5,6500.0,1038301
2024-07-22,6254.0029296875,6289.0,6423.4501953125,6238.9501953125,6330.0,689230
2024-07-23,6172.11083984375,6206.64990234375,6322.14990234375,5930.0498046875,6301.60009765625,618868
2024-07-24,6287.06787109375,6322.25,6375.5,6186.7001953125,6204.0498046875,628120
2024-07-25,6391.6826171875,6427.4501953125,6457.60009765625,6239.25,6310.0,589561
2024-07-26,6512.05908203125,6548.5,6564.75,6408.5498046875,6440.0,477709
