date_,adj close_zfcvindia.ns,close_zfcvindia.ns,high_zfcvindia.ns,low_zfcvindia.ns,open_zfcvindia.ns,volume_zfcvindia.ns
2024-01-16,16546.859375,16588.19921875,16710.0,16302.599609375,16383.400390625,4654
2024-01-17,16619.876953125,16661.400390625,16726.05078125,16272.5498046875,16425.0,4908
2024-01-18,16915.787109375,16958.05078125,17099.0,16310.849609375,16665.0,4403
2024-01-19,17047.30859375,17089.900390625,17181.44921875,16800.0,16995.0,6766
2024-01-23,17219.328125,17262.349609375,17700.0,17020.0,17135.0,6437
2024-01-24,17227.408203125,17270.44921875,17487.75,16899.94921875,17260.0,10915
2024-01-25,16673.541015625,16715.19921875,17338.599609375,16452.0,17200.0,5601
2024-01-29,16748.75390625,16790.599609375,16907.900390625,16700.0,16892.0,13674
2024-01-30,16271.6962890625,16312.349609375,17132.30078125,16187.849609375,16800.0,23238
2024-01-31,16295.8359375,16336.5498046875,16524.0,15826.599609375,15908.0,10886
2024-02-01,15384.8125,15423.25,16188.400390625,15225.900390625,16005.0,21719
2024-02-02,14865.8095703125,14902.9501953125,15623.25,14770.0,15495.900390625,40309
2024-02-05,14398.974609375,14434.9501953125,15185.0,14314.0,14902.9501953125,37533
2024-02-06,14167.453125,14202.849609375,15000.0,13977.4501953125,14466.150390625,17681
2024-02-07,14744.51171875,14781.349609375,14869.0,14382.9501953125,14385.0,27120
2024-02-08,14465.4580078125,14501.599609375,14902.150390625,14326.2001953125,14833.2998046875,4957
2024-02-09,14551.044921875,14587.400390625,14699.849609375,14160.0,14550.099609375,7850
2024-02-12,14999.9736328125,15037.4501953125,15198.9501953125,14467.75,14667.650390625,6695
2024-02-13,14953.1904296875,14990.5498046875,15135.400390625,14814.650390625,15095.0,3031
2024-02-14,14821.2705078125,14858.2998046875,15285.0,14799.9501953125,15000.0498046875,8862
2024-02-15,15026.90625,15064.4501953125,15125.2001953125,14875.0,14889.2998046875,1671
2024-02-16,15505.8095703125,15544.5498046875,15634.849609375,15037.849609375,15064.4501953125,5995
2024-02-19,15133.0908203125,15170.900390625,15629.849609375,15032.0498046875,15595.0,4232
2024-02-20,14959.4248046875,14996.7998046875,15280.7998046875,14905.0,15219.25,4854
2024-02-21,14395.6328125,14431.599609375,15110.75,14263.9501953125,14996.7998046875,8506
2024-02-22,14264.2109375,14299.849609375,14549.099609375,14162.0,14538.2998046875,4863
2024-02-23,14292.1416015625,14327.849609375,14945.0,14105.0,14378.5,9618
2024-02-26,14559.4736328125,14595.849609375,14950.0498046875,14205.0,14327.849609375,5519
2024-02-27,14462.865234375,14499.0,14744.9501953125,14298.900390625,14595.849609375,7574
2024-02-28,14539.2236328125,14575.5498046875,14680.5,14317.099609375,14550.0,3212
2024-02-29,14487.8525390625,14524.0498046875,14950.0,14212.0,14575.599609375,6916
2024-03-01,14790.7958984375,14827.75,14895.0,14514.0498046875,14626.5498046875,2567
2024-03-04,14633.1396484375,14669.7001953125,14910.349609375,14605.0,14800.0,1945
2024-03-05,14726.2568359375,14763.0498046875,14800.0,14546.099609375,14615.0,1039
2024-03-06,14406.5556640625,14442.5498046875,14763.0498046875,14370.0,14700.0,1705
2024-03-07,14288.2021484375,14323.900390625,14467.7001953125,14260.75,14400.0,1557
2024-03-11,13995.7822265625,14030.75,14401.650390625,13825.0,14300.150390625,16941
2024-03-12,13974.1357421875,14009.0498046875,14100.0498046875,13830.0,13970.0,4132
2024-03-13,13918.7744140625,13953.5498046875,14062.4501953125,13790.7998046875,13955.650390625,10878
2024-03-14,14151.7421875,14187.099609375,14304.75,13905.099609375,13926.2001953125,2447
2024-03-15,15466.70703125,15505.349609375,15644.900390625,14083.400390625,14265.5498046875,41784
2024-03-18,15747.7548828125,15787.099609375,15888.9501953125,14832.099609375,15330.0,13696
2024-03-19,15688.0048828125,15727.2001953125,15822.900390625,15460.150390625,15726.849609375,12914
2024-03-20,15369.75,15408.150390625,15725.0,15317.099609375,15725.0,9926
2024-03-21,15246.8564453125,15284.9501953125,15560.9501953125,15100.0498046875,15382.9501953125,9897
2024-03-22,15321.1220703125,15359.400390625,15398.400390625,15211.2001953125,15368.0,2354
2024-03-26,14927.8037109375,14965.099609375,15474.9501953125,14901.0,15474.9501953125,6358
2024-03-27,14718.0771484375,14754.849609375,15099.9501953125,14600.0,15045.0,5382
2024-03-28,15143.1162109375,15180.9501953125,15251.0,14740.0,14766.0,10524
2024-04-01,15238.5771484375,15276.650390625,15380.0,14949.0,15285.0,6812
2024-04-02,15010.5966796875,15048.099609375,15300.0,15000.0498046875,15276.599609375,1773
2024-04-03,14982.6162109375,15020.0498046875,15122.349609375,14900.0498046875,15048.099609375,3353
2024-04-04,14936.1826171875,14973.5,15103.099609375,14705.0,15100.0,8582
2024-04-05,14699.7734375,14736.5,14973.5,14705.0,14973.5,9843
2024-04-08,14485.5087890625,14521.7001953125,14817.5498046875,14470.5498046875,14736.5,11165
2024-04-09,14366.5556640625,14402.4501953125,14688.5,14352.0498046875,14523.5498046875,3779
2024-04-10,14474.0380859375,14510.2001953125,14649.75,14422.900390625,14481.7001953125,5810
2024-04-12,14144.8603515625,14180.2001953125,14590.4501953125,14120.0,14582.0,51982
2024-04-15,13821.119140625,13855.650390625,14400.0,13800.0,14180.2001953125,4109
2024-04-16,13354.0859375,13387.4501953125,13938.5,13310.0,13855.650390625,17464
2024-04-18,13605.408203125,13639.400390625,13870.0,13469.25,13495.0,14240
2024-04-19,13797.7275390625,13832.2001953125,13989.0,13480.0,13714.849609375,4507
2024-04-22,14109.298828125,14144.5498046875,14284.0,13865.0,13900.0,6885
2024-04-23,14059.47265625,14094.599609375,14636.9501953125,13950.0,14282.0,18734
2024-04-24,13832.7890625,13867.349609375,14241.2998046875,13800.0,14092.400390625,4600
2024-04-25,13953.5380859375,13988.400390625,14271.25,13868.0,13868.0,4286
2024-04-26,13839.921875,13874.5,14140.0,13825.0,14040.2998046875,3568
2024-04-29,13697.2783203125,13731.5,14072.2998046875,13700.0,13888.849609375,5639
2024-04-30,13653.5869140625,13687.7001953125,13921.25,13536.5,13800.150390625,28283
2024-05-02,13660.37109375,13694.5,13845.0,13625.9501953125,13705.0498046875,7415
2024-05-03,13551.0439453125,13584.900390625,13850.0,13481.0,13640.0,5139
2024-05-06,13401.9169921875,13435.400390625,13660.9501953125,13365.75,13584.099609375,2330
2024-05-07,13343.7607421875,13377.099609375,13538.9501953125,13330.0,13429.599609375,4423
2024-05-08,13366.455078125,13399.849609375,13492.4501953125,13337.5498046875,13485.0,10016
2024-05-09,13327.55078125,13360.849609375,13699.0,13199.9501953125,13402.349609375,13170
2024-05-10,13393.1884765625,13426.650390625,13558.2998046875,13237.7001953125,13400.650390625,1898
2024-05-13,13078.673828125,13111.349609375,13485.0,13065.0,13466.650390625,8715
2024-05-14,12970.6435546875,13003.0498046875,13177.4501953125,12980.0498046875,13176.9501953125,3223
2024-05-15,13081.0673828125,13113.75,13266.5,12975.0,13103.0498046875,5223
2024-05-16,13371.4921875,13404.900390625,13449.0,13132.4501953125,13166.0498046875,18235
2024-05-17,13594.2353515625,13628.2001953125,13920.0,13425.0,13425.0,4672
2024-05-21,13452.33984375,13485.9501953125,13888.0,13401.0498046875,13888.0,4859
2024-05-22,13268.5498046875,13301.7001953125,13650.0,13276.0,13512.9501953125,10249
2024-05-23,13181.3671875,13214.2998046875,13485.0,13001.0,13460.0,9871
2024-05-24,13517.4775390625,13551.25,13678.0,13200.150390625,13385.0,13133
2024-05-27,16220.97265625,16261.5,16261.5,13300.0,13425.0,109697
2024-05-28,17119.529296875,17162.30078125,17490.0,15700.0,16999.80078125,143131
2024-05-29,16384.263671875,16425.19921875,17088.0,16261.0498046875,16802.05078125,33028
2024-05-30,15872.3935546875,15912.0498046875,16491.400390625,15800.0,16425.19921875,15591
2024-05-31,17367.5078125,17410.900390625,17900.0,15514.0,15942.7001953125,34621
2024-06-03,17343.3671875,17386.69921875,18250.0,17004.400390625,18200.0,10530
2024-06-04,16357.2822265625,16398.150390625,17576.900390625,15900.0,17389.94921875,7874
2024-06-05,16761.623046875,16803.5,17486.0,16007.400390625,16450.0,5151
2024-06-06,16943.91796875,16986.25,17385.94921875,16600.0,16889.900390625,4210
2024-06-07,16915.787109375,16958.05078125,17400.0,16700.0,17000.0,21983
2024-06-10,17236.884765625,17279.94921875,17374.599609375,16830.0,16830.0,4332
2024-06-11,17659.77734375,17703.900390625,17951.0,17081.150390625,17279.94921875,10852
2024-06-12,17621.07421875,17665.099609375,17959.849609375,17466.349609375,17885.0,3670
2024-06-13,17330.052734375,17373.349609375,17789.900390625,17225.0,17763.30078125,3647
2024-06-14,17272.794921875,17315.94921875,17800.150390625,17125.05078125,17665.0,7312
2024-06-18,17234.091796875,17277.150390625,17485.0,17179.44921875,17315.94921875,2633
2024-06-19,16204.36328125,16244.849609375,17147.0,15378.0,17147.0,1634031
2024-06-20,15920.3232421875,15960.099609375,16425.05078125,15899.0,16248.4501953125,43200
2024-06-21,15766.95703125,15806.349609375,16039.900390625,15499.9501953125,15952.349609375,55282
2024-06-24,15955.287109375,15995.150390625,16243.0,15452.599609375,15750.0,42632
2024-06-25,15634.7373046875,15673.7998046875,16060.849609375,15549.7998046875,15995.150390625,24240
2024-06-26,15569.30078125,15608.2001953125,15880.0,15547.25,15750.0,26435
2024-06-27,15468.951171875,15507.599609375,15739.9501953125,15501.0,15738.0,27305
2024-06-28,15512.4423828125,15551.2001953125,15930.0,15440.0,15593.900390625,20535
2024-07-01,15968.3544921875,16008.25,16094.849609375,15590.099609375,15780.0,20289
2024-07-02,15962.0205078125,16001.900390625,16267.0,15825.0,16050.0,8456
2024-07-03,15923.96484375,15963.75,16201.900390625,15912.0,16075.0,9245
2024-07-04,15915.4365234375,15955.2001953125,16075.0,15821.099609375,16075.0,6905
2024-07-05,15689.150390625,15728.349609375,16047.849609375,15597.5498046875,15901.0,8105
2024-07-08,15692.34375,15731.5498046875,15799.0,15441.2998046875,15799.0,13136
2024-07-09,16032.59375,16072.650390625,16147.2998046875,15655.0,15731.5498046875,22081
2024-07-10,15910.9482421875,15950.7001953125,16398.0,15848.0498046875,16125.0,24158
2024-07-11,15889.052734375,15928.75,16073.599609375,15825.150390625,16014.75,3795
2024-07-12,15849.1025390625,15888.7001953125,15999.0,15746.7998046875,15985.0,5854
2024-07-15,15807.01171875,15829.5498046875,15950.0,15750.0,15950.0,4145
2024-07-16,15778.7529296875,15801.25,15938.7998046875,15660.099609375,15829.5498046875,2637
2024-07-18,15771.3125,15793.7998046875,15849.0,15503.099609375,15801.25,8580
2024-07-19,15149.8994140625,15171.5,15793.7998046875,14970.0,15793.7998046875,22031
2024-07-22,15551.4267578125,15573.599609375,15649.0,14835.0498046875,14870.0,13652
2024-07-23,15383.216796875,15405.150390625,15699.0,14950.0498046875,15426.099609375,6834
2024-07-24,15372.181640625,15394.099609375,15753.849609375,15225.0,15372.2001953125,5481
2024-07-25,15281.2119140625,15303.0,15404.150390625,15162.0498046875,15251.0,3227
2024-07-26,15608.4453125,15630.7001953125,15725.0,15237.650390625,15303.0,7783
2024-07-29,15823.4384765625,15846.0,16268.0,15630.7001953125,15650.0,10166
2024-07-30,15944.2666015625,15967.0,16124.2998046875,15820.0,15985.0,6093
2024-07-31,15809.8583984375,15832.400390625,15922.25,15720.0,15850.0,5438
2024-08-01,15804.1669921875,15826.7001953125,16024.75,15731.0498046875,15875.849609375,7426
2024-08-02,16271.05078125,16294.25,16359.7998046875,15619.0,15722.0,13368
2024-08-05,15863.681640625,15886.2998046875,16000.25,15600.0,16000.25,6977
2024-08-06,15931.833984375,15954.5498046875,16252.9501953125,15800.0498046875,15800.0498046875,6228
2024-08-07,15704.95703125,15727.349609375,16084.150390625,15657.4501953125,16001.0,21164
2024-08-08,15423.458984375,15445.4501953125,15814.9501953125,15350.0,15723.099609375,3906
2024-08-09,15402.2392578125,15424.2001953125,15560.900390625,15369.2998046875,15458.0498046875,26315
2024-08-12,15471.7900390625,15493.849609375,15578.5498046875,15111.150390625,15370.0,4794
2024-08-13,15337.9306640625,15359.7998046875,15450.0,15211.0,15412.2001953125,10637
2024-08-14,15527.560546875,15549.7001953125,16016.0,15050.2001953125,15375.0,7174
2024-08-16,15671.7548828125,15694.099609375,16000.0498046875,15432.0,15785.0,8268
2024-08-19,15939.822265625,15962.5498046875,16136.900390625,15625.0,15838.5,10358
2024-08-20,15762.9755859375,15785.4501953125,15962.0,15470.0,15962.0,13133
2024-08-21,15620.7275390625,15643.0,15870.0,15603.349609375,15870.0,2157
2024-08-22,15583.8798828125,15606.099609375,15734.2998046875,15512.0,15651.0,2640
2024-08-23,15437.189453125,15459.2001953125,15679.900390625,15426.0498046875,15571.150390625,6573
2024-08-26,15577.5390625,15599.75,15657.0,15315.0498046875,15459.2001953125,20849
2024-08-27,15331.9892578125,15353.849609375,15643.2001953125,15321.4501953125,15532.5,4002
2024-08-28,15179.65625,15201.2998046875,15490.0,15131.7001953125,15490.0,5767
2024-08-29,15260.4912109375,15282.25,15615.9501953125,15200.0,15216.0,70042
2024-08-30,15545.6845703125,15567.849609375,15900.0498046875,15010.0498046875,15324.2001953125,23401
2024-09-02,15472.08984375,15494.150390625,15800.0,15075.0,15755.0,10831
2024-09-03,15447.474609375,15469.5,15600.0,15215.0,15591.900390625,5746
2024-09-04,15635.755859375,15658.0498046875,15847.5498046875,15301.0,15469.0,8123
2024-09-05,15823.888671875,15846.4501953125,15870.0,15541.650390625,15623.599609375,7431
2024-09-06,15923.74609375,15946.4501953125,16389.0,15846.650390625,15846.650390625,14710
2024-09-09,16323.5751953125,16346.849609375,16400.0,15642.9501953125,16099.9501953125,13542
2024-09-10,16820.16796875,16844.150390625,16944.0,16409.55078125,16409.55078125,19850
2024-09-11,16676.322265625,16700.099609375,16916.400390625,16432.150390625,16846.150390625,11759
2024-09-12,16936.90234375,16961.05078125,17020.0,16455.5,16455.5,10500
2024-09-13,17181.951171875,17206.44921875,17250.0,16852.650390625,17199.0,7878
2024-09-16,16857.46484375,16881.5,17300.0,16840.0,17300.0,3040
2024-09-17,16354.6318359375,16377.9501953125,16881.849609375,16290.0,16775.0,7848
2024-09-18,16250.8291015625,16274.0,16444.900390625,16200.0,16425.0,3298
2024-09-19,16510.458984375,16534.0,16575.0,16125.0,16150.0498046875,7836
2024-09-20,16186.470703125,16209.5498046875,16685.0,16044.599609375,16553.0,7712
2024-09-23,16322.7763671875,16346.0498046875,16384.94921875,16121.9501953125,16210.0,5368
2024-09-24,16449.34765625,16472.80078125,16500.650390625,16239.2998046875,16346.0498046875,3720
2024-09-25,16007.4765625,16030.2998046875,16453.400390625,15766.0,16381.900390625,10355
2024-09-26,16059.302734375,16082.2001953125,16181.9501953125,15902.349609375,16000.2998046875,2380
2024-09-27,16294.5673828125,16317.7998046875,16600.0,15751.0,16100.0,16683
2024-09-30,15865.279296875,15887.900390625,16445.0,15827.650390625,16445.0,5735
2024-10-01,16084.416015625,16107.349609375,16158.0,15755.150390625,16070.0,3975
2024-10-03,15897.3828125,15920.0498046875,16023.599609375,15825.5,15825.5,2904
2024-10-04,15459.5576171875,15481.599609375,15999.0498046875,15366.0,15948.9501953125,5525
2024-10-07,15054.1865234375,15075.650390625,15481.599609375,15015.0498046875,15354.25,5236
2024-10-08,15338.580078125,15360.4501953125,15481.7998046875,14770.0498046875,15002.0,18518
2024-10-09,15194.1357421875,15215.7998046875,15575.0,15101.599609375,15360.4501953125,30507
2024-10-10,14815.4755859375,14836.599609375,15353.9501953125,14795.0498046875,15300.5,96700
2024-10-11,15283.0087890625,15304.7998046875,15347.099609375,14835.599609375,14835.599609375,4943
2024-10-14,15190.541015625,15212.2001953125,15450.650390625,15168.150390625,15449.0,2788
2024-10-15,15652.5830078125,15674.900390625,15779.0,15250.0498046875,15296.900390625,9107
2024-10-16,14944.94140625,14966.25,15669.900390625,14835.2998046875,15651.75,15323
2024-10-17,14458.2861328125,14478.900390625,15092.0,14444.0,14966.849609375,9939
2024-10-18,14173.44140625,14193.650390625,14566.9501953125,14170.099609375,14501.0,14544
2024-10-21,13961.1435546875,13981.0498046875,14480.9501953125,13850.0498046875,14260.0,13159
2024-10-22,14082.271484375,14102.349609375,14249.900390625,13866.349609375,13981.0498046875,7979
2024-10-23,13883.6552734375,13903.4501953125,14102.9501953125,13683.9501953125,13994.75,9425
2024-10-24,13952.0078125,13971.900390625,14098.5498046875,13528.0498046875,13740.0,14120
2024-10-25,13867.5771484375,13887.349609375,13950.0,13486.0,13899.0,12594
2024-10-28,13988.2060546875,14008.150390625,14133.599609375,13490.849609375,13879.400390625,12647
2024-10-29,13932.0859375,13951.9501953125,14200.0,13666.2998046875,13839.9501953125,9591
2024-10-30,13953.205078125,13973.099609375,14063.0,13900.900390625,13901.0,1683
2024-10-31,14349.7900390625,14370.25,14435.900390625,13932.25,14069.7001953125,5155
2024-11-01,14380.396484375,14400.900390625,14460.5,14350.099609375,14460.5,327
2024-11-04,14599.2841796875,14620.099609375,14669.900390625,14255.0,14255.0,5146
2024-11-05,14481.40234375,14502.0498046875,14919.9501953125,14425.0498046875,14620.099609375,6548
2024-11-06,14470.5185546875,14491.150390625,14645.0,14352.0,14480.5,6442
2024-11-07,14947.8876953125,14969.2001953125,15088.349609375,14477.25,14477.25,17017
2024-11-08,14912.337890625,14933.599609375,15060.0,14595.400390625,15040.2998046875,9691
2024-11-11,14787.2158203125,14808.2998046875,15075.0,14662.5498046875,14935.849609375,5796
2024-11-12,14898.607421875,14919.849609375,15290.0,14600.099609375,14886.5,9561
2024-11-13,14767.744140625,14788.7998046875,15089.9501953125,14601.0,14745.0,6729
2024-11-14,14648.4638671875,14669.349609375,14985.5,14497.7001953125,14788.7998046875,10179
2024-11-18,14547.908203125,14568.650390625,15043.0498046875,14410.0,14410.0,8904
2024-11-19,14834.099609375,14855.25,15010.9501953125,14427.349609375,14568.650390625,9749
2024-11-21,14864.5556640625,14885.75,15118.650390625,14705.0498046875,14858.0,8152
2024-11-22,14424.68359375,14445.25,15059.9501953125,14380.099609375,14789.9501953125,10392
2024-11-25,14914.5341796875,14935.7998046875,15149.900390625,14430.0,14509.25,84782
2024-11-26,14374.2548828125,14394.75,14950.2998046875,14343.4501953125,14940.75,21623
2024-11-27,12410.255859375,12427.9501953125,13750.0498046875,12205.099609375,13750.0,1758871
2024-11-28,12474.9130859375,12492.7001953125,12575.0,12465.0498046875,12502.5,64371
2024-11-29,12465.826171875,12483.599609375,12547.599609375,12269.5,12530.0498046875,61238
2024-12-02,12314.2919921875,12331.849609375,12485.0,12249.0,12485.0,26817
2024-12-03,12363.421875,12381.0498046875,12497.0,12361.0498046875,12366.0,22508
2024-12-04,12540.419921875,12558.2998046875,12588.0,12370.0498046875,12429.0,29115
2024-12-05,12382.39453125,12400.0498046875,12628.150390625,12274.099609375,12599.0,15146
2024-12-06,12329.919921875,12347.5,12468.849609375,12300.0,12446.7998046875,8460
2024-12-09,12287.330078125,12304.849609375,12387.0498046875,12260.5498046875,12375.2998046875,6896
2024-12-10,11989.2548828125,12006.349609375,12364.9501953125,11939.0498046875,12314.849609375,24571
2024-12-11,11746.9013671875,11763.650390625,12091.7998046875,11675.0,12088.0,43362
2024-12-12,11672.0087890625,11688.650390625,11895.0,11625.0498046875,11808.0,24310
2024-12-13,11469.2978515625,11485.650390625,11749.0,11455.099609375,11749.0,38329
2024-12-16,11568.6552734375,11585.150390625,11619.4501953125,11419.2001953125,11500.0,18324
2024-12-17,11614.8896484375,11631.4501953125,11700.0,11546.5498046875,11585.150390625,9595
2024-12-18,11563.5126953125,11580.0,11748.2998046875,11355.099609375,11600.0,21649
2024-12-19,11615.388671875,11631.9501953125,11675.0,11411.0,11477.0,22864
2024-12-20,11637.90625,11654.5,11749.849609375,11550.0,11661.9501953125,12431
2024-12-23,11639.10546875,11655.7001953125,11839.5,11570.0498046875,11745.0,7647
2024-12-24,11599.3115234375,11615.849609375,11788.0,11485.0,11655.7001953125,8270
2024-12-26,11710.65234375,11727.349609375,11864.0,11601.650390625,11677.0,18380
2024-12-27,11790.0390625,11806.849609375,11825.0,11683.5,11727.349609375,9900
2024-12-30,11901.181640625,11918.150390625,11950.0,11780.099609375,11806.849609375,6133
2024-12-31,12026.802734375,12043.9501953125,12100.0,11910.4501953125,11913.150390625,10030
2025-01-01,11955.853515625,11972.900390625,12107.7998046875,11904.2998046875,11945.0,3073
2025-01-02,11825.7890625,11842.650390625,12000.0,11811.150390625,11973.0,3865
2025-01-03,11713.998046875,11730.7001953125,11922.5,11671.0,11850.0,7317
2025-01-06,11482.8779296875,11499.25,11744.849609375,11470.0,11734.599609375,7770
2025-01-07,11483.27734375,11499.650390625,11645.0,11415.0,11499.25,15352
