date_,adj close_navinfluor.ns,close_navinfluor.ns,high_navinfluor.ns,low_navinfluor.ns,open_navinfluor.ns,volume_navinfluor.ns
2024-01-16,3469.38623046875,3489.75,3542.0,3482.199951171875,3525.0,154577
2024-01-17,3425.842041015625,3445.949951171875,3510.0,3435.0,3482.199951171875,185354
2024-01-18,3382.645263671875,3402.5,3459.949951171875,3388.0,3445.949951171875,187213
2024-01-19,3391.095458984375,3411.0,3459.949951171875,3399.5,3437.0,144779
2024-01-23,3342.72998046875,3362.35009765625,3452.60009765625,3338.5,3442.39990234375,154574
2024-01-24,3400.341796875,3420.300048828125,3425.0,3332.0,3362.35009765625,104919
2024-01-25,3325.03369140625,3344.550048828125,3428.0,3330.0,3428.0,210184
2024-01-29,3304.702880859375,3324.10009765625,3380.0,3296.199951171875,3360.0,220222
2024-01-30,3288.74658203125,3308.050048828125,3363.949951171875,3303.0,3340.0,137530
2024-01-31,3397.557861328125,3417.5,3425.0,3286.800048828125,3310.0,282092
2024-02-01,3303.211669921875,3322.60009765625,3422.60009765625,3315.25,3415.60009765625,119362
2024-02-02,3305.79638671875,3325.199951171875,3366.050048828125,3320.0,3352.14990234375,62110
2024-02-05,3216.271728515625,3235.14990234375,3330.0,3217.5,3325.0,189760
2024-02-06,3242.46826171875,3261.5,3295.0,3203.0,3221.199951171875,208032
2024-02-07,3075.150146484375,3093.199951171875,3243.0,3030.10009765625,3220.050048828125,2573353
2024-02-08,3055.465576171875,3073.39990234375,3105.0,3045.300048828125,3100.0,528933
2024-02-09,3010.72802734375,3028.39990234375,3090.0,3001.10009765625,3086.5,328102
2024-02-12,3056.012451171875,3073.949951171875,3126.5,3040.300048828125,3064.0,263915
2024-02-13,3085.39013671875,3103.5,3114.449951171875,3030.0,3100.0,129061
2024-02-14,3084.744140625,3102.85009765625,3115.0,3051.050048828125,3065.0,92609
2024-02-15,3107.8583984375,3126.10009765625,3140.0,3110.050048828125,3115.89990234375,111368
2024-02-16,3155.7275390625,3174.25,3184.449951171875,3124.85009765625,3133.0,173996
2024-02-19,3153.83837890625,3172.35009765625,3193.89990234375,3160.199951171875,3185.949951171875,94090
2024-02-20,3184.806640625,3203.5,3219.0,3141.0,3157.0,156900
2024-02-21,3146.4814453125,3164.949951171875,3233.699951171875,3151.050048828125,3233.699951171875,216846
2024-02-22,3175.660400390625,3194.300048828125,3209.89990234375,3133.699951171875,3165.0,128532
2024-02-23,3132.314697265625,3150.699951171875,3213.75,3142.699951171875,3205.0,247817
2024-02-26,3090.7587890625,3108.89990234375,3162.0,3100.75,3150.699951171875,112245
2024-02-27,3102.3408203125,3120.550048828125,3128.89990234375,3075.199951171875,3115.0,132308
2024-02-28,3000.0908203125,3017.699951171875,3120.550048828125,3000.0,3120.550048828125,148318
2024-02-29,3003.47119140625,3021.10009765625,3034.5,2988.949951171875,3017.699951171875,156302
2024-03-01,3035.8310546875,3053.64990234375,3066.300048828125,3018.64990234375,3021.10009765625,77396
2024-03-04,3032.401123046875,3050.199951171875,3098.0,3036.85009765625,3095.0,109680
2024-03-05,3025.6904296875,3043.449951171875,3127.0,3035.0,3050.75,330334
2024-03-06,3007.895263671875,3025.550048828125,3054.0,3000.0,3053.949951171875,223179
2024-03-07,3041.9453125,3059.800048828125,3105.0,3020.75,3031.60009765625,295715
2024-03-11,3032.05322265625,3049.85009765625,3083.89990234375,3020.050048828125,3061.0,102055
2024-03-12,3001.33349609375,3018.949951171875,3068.949951171875,2994.050048828125,3068.949951171875,120796
2024-03-13,2907.185791015625,2924.25,3030.89990234375,2914.14990234375,3015.0,309551
2024-03-14,2980.5556640625,2998.050048828125,3005.25,2899.25,2918.050048828125,140637
2024-03-15,2983.637451171875,3001.14990234375,3010.050048828125,2964.300048828125,3010.050048828125,109494
2024-03-18,2993.876953125,3011.449951171875,3031.0,2963.10009765625,3000.60009765625,94195
2024-03-19,2979.958740234375,2997.449951171875,3020.0,2966.199951171875,3020.0,115608
2024-03-20,2949.2392578125,2966.550048828125,2994.949951171875,2932.10009765625,2994.949951171875,152712
2024-03-21,3068.0419921875,3086.050048828125,3099.0,2973.64990234375,2973.64990234375,162769
2024-03-22,3074.90185546875,3092.949951171875,3125.0,3074.0,3094.949951171875,118363
2024-03-26,3109.697265625,3127.949951171875,3149.0,3022.0,3022.0,263767
2024-03-27,3117.750244140625,3136.050048828125,3188.0,3094.5,3130.0,566381
2024-03-28,3096.126953125,3114.300048828125,3138.0,3086.550048828125,3128.0,294812
2024-04-01,3112.431396484375,3130.699951171875,3166.14990234375,3096.14990234375,3160.0,117937
2024-04-02,3132.513671875,3150.89990234375,3208.14990234375,3121.050048828125,3150.699951171875,191518
2024-04-03,3127.194580078125,3145.550048828125,3155.89990234375,3119.85009765625,3130.0,98215
2024-04-04,3114.668212890625,3132.949951171875,3173.949951171875,3127.0,3170.0,85870
2024-04-05,3129.232666015625,3147.60009765625,3180.0,3125.0,3145.0,261433
2024-04-08,3078.33154296875,3096.39990234375,3169.949951171875,3091.550048828125,3169.949951171875,151617
2024-04-09,3039.75830078125,3057.60009765625,3128.89990234375,3051.050048828125,3128.89990234375,186296
2024-04-10,3226.760498046875,3245.699951171875,3262.300048828125,3037.050048828125,3077.0,884498
2024-04-12,3277.4130859375,3296.64990234375,3320.0,3229.199951171875,3244.0,568001
2024-04-15,3225.81591796875,3244.75,3302.89990234375,3213.300048828125,3235.949951171875,297843
2024-04-16,3210.65478515625,3229.5,3265.64990234375,3192.050048828125,3200.0,318346
2024-04-18,3210.0087890625,3228.85009765625,3325.0,3214.0,3240.0,258712
2024-04-19,3203.8447265625,3222.64990234375,3252.39990234375,3170.0,3210.0,204308
2024-04-22,3259.46826171875,3278.60009765625,3282.14990234375,3232.75,3256.14990234375,252822
2024-04-23,3354.460693359375,3374.14990234375,3389.0,3283.85009765625,3298.949951171875,537626
2024-04-24,3264.340087890625,3283.5,3419.0,3279.25,3400.0,308350
2024-04-25,3287.5537109375,3306.85009765625,3351.199951171875,3256.050048828125,3285.0,219631
2024-04-26,3290.4365234375,3309.75,3340.0,3272.699951171875,3310.0,314560
2024-04-29,3404.864990234375,3424.85009765625,3454.89990234375,3317.0,3322.85009765625,584654
2024-04-30,3399.297607421875,3419.25,3465.699951171875,3408.0,3424.85009765625,319818
2024-05-02,3408.3447265625,3428.35009765625,3470.0,3405.199951171875,3423.949951171875,183341
2024-05-03,3415.601806640625,3435.64990234375,3465.0,3381.550048828125,3450.0,498125
2024-05-06,3420.821044921875,3440.89990234375,3498.0,3431.10009765625,3470.0,363090
2024-05-07,3357.3935546875,3377.10009765625,3466.39990234375,3331.550048828125,3460.0,390962
2024-05-08,3391.493408203125,3411.39990234375,3435.35009765625,3181.60009765625,3377.10009765625,1104255
2024-05-09,3203.3974609375,3222.199951171875,3425.0,3210.199951171875,3425.0,417648
2024-05-10,3228.599609375,3247.550048828125,3294.949951171875,3211.60009765625,3247.949951171875,206898
2024-05-13,3217.76318359375,3236.64990234375,3267.0,3170.14990234375,3230.0,190352
2024-05-14,3316.781982421875,3336.25,3352.10009765625,3224.199951171875,3259.89990234375,164996
2024-05-15,3304.802490234375,3324.199951171875,3458.0,3301.0,3435.0,574233
2024-05-16,3299.930908203125,3319.300048828125,3354.949951171875,3286.89990234375,3345.0,120387
2024-05-17,3408.44384765625,3428.449951171875,3434.949951171875,3315.050048828125,3326.0,376376
2024-05-21,3363.557373046875,3383.300048828125,3461.10009765625,3378.0,3435.050048828125,152043
2024-05-22,3330.302978515625,3349.85009765625,3420.0,3340.300048828125,3384.89990234375,79344
2024-05-23,3311.1650390625,3330.60009765625,3375.0,3296.39990234375,3359.949951171875,109024
2024-05-24,3335.96923828125,3355.550048828125,3387.0,3314.14990234375,3337.199951171875,107938
2024-05-27,3347.203369140625,3366.85009765625,3401.949951171875,3330.050048828125,3350.0,118079
2024-05-28,3317.37841796875,3336.85009765625,3384.949951171875,3306.14990234375,3369.89990234375,103479
2024-05-29,3294.860595703125,3314.199951171875,3348.949951171875,3300.050048828125,3307.0,146910
2024-05-30,3212.344970703125,3231.199951171875,3314.75,3212.050048828125,3295.0,179964
2024-05-31,3168.80078125,3187.39990234375,3265.0,3175.699951171875,3255.39990234375,132888
2024-06-03,3284.12353515625,3303.39990234375,3393.5,3160.0,3275.0,410020
2024-06-04,3030.6611328125,3048.449951171875,3250.0,2875.949951171875,3250.0,454767
2024-06-05,3281.340087890625,3300.60009765625,3315.0,3075.0,3087.0,244470
2024-06-06,3299.78173828125,3319.14990234375,3351.85009765625,3285.199951171875,3314.0,87870
2024-06-07,3309.822998046875,3329.25,3339.949951171875,3277.0,3277.050048828125,63466
2024-06-10,3415.65185546875,3435.699951171875,3448.0,3315.050048828125,3340.0,261418
2024-06-11,3464.713623046875,3485.050048828125,3555.0,3432.5,3436.75,470032
2024-06-12,3493.54443359375,3514.050048828125,3536.949951171875,3468.050048828125,3485.0,309078
2024-06-13,3541.264404296875,3562.050048828125,3592.0,3520.050048828125,3548.0,241256
2024-06-14,3524.5625,3545.25,3607.949951171875,3533.0,3588.0,138042
2024-06-18,3578.694580078125,3599.699951171875,3606.0,3535.75,3535.800048828125,157434
2024-06-19,3616.622314453125,3637.85009765625,3670.85009765625,3574.050048828125,3617.0,365745
2024-06-20,3748.24951171875,3770.25,3839.0,3657.75,3665.0,1034470
2024-06-21,3669.31298828125,3690.85009765625,3847.699951171875,3675.35009765625,3789.949951171875,444435
2024-06-24,3636.40576171875,3657.75,3719.800048828125,3612.14990234375,3690.85009765625,128573
2024-06-25,3516.21142578125,3536.85009765625,3690.0,3529.0,3656.10009765625,237521
2024-06-26,3571.387451171875,3592.35009765625,3639.0,3537.0,3539.949951171875,276820
2024-06-27,3592.414306640625,3613.5,3668.949951171875,3560.300048828125,3600.0,200761
2024-06-28,3553.393310546875,3574.25,3672.199951171875,3561.0,3624.949951171875,162417
2024-07-01,3599.870361328125,3621.0,3654.64990234375,3569.050048828125,3604.449951171875,266306
2024-07-02,3583.566162109375,3604.60009765625,3695.0,3596.0,3629.0,414904
2024-07-03,3603.151123046875,3624.300048828125,3659.949951171875,3601.14990234375,3631.60009765625,166954
