date_,adj close_sardaen.ns,close_sardaen.ns,high_sardaen.ns,low_sardaen.ns,open_sardaen.ns,volume_sardaen.ns
2024-01-16,251.04347229003906,252.39999389648438,262.20001220703125,248.0,253.9499969482422,1115084
2024-01-17,247.46282958984375,248.8000030517578,256.75,247.3000030517578,249.10000610351562,402174
2024-01-18,243.38485717773438,244.6999969482422,254.5,242.5500030517578,249.1999969482422,482853
2024-01-19,254.47494506835938,255.85000610351562,258.0,245.0,246.89999389648438,701605
2024-01-23,237.36737060546875,238.64999389648438,255.0,235.5500030517578,252.25,495920
2024-01-24,235.4775848388672,236.75,243.14999389648438,229.39999389648438,240.9499969482422,583511
2024-01-25,230.50445556640625,231.75,239.9499969482422,229.6999969482422,236.8000030517578,424953
2024-01-29,242.39022827148438,243.6999969482422,245.0,233.35000610351562,233.35000610351562,556015
2024-01-30,242.2410430908203,243.5500030517578,247.4499969482422,239.75,245.0,533313
2024-01-31,249.05422973632812,250.39999389648438,252.8000030517578,244.5500030517578,244.60000610351562,670485
2024-02-01,243.2356719970703,244.5500030517578,253.25,241.39999389648438,250.89999389648438,417021
2024-02-02,245.97088623046875,247.3000030517578,253.0,238.64999389648438,246.6999969482422,1191782
2024-02-05,234.9305419921875,236.1999969482422,244.0,231.60000610351562,243.39999389648438,1062009
2024-02-06,231.25042724609375,232.5,238.9499969482422,230.0500030517578,237.35000610351562,556905
2024-02-07,231.5985565185547,232.85000610351562,238.89999389648438,231.0,234.10000610351562,560350
2024-02-08,226.2772979736328,227.5,235.10000610351562,226.0500030517578,233.9499969482422,447689
2024-02-09,219.464111328125,220.64999389648438,228.9499969482422,215.3000030517578,228.9499969482422,627437
2024-02-12,215.18724060058594,216.35000610351562,222.25,213.6999969482422,222.14999389648438,315960
2024-02-13,218.2208251953125,219.39999389648438,222.25,209.75,218.14999389648438,525211
2024-02-14,223.4923553466797,224.6999969482422,226.0,214.0,215.25,303354
2024-02-15,224.73562622070312,225.9499969482422,228.0,219.5500030517578,225.5,410918
2024-02-16,227.32167053222656,228.5500030517578,231.0,222.8000030517578,226.10000610351562,650482
2024-02-19,225.33241271972656,226.5500030517578,231.6999969482422,223.9499969482422,229.85000610351562,391356
2024-02-20,222.54745483398438,223.75,229.9499969482422,223.1999969482422,224.10000610351562,364763
2024-02-21,216.18185424804688,217.35000610351562,225.9499969482422,215.9499969482422,225.3000030517578,359769
2024-02-22,220.0111541748047,221.1999969482422,222.6999969482422,213.60000610351562,219.0,439291
2024-02-23,213.0985107421875,214.25,222.0,212.0,220.60000610351562,422086
2024-02-26,211.1092529296875,212.25,216.4499969482422,210.6999969482422,215.39999389648438,443758
2024-02-27,213.49635314941406,214.64999389648438,217.0,210.60000610351562,212.0,306936
2024-02-28,206.33506774902344,207.4499969482422,214.64999389648438,206.10000610351562,214.64999389648438,358677
2024-02-29,213.0487823486328,214.1999969482422,215.9499969482422,205.25,206.39999389648438,276970
2024-03-01,214.54071044921875,215.6999969482422,219.0,213.0,213.0,301863
2024-03-04,211.50711059570312,212.64999389648438,219.9499969482422,211.0500030517578,219.9499969482422,299170
2024-03-05,204.7933807373047,205.89999389648438,213.8000030517578,205.0,212.64999389648438,446514
2024-03-06,201.6603240966797,202.75,207.4499969482422,198.14999389648438,202.60000610351562,604449
2024-03-07,207.57833862304688,208.6999969482422,209.9499969482422,200.10000610351562,204.35000610351562,590099
2024-03-11,199.52188110351562,200.60000610351562,211.75,199.0,209.39999389648438,464074
2024-03-12,194.94659423828125,196.0,201.0,192.10000610351562,200.0,538839
2024-03-13,182.26512145996094,183.25,197.0,181.0,195.89999389648438,696327
2024-03-14,194.39955139160156,195.4499969482422,197.64999389648438,180.25,182.0,527445
2024-03-15,198.8753662109375,199.9499969482422,201.89999389648438,190.10000610351562,193.8000030517578,299753
2024-03-18,198.97483825683594,200.0500030517578,201.60000610351562,195.8000030517578,201.39999389648438,344094
2024-03-19,196.88612365722656,197.9499969482422,202.5,195.39999389648438,199.85000610351562,287209
2024-03-20,189.97348022460938,191.0,199.64999389648438,189.6999969482422,198.85000610351562,255391
2024-03-21,194.5487518310547,195.60000610351562,198.64999389648438,192.0,192.0,357392
2024-03-22,215.93319702148438,217.10000610351562,225.60000610351562,201.60000610351562,206.0,6470067
2024-03-26,208.92108154296875,210.0500030517578,221.0500030517578,207.1999969482422,219.0500030517578,605013
2024-03-27,205.88748168945312,207.0,212.89999389648438,205.25,211.10000610351562,617629
2024-03-28,201.75979614257812,202.85000610351562,211.35000610351562,200.1999969482422,206.89999389648438,473813
2024-04-01,205.9372100830078,207.0500030517578,210.64999389648438,203.0,203.0,354283
2024-04-02,205.63882446289062,206.75,211.0,205.0,208.6999969482422,531096
2024-04-03,219.11599731445312,220.3000030517578,222.60000610351562,206.6999969482422,207.64999389648438,874805
2024-04-04,220.0111541748047,221.1999969482422,223.1999969482422,217.5500030517578,221.9499969482422,453856
2024-04-05,218.1213836669922,219.3000030517578,222.60000610351562,217.0500030517578,221.6999969482422,265435
2024-04-08,216.18185424804688,217.35000610351562,221.6999969482422,215.5500030517578,221.6999969482422,159471
2024-04-09,214.78936767578125,215.9499969482422,221.3000030517578,213.5,216.39999389648438,240688
2024-04-10,228.86334228515625,230.10000610351562,231.64999389648438,216.0,216.6999969482422,1268354
2024-04-12,226.17784118652344,227.39999389648438,233.5,224.85000610351562,231.0,952845
2024-04-15,222.9950408935547,224.1999969482422,228.6999969482422,216.5500030517578,223.0,744095
2024-04-16,226.97352600097656,228.1999969482422,233.39999389648438,221.5500030517578,222.85000610351562,514435
2024-04-18,220.60794067382812,221.8000030517578,231.35000610351562,220.5,228.1999969482422,432401
2024-04-19,221.55282592773438,222.75,225.9499969482422,217.0500030517578,220.35000610351562,275860
2024-04-22,225.5313262939453,226.75,229.9499969482422,223.3000030517578,224.9499969482422,282983
2024-04-23,223.04476928710938,224.25,228.5,222.35000610351562,228.0,192796
2024-04-24,232.04612731933594,233.3000030517578,236.75,225.0500030517578,225.8000030517578,646225
2024-04-25,236.82034301757812,238.10000610351562,242.0,228.9499969482422,232.6999969482422,1265623
2024-04-26,230.9022979736328,232.14999389648438,239.0,231.0,238.0,416049
2024-04-29,232.54344177246094,233.8000030517578,236.9499969482422,231.1999969482422,233.60000610351562,253798
2024-04-30,238.90904235839844,240.1999969482422,242.39999389648438,233.14999389648438,234.85000610351562,703548
2024-05-02,262.4816589355469,263.8999938964844,268.79998779296875,241.3000030517578,245.60000610351562,2643999
2024-05-03,266.0126037597656,267.45001220703125,283.95001220703125,265.04998779296875,270.0,2642585
2024-05-06,266.0126037597656,267.45001220703125,274.0,261.0,270.0,1097398
2024-05-07,262.9789733886719,264.3999938964844,276.0,261.6000061035156,266.45001220703125,971145
2024-05-08,271.5824890136719,273.04998779296875,277.95001220703125,264.1000061035156,264.95001220703125,873594
2024-05-09,256.31500244140625,257.70001220703125,279.5,255.10000610351562,276.20001220703125,806352
