date_,adj close_anantraj.ns,close_anantraj.ns,high_anantraj.ns,low_anantraj.ns,open_anantraj.ns,volume_anantraj.ns
2024-01-16,319.0027770996094,319.8500061035156,330.5,314.1000061035156,327.8500061035156,2526800
2024-01-17,315.41229248046875,316.25,318.95001220703125,310.1499938964844,315.8999938964844,1142075
2024-01-18,317.8558044433594,318.70001220703125,320.95001220703125,307.79998779296875,316.25,1315835
2024-01-19,315.71148681640625,316.54998779296875,324.0,315.25,323.29998779296875,886994
2024-01-23,310.8244934082031,311.6499938964844,320.8999938964844,307.5,319.25,971526
2024-01-24,313.8165283203125,314.6499938964844,316.75,302.04998779296875,310.70001220703125,1356596
2024-01-25,315.11309814453125,315.95001220703125,317.8999938964844,312.5,316.0,1054256
2024-01-29,310.0764465332031,310.8999938964844,319.0,310.0,316.1000061035156,812321
2024-01-30,316.1104431152344,316.95001220703125,320.0,312.8500061035156,312.8999938964844,1401717
2024-01-31,317.2574157714844,318.1000061035156,319.70001220703125,314.0,318.70001220703125,704216
2024-02-01,313.9162902832031,314.75,321.1000061035156,311.75,320.0,615297
2024-02-02,322.0945739746094,322.95001220703125,328.8999938964844,317.0,317.0,1365901
2024-02-05,325.68499755859375,326.54998779296875,334.8999938964844,323.5,327.79998779296875,2413797
2024-02-06,326.4330139160156,327.29998779296875,334.6000061035156,321.45001220703125,331.0,1677945
2024-02-07,322.3937683105469,323.25,336.0,321.1000061035156,335.25,1901685
2024-02-08,342.4405212402344,343.3500061035156,348.79998779296875,332.04998779296875,334.0,7955639
2024-02-09,345.2829895019531,346.20001220703125,348.75,334.8500061035156,344.0,2699845
2024-02-12,341.792236328125,342.70001220703125,355.6000061035156,336.6000061035156,349.79998779296875,3558303
2024-02-13,334.2622375488281,335.1499938964844,340.75,317.54998779296875,336.70001220703125,2263143
2024-02-14,340.5455627441406,341.45001220703125,351.0,329.1000061035156,332.25,2626435
2024-02-15,344.38531494140625,345.29998779296875,352.20001220703125,337.20001220703125,341.95001220703125,1374586
2024-02-16,353.3116149902344,354.25,358.3999938964844,341.79998779296875,347.04998779296875,3507270
2024-02-19,345.23309326171875,346.1499938964844,359.70001220703125,344.3999938964844,356.20001220703125,2444876
2024-02-20,344.3354797363281,345.25,349.6000061035156,342.54998779296875,349.0,1629221
2024-02-21,338.8002014160156,339.70001220703125,350.20001220703125,336.45001220703125,347.79998779296875,950031
2024-02-22,338.65057373046875,339.54998779296875,341.95001220703125,333.8500061035156,340.25,1077625
2024-02-23,349.1726379394531,350.1000061035156,355.0,347.6000061035156,348.04998779296875,2312143
2024-02-26,353.36151123046875,354.29998779296875,355.95001220703125,350.54998779296875,353.20001220703125,1128952
2024-02-27,347.9757995605469,348.8999938964844,355.8999938964844,347.45001220703125,354.8500061035156,678246
2024-02-28,338.75030517578125,339.6499938964844,351.5,336.5,350.0,919908
2024-02-29,349.0729064941406,350.0,360.0,332.3999938964844,339.6499938964844,2707694
2024-03-01,353.7105712890625,354.6499938964844,364.79998779296875,351.1499938964844,358.0,2996845
2024-03-04,357.2012939453125,358.1499938964844,359.95001220703125,349.20001220703125,350.8999938964844,2086864
2024-03-05,353.1121520996094,354.04998779296875,362.3500061035156,350.79998779296875,358.0,1020764
2024-03-06,347.6766052246094,348.6000061035156,354.8999938964844,340.54998779296875,351.0,1034787
2024-03-07,346.5296630859375,347.45001220703125,353.70001220703125,345.04998779296875,351.75,654618
2024-03-11,335.5588073730469,336.45001220703125,348.70001220703125,335.0,348.25,1101781
2024-03-12,318.10516357421875,318.95001220703125,335.6499938964844,317.1000061035156,335.0,2229559
2024-03-13,285.7909240722656,286.54998779296875,321.3500061035156,282.0,318.95001220703125,3947236
2024-03-14,296.7119445800781,297.5,306.45001220703125,281.0,281.0,2667054
2024-03-15,298.0085144042969,298.79998779296875,305.45001220703125,288.79998779296875,300.0,1643094
2024-03-18,295.315673828125,296.1000061035156,302.5,291.0,298.3500061035156,1062243
2024-03-19,288.2843322753906,289.04998779296875,300.95001220703125,287.25,297.0,723123
2024-03-20,288.8328857421875,289.6000061035156,294.3999938964844,282.29998779296875,292.0,1297258
2024-03-21,306.6854553222656,307.5,309.1000061035156,294.0,294.0,1165394
2024-03-22,301.898193359375,302.70001220703125,309.0,297.3500061035156,306.70001220703125,1354702
2024-03-26,300.4520263671875,301.25,303.6000061035156,294.70001220703125,303.6000061035156,1218001
2024-03-27,310.3257751464844,311.1499938964844,315.0,304.20001220703125,305.3999938964844,1450302
2024-03-28,310.5252990722656,311.3500061035156,316.0,309.5,314.3999938964844,616973
2024-04-01,323.1916198730469,324.04998779296875,325.8999938964844,314.0,314.0,1418690
2024-04-02,329.5746765136719,330.45001220703125,338.45001220703125,324.5,324.5,1465087
2024-04-03,327.9789123535156,328.8500061035156,335.04998779296875,326.3500061035156,329.0,710163
2024-04-04,324.18896484375,325.04998779296875,333.8999938964844,323.0,330.95001220703125,754771
2024-04-05,328.8765563964844,329.75,332.0,324.04998779296875,324.95001220703125,809718
2024-04-08,336.6558532714844,337.54998779296875,341.04998779296875,330.20001220703125,334.29998779296875,2140766
2024-04-09,342.5901184082031,343.5,346.0,335.29998779296875,339.5,1865090
2024-04-10,344.5349426269531,345.45001220703125,349.0,340.29998779296875,346.20001220703125,2666768
2024-04-12,337.4537658691406,338.3500061035156,350.0,336.5,346.0,1958635
