date_,adj close_tataelxsi.ns,close_tataelxsi.ns,high_tataelxsi.ns,low_tataelxsi.ns,open_tataelxsi.ns,volume_tataelxsi.ns
2024-01-16,8426.1611328125,8604.5498046875,8730.7998046875,8580.2998046875,8719.900390625,61082
2024-01-17,8419.55078125,8597.7998046875,8640.0,8511.0,8599.0,73451
2024-01-18,8138.4033203125,8310.7001953125,8579.9501953125,8033.60009765625,8550.0,306055
2024-01-19,8135.07373046875,8307.2998046875,8610.7001953125,8231.849609375,8409.0,97841
2024-01-23,8025.78759765625,8195.7001953125,8358.0,8075.4501953125,8300.0,117490
2024-01-24,7607.39501953125,7768.4501953125,8150.0,7744.10009765625,8000.0,400343
2024-01-25,7508.19482421875,7667.14990234375,7952.4501953125,7640.0,7952.4501953125,184113
2024-01-29,7534.48828125,7694.0,7744.64990234375,7650.0498046875,7677.0,100972
2024-01-30,7437.34521484375,7594.7998046875,7770.85009765625,7564.2001953125,7721.0,135861
2024-01-31,7447.48046875,7605.14990234375,7657.10009765625,7572.0498046875,7600.0,141141
2024-02-01,7482.4892578125,7640.89990234375,7700.0,7600.0,7610.0,81838
2024-02-02,7482.5869140625,7641.0,7770.0,7601.0,7695.0,102021
2024-02-05,7443.41650390625,7601.0,7739.0,7583.2998046875,7641.0498046875,82526
2024-02-06,7561.7119140625,7721.7998046875,7787.9501953125,7643.75,7697.9501953125,154874
2024-02-07,7628.64501953125,7790.14990234375,7850.14990234375,7760.60009765625,7800.0,76592
2024-02-08,7566.216796875,7726.39990234375,7848.0,7667.0498046875,7848.0,70163
2024-02-09,7471.17919921875,7629.35009765625,7758.9501953125,7521.0,7734.9501953125,111039
2024-02-12,7343.1396484375,7498.60009765625,7740.0,7475.0,7720.9501953125,97038
2024-02-13,7288.98583984375,7443.2998046875,7541.14990234375,7379.0498046875,7539.9501953125,73951
2024-02-14,7275.52099609375,7429.5498046875,7449.89990234375,7350.0,7440.0,104915
2024-02-15,7315.328125,7470.2001953125,7540.0,7450.0,7499.9501953125,61560
2024-02-16,7357.681640625,7513.4501953125,7539.89990234375,7475.2001953125,7518.0,80901
2024-02-19,7548.8349609375,7708.64990234375,7744.7001953125,7550.14990234375,7560.0,146755
2024-02-20,7615.08203125,7776.2998046875,7838.14990234375,7610.0,7755.0,191041
2024-02-21,7585.6064453125,7746.2001953125,7849.0,7712.0498046875,7846.25,107925
2024-02-22,7629.5263671875,7791.0498046875,7807.0,7746.75,7806.0,83690
2024-02-23,7650.33544921875,7812.2998046875,7995.0,7750.0,7900.0498046875,172141
2024-02-26,7547.12060546875,7706.89990234375,7859.7998046875,7685.0,7853.0,69244
2024-02-27,7482.1953125,7640.60009765625,7744.39990234375,7605.0,7715.0,92008
2024-02-28,7436.21875,7593.64990234375,7716.4501953125,7562.0,7695.0,72324
2024-02-29,7649.111328125,7811.0498046875,7950.0,7440.0,7580.0,307875
2024-03-01,7584.67578125,7745.25,7993.2001953125,7720.0,7900.0,217687
2024-03-04,7533.4111328125,7692.89990234375,7839.7998046875,7658.85009765625,7819.0,101325
2024-03-05,7503.5927734375,7662.4501953125,7732.9501953125,7601.0498046875,7692.89990234375,107340
2024-03-06,7444.68896484375,7602.2998046875,7723.89990234375,7540.10009765625,7710.0,106522
2024-03-07,7527.388671875,7686.75,7914.60009765625,7585.85009765625,7590.10009765625,302528
2024-03-11,7543.2529296875,7702.9501953125,7748.0,7633.14990234375,7724.89990234375,132700
2024-03-12,7416.87841796875,7573.89990234375,7838.7998046875,7515.0,7706.0,112485
2024-03-13,7239.53271484375,7392.7998046875,7837.64990234375,7335.0,7650.0,314712
2024-03-14,7570.330078125,7730.60009765625,7772.25,7351.9501953125,7456.75,134183
2024-03-15,7547.21875,7707.0,7825.0,7600.0,7744.0,166240
2024-03-18,7543.00830078125,7702.7001953125,7790.0,7657.0,7725.0,79507
2024-03-19,7477.5439453125,7635.85009765625,7718.75,7552.0498046875,7708.0,78340
2024-03-20,7399.8388671875,7556.5,7675.0,7525.0,7633.0,67469
2024-03-21,7545.015625,7704.75,7719.9501953125,7588.9501953125,7626.0498046875,79906
2024-03-22,7506.08984375,7665.0,7689.7998046875,7616.9501953125,7655.5498046875,63721
2024-03-26,7534.24365234375,7693.75,7725.0,7500.0498046875,7500.0498046875,117670
2024-03-27,7515.6865234375,7674.7998046875,7751.9501953125,7632.10009765625,7725.0,156037
2024-03-28,7623.74853515625,7785.14990234375,7870.0,7704.0,7750.0,273766
2024-04-01,7584.724609375,7745.2998046875,7858.0,7725.39990234375,7845.0,78571
2024-04-02,7542.07763671875,7701.75,7769.89990234375,7645.0,7740.0,93065
2024-04-03,7832.087890625,7997.89990234375,8106.0,7666.0,7703.0,621796
2024-04-04,7861.07421875,8027.5,8195.0,7985.0,8117.85009765625,224695
2024-04-05,7874.8330078125,8041.5498046875,8174.2001953125,7988.10009765625,8027.5,125061
2024-04-08,7758.2021484375,7922.4501953125,8133.85009765625,7814.0,8120.0498046875,125342
2024-04-09,7736.26611328125,7900.0498046875,8009.0,7871.0,7985.85009765625,115014
2024-04-10,7684.07177734375,7846.75,7956.0,7801.0,7956.0,82754
2024-04-12,7592.99951171875,7753.75,7898.7998046875,7733.0,7847.0,98316
2024-04-15,7369.7265625,7525.75,7710.0,7506.0,7669.9501953125,185200
2024-04-16,7373.888671875,7530.0,7629.89990234375,7510.10009765625,7526.9501953125,80626
2024-04-18,7337.99853515625,7493.35009765625,7584.2998046875,7477.0,7578.0498046875,138170
2024-04-19,7296.5263671875,7451.0,7475.85009765625,7368.0,7474.0,97601
2024-04-22,7282.47412109375,7436.64990234375,7575.75,7420.0,7487.0,121025
2024-04-23,7241.88330078125,7395.2001953125,7498.7998046875,7380.0,7498.0,127264
2024-04-24,6884.4013671875,7030.14990234375,7247.2998046875,7000.0,7034.0498046875,806331
2024-04-25,6946.82958984375,7093.89990234375,7115.0,7060.0,7087.14990234375,145948
2024-04-26,6956.4267578125,7103.7001953125,7195.0,7082.0,7130.0,125101
2024-04-29,6955.34912109375,7102.60009765625,7174.0,7078.0498046875,7174.0,93406
2024-04-30,6905.7001953125,7051.89990234375,7162.9501953125,7025.0,7100.0,134157
2024-05-02,7003.18701171875,7151.4501953125,7195.0,7065.89990234375,7098.0,117397
2024-05-03,6964.31005859375,7111.75,7198.0,7080.0,7195.0,82962
2024-05-06,6940.611328125,7087.5498046875,7165.89990234375,7071.14990234375,7148.0,67837
2024-05-07,6989.8681640625,7137.85009765625,7159.0,7010.75,7143.9501953125,84322
2024-05-08,6968.07958984375,7115.60009765625,7145.0,7062.0,7140.0,65874
2024-05-09,7003.18701171875,7151.4501953125,7188.0,7076.2998046875,7115.60009765625,82557
2024-05-10,6979.63525390625,7127.39990234375,7151.2001953125,7070.5,7151.2001953125,70788
2024-05-13,6922.44580078125,7069.0,7120.0,7006.0,7120.0,84651
2024-05-14,6941.19873046875,7088.14990234375,7131.0,7055.4501953125,7070.0,50731
2024-05-15,7072.51904296875,7222.25,7271.0,7065.0,7097.0,126317
2024-05-16,7148.26513671875,7299.60009765625,7320.0,7243.0,7251.0,146481
2024-05-17,7206.43359375,7359.0,7369.7001953125,7270.0,7300.0,82866
2024-05-21,7088.82373046875,7238.89990234375,7350.0,7220.0,7350.0,62475
2024-05-22,7062.08935546875,7211.60009765625,7303.60009765625,7171.5,7232.0498046875,112856
2024-05-23,7262.83935546875,7416.60009765625,7559.0,7240.14990234375,7268.9501953125,280742
2024-05-24,7222.05322265625,7374.9501953125,7423.89990234375,7326.0498046875,7416.60009765625,86161
2024-05-27,7165.1083984375,7316.7998046875,7459.89990234375,7305.0,7374.9501953125,83671
2024-05-28,7168.14404296875,7319.89990234375,7385.0,7303.35009765625,7360.0,64306
2024-05-29,7139.06005859375,7290.2001953125,7313.0,7252.35009765625,7310.5,67954
2024-05-30,7045.6865234375,7194.85009765625,7343.25,7165.85009765625,7326.7001953125,189987
2024-05-31,6800.3798828125,6944.35009765625,7244.0,6903.0,7240.0,506546
2024-06-03,6803.56298828125,6947.60009765625,7148.0,6926.4501953125,7148.0,189575
2024-06-04,6586.75341796875,6726.2001953125,6975.0,6411.2001953125,6975.0,298357
2024-06-05,6736.28662109375,6878.89990234375,6943.5498046875,6652.5498046875,6850.0,116845
2024-06-06,6788.482421875,6932.2001953125,7018.5,6900.0,6983.2998046875,138019
2024-06-07,6972.38818359375,7120.0,7165.0,6960.0,6960.0,231746
2024-06-10,6992.12060546875,7140.14990234375,7190.0,7090.0,7189.0,75286
2024-06-11,6940.708984375,7087.64990234375,7165.0,7080.0,7159.89990234375,77665
2024-06-12,6972.63330078125,7120.25,7158.2998046875,7092.0,7099.2001953125,68176
