date_,adj close_aartiind.ns,close_aartiind.ns,high_aartiind.ns,low_aartiind.ns,open_aartiind.ns,volume_aartiind.ns
2024-01-16,597.78759765625,600.25,617.7999877929688,594.2999877929688,612.0,1659307
2024-01-17,580.6580810546875,583.0499877929688,600.75,580.1500244140625,594.9500122070312,1677162
2024-01-18,609.0909423828125,611.5999755859375,633.5,601.0499877929688,601.0499877929688,9846316
2024-01-19,676.1148681640625,678.9000244140625,691.75,614.7999877929688,617.4500122070312,15007983
2024-01-23,639.7646484375,642.4000244140625,677.2999877929688,636.7999877929688,676.0,2413185
2024-01-24,643.3499145507812,646.0,650.7999877929688,634.8499755859375,644.0,1268035
2024-01-25,631.4986572265625,634.0999755859375,647.4500122070312,630.0,646.4500122070312,1078328
2024-01-29,639.71484375,642.3499755859375,646.0,634.0,638.1500244140625,995446
2024-01-30,630.950927734375,633.5499877929688,651.5,631.1500244140625,642.0,1000723
2024-01-31,656.3961181640625,659.0999755859375,660.0,631.0,634.0,1513396
2024-02-01,640.7605590820312,643.4000244140625,659.5999755859375,640.0,659.0999755859375,771293
2024-02-02,642.05517578125,644.7000122070312,650.5999755859375,641.2000122070312,649.9000244140625,524183
2024-02-05,641.1588745117188,643.7999877929688,651.5499877929688,639.0499877929688,643.0,1198470
2024-02-06,657.3422241210938,660.0499877929688,665.5,642.5499877929688,642.75,1623579
2024-02-07,663.8155517578125,666.5499877929688,674.0,657.0,664.0,1702287
2024-02-08,630.901123046875,633.5,672.25,631.2999877929688,668.5,1599801
2024-02-09,660.628662109375,663.3499755859375,666.0,623.0,639.0,6126957
2024-02-12,671.3345947265625,674.0999755859375,702.0999755859375,663.4000244140625,667.0499877929688,8242381
2024-02-13,660.1307373046875,662.8499755859375,675.0,649.5499877929688,675.0,2723885
2024-02-14,665.0604248046875,667.7999877929688,670.0,648.5,651.0,901020
2024-02-15,679.1524047851562,681.9500122070312,688.0,670.0499877929688,672.0,1449659
2024-02-16,692.3978271484375,695.25,710.5,683.2000122070312,687.0,2850802
2024-02-19,686.2232055664062,689.0499877929688,697.25,680.5999755859375,695.25,962458
2024-02-20,701.0123291015625,703.9000244140625,709.0,682.0,682.3499755859375,2196654
2024-02-21,684.5800170898438,687.4000244140625,712.0,682.4500122070312,709.5,2361143
2024-02-22,680.4470825195312,683.25,694.8499755859375,678.0499877929688,689.9000244140625,1383561
