date_,adj close_unionbank.ns,close_unionbank.ns,high_unionbank.ns,low_unionbank.ns,open_unionbank.ns,volume_unionbank.ns
2024-01-16,128.10939025878906,135.9499969482422,140.1999969482422,133.5,134.9499969482422,30974573
2024-01-17,124.34008026123047,131.9499969482422,135.35000610351562,130.9499969482422,134.5,23673815
2024-01-18,125.28241729736328,132.9499969482422,133.85000610351562,128.10000610351562,130.8000030517578,21609345
2024-01-19,128.06227111816406,135.89999389648438,137.39999389648438,131.25,134.64999389648438,29183335
2024-01-23,131.8787078857422,139.9499969482422,145.25,135.4499969482422,145.0,42032631
2024-01-24,134.6114501953125,142.85000610351562,143.10000610351562,135.0500030517578,139.1999969482422,25283547
2024-01-25,132.25564575195312,140.35000610351562,144.39999389648438,139.60000610351562,143.1999969482422,14886698
2024-01-29,133.90472412109375,142.10000610351562,145.0,140.9499969482422,141.0,15534613
2024-01-30,132.86814880371094,141.0,144.5,140.0500030517578,141.0,23496983
2024-01-31,131.7844696044922,139.85000610351562,141.5500030517578,139.10000610351562,141.25,21053555
2024-02-01,136.2605438232422,144.60000610351562,146.89999389648438,139.6999969482422,140.89999389648438,41841032
2024-02-02,140.2183074951172,148.8000030517578,152.4499969482422,146.14999389648438,146.1999969482422,38195913
2024-02-05,138.28652954101562,146.75,155.35000610351562,145.8000030517578,149.85000610351562,35858580
2024-02-06,136.59033203125,144.9499969482422,149.4499969482422,144.1999969482422,148.0,18584278
2024-02-07,138.19229125976562,146.64999389648438,150.1999969482422,145.1999969482422,147.0,20366561
2024-02-08,140.830810546875,149.4499969482422,153.9499969482422,147.6999969482422,148.39999389648438,36435011
2024-02-09,140.2654266357422,148.85000610351562,151.0,141.14999389648438,150.0,29123961
2024-02-12,131.69024658203125,139.75,150.0500030517578,138.1999969482422,150.0,22342661
2024-02-13,128.2978515625,136.14999389648438,145.85000610351562,135.39999389648438,141.60000610351562,33817049
2024-02-14,131.03060913085938,139.0500030517578,139.75,132.60000610351562,134.0,28323626
2024-02-15,137.34420776367188,145.75,146.5,140.14999389648438,140.8000030517578,32155272
2024-02-16,136.35475158691406,144.6999969482422,149.5,143.6999969482422,147.85000610351562,28730074
2024-02-19,133.00949096679688,141.14999389648438,145.4499969482422,140.60000610351562,145.0,19834182
2024-02-20,132.96238708496094,141.10000610351562,145.0,140.8000030517578,142.39999389648438,20767191
2024-02-21,136.73170471191406,145.10000610351562,150.8000030517578,144.14999389648438,146.6999969482422,58178774
2024-02-22,138.8048095703125,147.3000030517578,147.9499969482422,142.10000610351562,146.4499969482422,24062941
2024-02-23,137.4855499267578,145.89999389648438,149.1999969482422,145.10000610351562,149.1999969482422,18645495
2024-02-26,138.6634521484375,147.14999389648438,148.64999389648438,144.25,145.0,21337245
2024-02-27,137.6740264892578,146.10000610351562,148.10000610351562,143.85000610351562,148.0,19010674
2024-02-28,132.726806640625,140.85000610351562,143.64999389648438,138.85000610351562,143.0,44713845
2024-02-29,137.86248779296875,146.3000030517578,150.8000030517578,138.9499969482422,141.1999969482422,227287955
2024-03-01,138.23941040039062,146.6999969482422,147.6999969482422,145.3000030517578,146.9499969482422,17073718
2024-03-04,140.2654266357422,148.85000610351562,150.39999389648438,147.25,148.8000030517578,18755485
2024-03-05,148.79347229003906,157.89999389648438,158.6999969482422,147.85000610351562,148.85000610351562,63767342
2024-03-06,146.0607452392578,155.0,158.60000610351562,153.0,158.0,27499978
2024-03-07,148.27520751953125,157.35000610351562,161.89999389648438,153.64999389648438,155.9499969482422,28694977
2024-03-11,144.88282775878906,153.75,160.85000610351562,152.75,158.14999389648438,19818827
2024-03-12,141.72601318359375,150.39999389648438,155.4499969482422,148.0,154.39999389648438,22173988
2024-03-13,133.3864288330078,141.5500030517578,153.0,139.5,151.5,27124015
2024-03-14,135.3653106689453,143.64999389648438,144.4499969482422,138.10000610351562,139.5,19666323
2024-03-15,139.46444702148438,148.0,150.5,137.6999969482422,143.89999389648438,24676537
2024-03-18,144.41165161132812,153.25,154.0,146.39999389648438,149.0,16880446
2024-03-19,140.54811096191406,149.14999389648438,155.35000610351562,148.14999389648438,152.85000610351562,13193308
2024-03-20,136.30763244628906,144.64999389648438,150.3000030517578,143.8000030517578,149.14999389648438,14794112
2024-03-21,138.3336639404297,146.8000030517578,149.25,146.14999389648438,146.89999389648438,9946607
2024-03-22,139.55868530273438,148.10000610351562,150.85000610351562,147.60000610351562,148.5,18104178
2024-03-26,141.34909057617188,150.0,150.85000610351562,146.6999969482422,148.10000610351562,10248530
2024-03-27,142.47987365722656,151.1999969482422,151.9499969482422,148.6999969482422,150.35000610351562,11982782
2024-03-28,144.64724731445312,153.5,154.1999969482422,151.25,152.0,11097927
2024-04-01,147.70980834960938,156.75,157.0,154.10000610351562,154.5,8727492
